id,category,country,channel,handle,name,description,image,subscribers
1,career,RU,https://t.me/icebergcis,@icebergcis,Iceberg RU,"Iceberg — инновационное рабочее пространство, созданное для улучшения процесса работы отдельных пользователей и команд.",https://static9.tgstat.ru/channels/_100/8c/8c74a5b2f846e7b33ee4d4bec2693d99.jpg,1798291
16,career,RU,https://t.me/seonewschannel,@seonewschannel,SeoJob | Заработок в сети,Наш бот: @jobseo_bot,https://static10.tgstat.ru/channels/_100/f4/f4a54b5228fae4f32a1651d015daa464.jpg,341335
23,career,RU,https://t.me/theyseeku,@theyseeku,Finder.work: работа и вакансии,Поиск работы и сотрудников.,https://static5.tgstat.ru/channels/_100/80/808b5cfa4c19a223a3a91eeaa7369383.jpg,283651
36,career,RU,https://t.me/Karieristt,@Karieristt,Карьерист,"И в найме можно зарабатывать хорошо. Пишем про поиск крутой компании, тимбилдинг и самопрезентацию на собеседованиях.",https://static1.tgstat.ru/channels/_100/33/3345da7693966025d2749793415707e4.jpg,223617
51,career,RU,https://t.me/profenture,@profenture,Profenture: стажировки и волонтерство,"Получите профессию будущего с помощью наших стажировок, волонтёрских программ и образовательных курсов.",https://static5.tgstat.ru/channels/_100/1f/1f68c2d62e3065cf2fa8384005167cc1.jpg,176530
56,career,RU,https://t.me/south_work,@south_work,"Рабочий Парк: вакансии, стажировки, волонтёрские программы","Идеальное место на случай, если вы ищете возможности для профессионального роста в России или за рубежом.",https://static7.tgstat.ru/channels/_100/2e/2ed092826018d06df08504f1f2f1b77c.jpg,170035
66,career,RU,https://t.me/vacanciesbest,@vacanciesbest,Лучшие вакансии,"Лучшие вакансии, отобранные вручную командой аналитиков. Мы ставим только те вакансии, которые нам интересны. Если у вас есть такая, присылайте на vac.facancy.ru . ЭТО БЕСПЛАТНО!",https://static9.tgstat.ru/channels/_100/b2/b2004314aa49d95302179246148e0326.jpg,153341
74,career,RU,https://t.me/zapwork,@zapwork,Удалёнщики | удаленная работа,Найди работу своей мечты и работай не выходя из дому. dc7LM,https://static4.tgstat.ru/channels/_100/1e/1e358282824be7555bab58c7358a9b80.jpg,131952
75,career,RU,https://t.me/jobi_jobs,@jobi_jobs,Фриланс | Удалённая работа,"Вакансии в ТОП компаниях cо всего мира, а так же волонтерские программы доступные без опыта работы.",https://static1.tgstat.ru/channels/_100/05/05eb28180cc717988f5956abc26d80e9.jpg,131717
88,career,RU,https://t.me/moskva_rabotayu,@moskva_rabotayu,Работа Москва,Работа в Москве и МО,https://static6.tgstat.ru/channels/_100/ee/ee3035e7a5de927fb46d8b012c348c55.jpg,116858
99,career,RU,https://t.me/novobranez,@novobranez,НОВОБРАНЕЦ: фриланс без опыта,Ищешь работу на удалёнке? Ты её уже нашёл!,https://static5.tgstat.ru/channels/_100/0a/0a8ed174779a2ffb37ba256b34153d24.jpg,113206
100,career,RU,https://t.me/founderjob,@founderjob,Фаундер - Вакансии,Ищешь работу на удалёнке? Ты ее уже нашёл!,https://static10.tgstat.ru/channels/_100/3e/3eabe2b2c93bfc5b325e3f4ea0c23885.jpg,112950
110,career,RU,https://t.me/stagirovky,@stagirovky,Стажировочная,"Стажировки, гранты и волонтерства со всего мира, чтобы ты побыстрее уехал.",https://static6.tgstat.ru/channels/_100/7f/7f6e3dc40f5f17e9a22fb65d43f4ecf1.jpg,106851
112,career,RU,https://t.me/careerspace,@careerspace,careerspace,Мы помогаем найти любимую работу в формате онлайн-чата,https://static6.tgstat.ru/channels/_100/fb/fb354dd526eddc167c6fd4e2f5541a27.jpg,106325
