id,category,country,channel,handle,name,description,image,subscribers
35,crypto,RU,https://t.me/ToNmetasilense,@ToNmetasilense,Meta Silense TON,Here in simple language about TON and crypto,https://static7.tgstat.ru/channels/_100/7a/7a58a11031ee6b68285d8ccd84244f25.jpg,6760388
37,crypto,RU,https://t.me/hayzonn,@hayzonn,HAYZON,How to create capital and increase it using cryptocurrency,https://static6.tgstat.ru/channels/_100/37/370da61ec63190fa15534cb46b488df7.jpg,6470559
41,crypto,RU,https://t.me/ceosanya,@ceosanya,ceosanya,Stories about mini Apps and crypto from Telegram,https://static2.tgstat.ru/channels/_100/a8/a82b99be2d810b14f2ee1bfe4a06dd34.jpg,5897541
56,crypto,RU,https://t.me/givemetonru,@givemetonru,Дайте TON!,Канал о TON и все что с ним связано:,https://static9.tgstat.ru/channels/_100/f0/f0cc1df020831faab0f7cd7232aa7fc8.jpg,4973126
58,crypto,RU,https://t.me/Crypto_Woolf,@Crypto_Woolf,Crypto Wolf,Новые и перспективные Web3 игры с добычей токенов.,https://static1.tgstat.ru/channels/_100/c7/c79c7eb9767d8d6d7d3a9e47e30f86b4.jpg,4779573
65,crypto,RU,https://t.me/CryptoBotRU,@CryptoBotRU,Новости Crypto Bot,Официальный канал @CryptoBot.,https://static8.tgstat.ru/channels/_100/3d/3dbd0f9c4a517b96c4e6cc1bd0af0a75.jpg,4532217
73,crypto,RU,https://t.me/investkingyru,@investkingyru,Investment kingyru 💎,Реклама: @kingygmads / Платформа: ton.org.in,https://static3.tgstat.ru/channels/_100/38/38ac68c506ed42dd98b23728d73bcce1.jpg,4201405
79,crypto,RU,https://t.me/DeCenter,@DeCenter,"DeCenter — блокчейн, биткоин, инвестиции","#1 канал о блокчейне, криптовалютах и децентрализованных финансах.",https://static3.tgstat.ru/channels/_100/d2/d282ef263719ab842e05382dc235f69e.jpg,4009276
81,crypto,RU,https://t.me/tonlive,@tonlive,TON — LIVE,"Важные новости TON и Telegram одной строкой, без субъективных мнений.",https://static9.tgstat.ru/channels/_100/c2/c2c1d0f233bf33e6c79ff079f1e96123.jpg,3944583
89,crypto,RU,https://t.me/whisper_in_the_night,@whisper_in_the_night,Shadow_of_Gandalf,Канал для умных людей,https://static4.tgstat.ru/channels/_100/71/71ce4eab677c30ab2ae9737dd5de9c49.jpg,3691808
94,crypto,RU,https://t.me/tonbase,@tonbase,TON Base,Канал о монете Gram и блокчейне Toncoin (ton.org) от владельца @secretship. Для связи: @tonboss,https://static8.tgstat.ru/channels/_100/69/6961844048bd432571ef2c49a468e659.jpg,3591989
111,crypto,RU,https://t.me/eduardinvest,@eduardinvest,Типичный Инвестор,Инвестиции и активности в Crypto,https://static4.tgstat.ru/channels/_100/a0/a0d69b9656f554503c917135cbffee79.jpg,3118352
