id,category,country,channel,handle,name,description,image,subscribers
2,gambling,RU,https://t.me/wewantyoutodothejob,@wewantyoutodothejob,WeWantYou,Канал для поиска исполнителей для разных задач и организации мини конкурсов,https://static4.tgstat.ru/channels/_100/0e/0ed0c7818708231038b7b08ad41e191a.jpg,4634877
13,gambling,RU,https://t.me/JetTon_Official,@JetTon_Official,JetTon Games RU,"Новостной канал @JetTon : всё о новинках, обновлениях и акциях в мире JetTon Games.",https://static9.tgstat.ru/channels/_100/fe/fe4da54762a8d5e44f2c190d669cb4c8.jpg,1252640
16,gambling,RU,https://t.me/MelsTG,@MelsTG,MELLSTROY ДВИЖ,Тут вся грязь 18+,https://static2.tgstat.ru/channels/_100/b0/b04f93e254bd39f21fee39621d7ba9dd.jpg,1117579
29,gambling,RU,https://t.me/bablonews,@bablonews,Daily Combo Crypto,Реклама/сотрудничесво/амбассадорство: @Ymper,https://static8.tgstat.ru/channels/_100/ac/acc59dde85e671c551b5db438a2549d5.jpg,719004
43,gambling,RU,https://t.me/Beat_the_Casino,@Beat_the_Casino,Beat the Casino 🎰,АКЦИЯ ДО КОНЦА Ноября РЕКЛАМА ВСЕГО 300$,https://static6.tgstat.ru/channels/_100/99/99fd2a84d953543775a9077e2d5d07e4.jpg,606385
47,gambling,RU,https://t.me/mellstroy,@mellstroy,MELLSTROY BONUS,Заносы Мелстроя / MELLSTROY,https://static9.tgstat.ru/channels/_100/f6/f643367d6fd0c91c5a6c3e097b7e1df5.jpg,580162
65,gambling,RU,https://t.me/win1_russia,@win1_russia,1win,Не официальный новостной канал проекта 1win теперь в твоем телеграме!,https://static6.tgstat.ru/channels/_100/51/51eebff31140ea65067188a603a9e097.jpg,430324
67,gambling,RU,https://t.me/tonpokerroomnews,@tonpokerroomnews,TON Покер Новости,Официальный канал TON Poker,https://static4.tgstat.ru/channels/_100/b3/b331423069f2d635f51e5729ff0f3669.jpg,411293
70,gambling,RU,https://t.me/dragonmoney,@dragonmoney,Dragon Money - Официальный канал,Это официальный телеграмм канал сайта  drgnt7.casino,https://static10.tgstat.ru/channels/_100/9b/9b55457a6c300eec35bb3273394cfc4a.jpg,390431
78,gambling,RU,https://t.me/mellstroybonus,@mellstroybonus,MELLSTROY BONUS,Азартный телеграм Мелстроя / MELLSTROY,https://static2.tgstat.ru/channels/_100/0f/0f91c8f90ff08569944d0a4a7755982c.jpg,370319
85,gambling,RU,https://t.me/wengallbidv,@wengallbidv,АСХАБ ТАМАЕВ🚀 ВЕНГАЛБИ,На этом канале я провожу конкурсы и учу зарабатывать,https://static6.tgstat.ru/channels/_100/e3/e370517e6446fdac0db0c325fe83753c.jpg,342665
92,gambling,RU,https://t.me/raiz,@raiz,РАЙЗ ЛАВ Ю,КАНАЛ С НОВОСТЯМИ - @RAIZNEWS,https://static7.tgstat.ru/channels/_100/9d/9d99f432b9f0e9090b77bf8f1fc55210.jpg,334648
102,gambling,RU,https://t.me/onlaynxf_igryhf,@onlaynxf_igryhf,Welvuraso | Велвураol,Принимаем заявки сразу,https://static1.tgstat.ru/channels/_100/66/666d52985de6308970ff3ee9f007d148.jpg,316681
110,gambling,RU,https://t.me/nixtalk,@nixtalk,Усы на голове,twitch.tv/nix,https://static9.tgstat.ru/channels/_100/52/525313005856a5700d2e7354e2c49e67.jpg,296586
130,gambling,RU,https://t.me/tapsport_game,@tapsport_game,Tap Sport (RU),ИГРА: @tap_sport_bot,https://static5.tgstat.ru/channels/_100/b0/b022e631c26fa37f7784bb50bb7ddcf2.jpg,268065
133,gambling,RU,https://t.me/zubarefffburda,@zubarefffburda,zubarefffburmalda,Играю только на этих проектах,https://static2.tgstat.ru/channels/_100/ef/ef0c3bafc537b667c25baca150d9b7f6.jpg,266180
141,gambling,RU,https://t.me/getxgf_upxxd,@getxgf_upxxd,БезДепИгры • Велвура • Welvura • на x,Принимаем заявки сразу,https://static7.tgstat.ru/channels/_100/cf/cfab16adc409e4ee0ff035cfcd262c71.jpg,261976
148,gambling,RU,https://t.me/BearMoney,@BearMoney,BEAR MONEY🐻,Владелец‍: @ReallyLalfy,https://static6.tgstat.ru/channels/_100/85/85763346f953b0d9f3f65dacd79da7ee.jpg,251949
149,gambling,RU,https://t.me/MaxCryptoBlog,@MaxCryptoBlog,Крипто Блог Макса,Всем привет! На связи Макс!,https://static1.tgstat.ru/channels/_100/c5/c5e8117003375105bde712d77f554b0f.jpg,251602
166,gambling,RU,https://t.me/winline,@winline,Winline,Официальный канал букмекерской компании Winline,https://static7.tgstat.ru/channels/_100/57/5763dd1b73ceb3ca4dbbd11cdf5a89d4.jpg,218524
183,gambling,RU,https://t.me/mostbetthebest,@mostbetthebest,MOSTBET,"MOSTBET - казино, в котором ты точно выиграешь!",https://static9.tgstat.ru/channels/_100/ae/ae4f7ac9645fe500b62849854007b668.jpg,203429
205,gambling,RU,https://t.me/ezcash,@ezcash,Ezcash,Рабочая ссылка на сайт: ezcash47.casino,https://static1.tgstat.ru/channels/_100/76/7644865905eff25e809a077b268de803.jpg,190035
209,gambling,RU,https://t.me/casinosochiofficial,@casinosochiofficial,Игорная зона «Красная Поляна»,Игорная зона «Красная Поляна» - драйвер событийного туризма в России.,https://static6.tgstat.ru/channels/_100/c7/c7c39e02f0e198f35249c71396ce37a6.jpg,187209
214,gambling,RU,https://t.me/arina_savastruul,@arina_savastruul,Arina Savastruu,,https://static2.tgstat.ru/channels/_100/f5/f5ebbaf443da3d364ff071ee7a7a8c5f.jpg,182325
221,gambling,RU,https://t.me/travobet,@travobet,Траво.бет🐳,"Даю аналитику на матчи доты и кс. Регулярно делаю розыгрыши для подписчиков. Ставлю то, что не жалко потерять и вам советую!",https://static10.tgstat.ru/channels/_100/f0/f0dff141958a5a62ee4ac9511d29d421.jpg,176377
227,gambling,RU,https://t.me/wengalbisf,@wengalbisf,АСХАБ ТАМАЕВ 🚀,На этом канале я провожу конкурсы и учу зарабатывать,https://static7.tgstat.ru/channels/_100/bb/bb6c935fae968bc8d39cc99e70461dd1.jpg,174035
