id,category,country,channel,handle,name,description,image,subscribers
1,handmade,RU,https://t.me/hand_knit,@hand_knit,Ручки вяжут | Вязание,Крупнейший канал по вязанию!,https://static10.tgstat.ru/channels/_100/4e/4e9eb7a27b5be2e9365920db194a9539.jpg,352433
2,handmade,RU,https://t.me/delotex,@delotex,ДЕЛО ТЕХНИКИ,Предложить новость: @delotex_bot,https://static2.tgstat.ru/channels/_100/be/bec0eda626c4fffcce635a81dc6b959c.jpg,209012
17,handmade,RU,https://t.me/uroki_shitya,@uroki_shitya,Уроки Шитья,Уроки по шитью для опытных и новичков!,https://static3.tgstat.ru/channels/_100/c7/c7befb0917cbb265f6b12016526b115d.jpg,87291
19,handmade,RU,https://t.me/urokishitya,@urokishitya,Шитье| Выкройки | Уроки шитья,Уроки шитья . Советы по шитью для опытных и новичков!,https://static3.tgstat.ru/channels/_100/29/29196246c9996bd0bbd434475c976d61.jpg,83313
23,handmade,RU,https://t.me/amigurumi_mc,@amigurumi_mc,Амигуруми | Мастер-классы,Склад описаний Амигуруми | Вязание,https://static9.tgstat.ru/channels/_100/99/99664f094c8a0c2cf7d5d0efaffb3050.jpg,74286
24,handmade,RU,https://t.me/spize25,@spize25,Вязание спицами и крючком,Море схем по вязанию!,https://static1.tgstat.ru/channels/_100/87/87b9709c182348b31640c73e496a13f8.jpg,73301
25,handmade,RU,https://t.me/vikroyki_pdff,@vikroyki_pdff,БЕСПЛАТНЫЕ ВЫКРОЙКИ PDF | ШИТЬЁ,Больше 5000 бесплатных выкроек,https://static1.tgstat.ru/channels/_100/f2/f2f1c6103f0bf5cbf16dd28354882c65.jpg,68632
26,handmade,RU,https://t.me/alexgyvershow,@alexgyvershow,AlexGyver 🛠 Channel,"Блог Alex'a, новости из мира Arduino и электроники и другие интересности.",https://static6.tgstat.ru/channels/_100/07/07c7a8405d877b01ff2c67358ca8133a.jpg,67039
29,handmade,RU,https://t.me/pdf_vikroyki,@pdf_vikroyki,PDF Бесплатные выкройки | Шитье,БЕСПЛАТНЫЕ ВЫКРОЙКИ  В ФОРМАТЕ PDF,https://static1.tgstat.ru/channels/_100/11/11c175ce46ccc35f6e5d57e00b3ad153.jpg,59141
30,handmade,RU,https://t.me/vataknit,@vataknit,"Вязание схемы, описание",Вязаные модели с описанием спицами и крючком.,https://static10.tgstat.ru/channels/_100/42/422b16c465d4fad46189308cf011b42d.jpg,58740
33,handmade,RU,https://t.me/hatknitt,@hatknitt,"Вяжем аксессуары | Вязание (шапки, носки, сумки)",Вязание спицами и крючком с описанием и схемами.,https://static10.tgstat.ru/channels/_100/cc/cc01fd839805eca6b55166f081dae516.jpg,55005
34,handmade,RU,https://t.me/vikroyky_free,@vikroyky_free,Бесплатные выкройки PDF,,https://static10.tgstat.ru/channels/_100/9e/9ee95a804af741b167eb3e6d37b5b8e9.jpg,51608
39,handmade,RU,https://t.me/hand_sewing,@hand_sewing,Ручки шьют | Выкройки,"Лучшие мастер-классы, советы и подсказки для шитья!",https://static7.tgstat.ru/channels/_100/72/72798e14c5b7fb781dc3d0499b19ef46.jpg,47898
42,handmade,RU,https://t.me/pletenie_biser,@pletenie_biser,Бисер • Рукоделие,"Все о бисере: схемы, идеи, украшения, творчество!",https://static7.tgstat.ru/channels/_100/c5/c56c21e068159b5f5ab20613eb5c322e.jpg,45797
47,handmade,RU,https://t.me/amigurumi_knit,@amigurumi_knit,Амигуруми | Amigurumi,Канал про вязание Амигуруми | Amigurumi,https://static6.tgstat.ru/channels/_100/81/81a1a059eaeeb222d6c7872a58992707.jpg,42366
48,handmade,RU,https://t.me/stilnoe_vjazanie,@stilnoe_vjazanie,"Стильное вязание, СХЕМЫ",Стильные идеи вязания со схемами и описанием,https://static8.tgstat.ru/channels/_100/c3/c35b91ee8c997966bdaddb3da53a6bf7.jpg,39665
49,handmade,RU,https://t.me/igornegodastartuem,@igornegodastartuem,Игорь Негода,"Мастерская металло и турбообработки, стартуем и даем чего ? Правильно жид.....го  И эта - топим за безопасность !!!",https://static1.tgstat.ru/channels/_100/ff/ffc7a553ecf549441e5e791fdcfd3747.jpg,38315
51,handmade,RU,https://t.me/vyshivkaa,@vyshivkaa,Мир вышивки | рукоделие,🪡Самый популярный канал о вышивании.,https://static10.tgstat.ru/channels/_100/8e/8e1ba216bd4a09c9829a94b1e1d2d026.jpg,37612
55,handmade,RU,https://t.me/shiit_zdorovo,@shiit_zdorovo,Шить Здорово 🪡,"Огромное количество выкроек одежды, мастер классов и советов по шитью!",https://static6.tgstat.ru/channels/_100/fe/fe1050ab9e0fababcd37355b57b0c296.jpg,35941
