id,category,country,channel,handle,name,description,image,subscribers
3,instagram,RU,https://t.me/DoaaNevisie,@DoaaNevisie,سرکتاب📖 دعانویسی✍️ طلسمات🧿 نویسی,دعانویسی  و انجام طلسمات🪬,https://static10.tgstat.ru/channels/_100/a0/a05a4035a546b35cba7ce0c6cd566bc2.jpg,599104
6,instagram,RU,https://t.me/jenskiydom,@jenskiydom,Женский домик,Сторис на все случаи жизни️,https://static9.tgstat.ru/channels/_100/93/93d9f97537410bd50721e26bcf1c5307.jpg,157926
7,instagram,RU,https://t.me/vidstor,@vidstor,Красивые видео для сторис,"Канал уважает авторские права: материалы публикуются с указанием авторства и ссылкой на источник. Если вы правообладатель и считаете, что ваши права нарушены, свяжитесь со мной для решения вопроса.",https://static10.tgstat.ru/channels/_100/43/4324178b532e1f96ce1264b2416d210a.jpg,114063
8,instagram,RU,https://t.me/fotodlyapranka1,@fotodlyapranka1,ФОТО ДЛЯ ПРАНКА В СТОРИС,Всё для твоих историй,https://static6.tgstat.ru/channels/_100/33/33e53ccbf7e3f38f9537d0062b5f1d52.jpg,105285
10,instagram,RU,https://t.me/storisgid,@storisgid,𝐒𝐓𝐎𝐑𝐈𝐒𝐆𝐈𝐃,𝐓𝐎𝐏 𝐂𝐇𝐀𝐍𝐍𝐄𝐋 𝐖𝐈𝐓𝐇 𝐀𝐔𝐓𝐇𝐎𝐑‘𝐒 𝐈𝐃𝐄𝐀𝐒 & 𝐄𝐋𝐄𝐌𝐄𝐍𝐓𝐒 𝐅𝐎𝐑 𝐘𝐎𝐔𝐑 𝐒𝐓𝐎𝐑𝐈𝐄𝐒,https://static4.tgstat.ru/channels/_100/05/05aae6fea81ac10ec68cd5693518b94e.jpg,93015
11,instagram,RU,https://t.me/visualtop,@visualtop,СТИКЕРЫ PNG ДЛЯ СТОРИС | ВИЗУАЛ,"🩷Авторские стикеры и надписи ПНГ для оформления Ваших соц сетей (телеграм, инста, ВК и др)",https://static6.tgstat.ru/channels/_100/c5/c587d6ead8dcb048582ffa2cd17bbb7c.jpg,90947
13,instagram,RU,https://t.me/piaceimpresets,@piaceimpresets,piaceim • пресеты & блогинг,Проект по формированию чувства стиля и тренировке насмотренности в создании контента 🩶,https://static1.tgstat.ru/channels/_100/00/00b6ce4d78840a33d2bb1711ff41df0a.jpg,86674
15,instagram,RU,https://t.me/futazhii,@futazhii,Шаблоны CapCut / Кап Кут,Лучшие шаблоны CapCut / Кап кут под твое настроение. Cap Cut templates footage. Капкут шаблоны для эдитов. Монтаж в Cap Cut скачать,https://static7.tgstat.ru/channels/_100/cc/ccd151c9034aa99c149f1b37b3eb9867.jpg,76540
16,instagram,RU,https://t.me/shanghai1m,@shanghai1m,上海外围*上海萝莉*上海修车*上海资源,上海外围*上海萝莉*上海修车*上海资源,https://static1.tgstat.ru/channels/_100/5f/5fe523fc6a7895054b81bcca7f88e26c.jpg,75560
18,instagram,RU,https://t.me/stories_sticke,@stories_sticke,Стикеры Png Сторис,Сотрудничество/ реклама :,https://static4.tgstat.ru/channels/_100/79/79bda07faa65b79bd9a4fddadcf19390.jpg,69881
19,instagram,RU,https://t.me/mendomik,@mendomik,Мужской домик,Сторис на все случаи жизни,https://static6.tgstat.ru/channels/_100/4e/4e5c920ae54576a983a4aa40f93dc24b.jpg,63264
21,instagram,RU,https://t.me/vibe_stories,@vibe_stories,АТМОСФЕРНЫЕ СТОРИС | Готовые сторис | Доброе утро | Стикеры | PNG,Готовый контент для твоих Stories,https://static4.tgstat.ru/channels/_100/07/076d95c6d14fbdfa54685e96059420c2.jpg,62831
22,instagram,RU,https://t.me/silastories,@silastories,СИЛА СТОРИС,№ 4776941135,https://static8.tgstat.ru/channels/_100/62/627983d8792860e6bc76f89dd50a8af3.jpg,62432
23,instagram,RU,https://t.me/s_golovoj,@s_golovoj,С ГОЛОВОЙ 🎞,монтаж | обучение | советы по reels и tiktok,https://static8.tgstat.ru/channels/_100/f1/f1f6bce38bfc6512343987cba153b4f5.jpg,60554
24,instagram,RU,https://t.me/storiesstoreee,@storiesstoreee,| 𝐒𝐓𝐎𝐑𝐈𝐄𝐒𝐒𝐓𝐎𝐑𝐄 |,КРЕАТИВНЫЕ ИДЕИ & ЭЛЕМЕНТЫ ДЛЯ STORIES,https://static7.tgstat.ru/channels/_100/67/676725dc912c5a05c98c860aca76124d.jpg,57062
25,instagram,RU,https://t.me/BitchFake,@BitchFake,Bitch.,ᴨᴏ ʙᴄᴇʍ ʙᴏᴨᴩᴏᴄᴀʍ @Bee1706,https://static4.tgstat.ru/channels/_100/30/30542905e502fead2c9ef4c6eeddfdef.jpg,56789
27,instagram,RU,https://t.me/mari_zapuski,@mari_zapuski,Мари про запуски,Разборы запусков блогеров. Фишки и схемы продаж в Instagram от продюсера. Сплетни про инфобиз) instagram.com/mariafonina,https://static5.tgstat.ru/channels/_100/4b/4bd7aa2f822039c1966bfcae01ee82a8.jpg,55769
