id,category,country,channel,handle,name,description,image,subscribers
7,quotes,RU,https://t.me/evodays,@evodays,365 new days,365 new chances,https://static1.tgstat.ru/channels/_100/82/82c3378f73c6486f5e6e397edff354fb.jpg,616275
16,quotes,RU,https://t.me/love_thxs,@love_thxs,люблю,наш второй канал: @sign_thxs,https://static9.tgstat.ru/channels/_100/55/55db151561f6bb6d8fd40e35082fdc47.jpg,454677
26,quotes,RU,https://t.me/pesni_remix_2024,@pesni_remix_2024,𝔽𝕖𝕟𝕕𝕚_𝕥𝕣𝕒𝕔𝕥🥀 | Музыка | Треки,Музыка  | Сохры  | Цитаты 🫀,https://static5.tgstat.ru/channels/_100/7a/7ab76a846df9828168662b333053f5cf.jpg,412095
29,quotes,RU,https://t.me/cafe_citaty,@cafe_citaty,Cafe дe Flore,По рекламе: @evoanna,https://static8.tgstat.ru/channels/_100/c7/c7c978054460a5d4abb5f92782b5eba1.jpg,397782
31,quotes,RU,https://t.me/mind_ru,@mind_ru,со смыслом🥀 | цитаты | грустное видео,"обратно нельзя, поднимаемся выше",https://static8.tgstat.ru/channels/_100/8f/8f4526264883ad72976a4033c74b66d3.jpg,394415
35,quotes,RU,https://t.me/Galirey,@Galirey,𝒢 𝒶 𝓁 𝓁 ℯ 𝓇 𝓎 🤍🕊,Be the best version of yourself 🪷,https://static3.tgstat.ru/channels/_100/06/06fa760b6155b8745e3c3a1f7de21de7.jpg,378952
64,quotes,RU,https://t.me/wexsavi,@wexsavi,⋅ʚ ✧ ꒰ఎ Wexsavĭ ໒꒱ ✧ ɞ⋅,"𓆩 𝑠𝑡𝑖𝑐𝑘𝑒𝑟𝑠, 𝑡ℎ𝑒𝑚𝑒𝑠, 𝑙𝑎𝑛𝑔𝑢𝑎𝑔𝑒𝑠, 𝑚𝑢𝑠𝑖𝑐 𝑓𝑜𝑟 𝑦𝑜𝑢` 𓆪",https://static1.tgstat.ru/channels/_100/10/1088579c037790f6d1004b8154a0b803.jpg,237867
66,quotes,RU,https://t.me/poslanyheart,@poslanyheart,послание от сердца,владелец: @vcs_dkny,https://static7.tgstat.ru/channels/_100/7c/7c123b40522e3bc686aaa31d45eb5d10.jpg,236075
74,quotes,RU,https://t.me/Worldthought,@Worldthought,5 умных мыслей,ВК - https://vk.com/world_thoughts,https://static4.tgstat.ru/channels/_100/8c/8c871a3cca7d6f62792a225ef886fca5.jpg,223749
75,quotes,RU,https://t.me/podkaadttsss,@podkaadttsss,Подкаты.,По вопросам (предложить свой подкат) - @vspakloove,https://static2.tgstat.ru/channels/_100/70/70ad2bbeed89013cc3df74198a5e0280.jpg,222510
