id,category,country,channel,handle,name,description,image,subscribers
1,tech,RU,https://t.me/naebnet,@naebnet,NN,"Медиа про интернет, технологии и финансы",https://static8.tgstat.ru/channels/_100/81/81e6ccb9e917e37a2759b2f849da89c5.jpg,1852115
2,tech,RU,https://t.me/exploitex,@exploitex,Эксплойт,Крупнейшее медиа об интернет-культуре и технологиях.,https://static6.tgstat.ru/channels/_100/01/01aedde55cfaf3825b8f1e162fda5225.jpg,1592067
5,tech,RU,https://t.me/GPTMainNews,@GPTMainNews,GPT | ChatGPT | Midjourney — GPTMain News,Первый верифицированный канал о технологиях и искусственном интеллекте.,https://static4.tgstat.ru/channels/_100/47/473491b8fdf65b1445cc34b7e206f4ca.jpg,1453015
7,tech,RU,https://t.me/milord_q,@milord_q,Милорд,"Канал про Технологии, IT, стартапы, гаджеты, кибербезопасность",https://static3.tgstat.ru/channels/_100/91/91d6b6674eabfaa17c76500feb458f50.jpg,1195807
8,tech,RU,https://t.me/Wylsared,@Wylsared,Wylsacom Red,Единственный легальный канал Wylsacom Media.,https://static5.tgstat.ru/channels/_100/07/0759b82303d700c50c174fe7518d4d4a.jpg,1193569
9,tech,RU,https://t.me/provod,@provod,Провод,"Быстрее и интереснее всех про IT, диджитал и медиа.",https://static9.tgstat.ru/channels/_100/e7/e784c77cfa297508fb13340fce385105.jpg,1081511
11,tech,RU,https://t.me/whackdoor,@whackdoor,Бэкдор,"Не заходи без шапочки из фольги и пары надежных проксей. Интернет, уязвимости, полезные сервисы и IT-безопасность.",https://static7.tgstat.ru/channels/_100/cd/cd782febb1fe9106c00c6810d859a50f.jpg,1026930
13,tech,RU,https://t.me/technomotel,@technomotel,Техномотель,"Главное про технологии, интернет-культуру, тренды и нейросети.",https://static5.tgstat.ru/channels/_100/41/41acf671c2992cc241d83479a4c2e6d8.jpg,881408
14,tech,RU,https://t.me/hiaimedia,@hiaimedia,"Hi, AI! | Нейросети и технологии","Канал для умной и образованной аудитории об искусственном интеллекте, нейросетях, AI-стартапах и людях, которые их развивают.",https://static6.tgstat.ru/channels/_100/07/07780d9bef68f4efb511ed50020a554a.jpg,879477
15,tech,RU,https://t.me/TrendWatching24,@TrendWatching24,TrendWatching,"Крупнейший канал про тренды из мира IT, технологий и бизнеса.",https://static3.tgstat.ru/channels/_100/e6/e6da701ad465b8073633df2f8d930ae5.jpg,834296
18,tech,RU,https://t.me/Romancev768,@Romancev768,Romancev768,Коротко и по делу!,https://static4.tgstat.ru/channels/_100/d4/d46e5f4762657de7ea8279240282a32c.jpg,778158
19,tech,RU,https://t.me/chatgpt3,@chatgpt3,1337,"Медиа о нейросетях, видеоконтенте, современном маркетинге и интернет-трендах.",https://static9.tgstat.ru/channels/_100/ee/ee10d8ad2019030fc84525e589973849.jpg,768673
20,tech,RU,https://t.me/chatgptv,@chatgptv,"Цифровой Журнал | IT, ChatGPT","Медиа об IT, трендах, технологиях и нейросетях. Самое интересное тут!",https://static5.tgstat.ru/channels/_100/07/07b9eee29167394fcca6f4ffd308d865.jpg,682269
22,tech,RU,https://t.me/remedia,@remedia,Рестарт,"Наконец-то нормальный канал про технологии, игры и гаджеты, а не вот это все.",https://static2.tgstat.ru/channels/_100/99/99e7086de35e2f643bb9efc5f30c5dbf.jpg,599869
23,tech,RU,https://t.me/concertzaal,@concertzaal,concertzaal,"Медиа будущего. О науке и разработках, об инфлюенсерах и новом образе жизни, об инновациях и IT. О том, что определяет нашу жизнь.",https://static10.tgstat.ru/channels/_100/68/68455fd12cd1c3d00135e77fa721c937.jpg,581491
27,tech,RU,https://t.me/rozetked,@rozetked,Rozetked,"Текстом и видео о мире, технологиях, медиакультуре и не только.",https://static9.tgstat.ru/channels/_100/c7/c74d97b01eae257e44aa9d5bade97baf.jpg,513407
28,tech,RU,https://t.me/biggeekru,@biggeekru,Big Geek,"Гаджеты, фильмы, сериалы, игры.",https://static6.tgstat.ru/channels/_100/b0/b09561b00e057b9d6c102b2cebfd585a.jpg,494089
