id,category,country,channel,handle,name,description,image,subscribers
6,telegram,RU,https://t.me/premium,@premium,Telegram Premium,Telegram Premium – a subscription that unlocks dozens of exclusive features.,https://static6.tgstat.ru/channels/_100/dd/dd151ce9a6bc922029428ad2b61936ad.jpg,10198819
20,telegram,RU,https://t.me/PremiumRussia,@PremiumRussia,Telegram Premium,"Telegram Premium — подписка, с которой Вы получаете доступ к десяткам эксклюзивных функций.",https://static1.tgstat.ru/channels/_100/01/01e212cb9f28983bf213a96b0204e0c3.jpg,1690265
27,telegram,RU,https://t.me/temki_parnyeyazi,@temki_parnyeyazi,ЯЗЫКИ И ТЕМЫ ТГ ОБОИ,Лучшие темки и язычки для тг,https://static5.tgstat.ru/channels/_100/65/657b556a96a77fc8939285033a8fa7e7.jpg,1447258
33,telegram,RU,https://t.me/temki_parnye,@temki_parnye,ЯЗЫКИ И ТЕМЫ | ОБОИ ТГ,По рекламе (платная): @exoslemvshkole1,https://static2.tgstat.ru/channels/_100/31/31bd1655e1a3068c0a2b9eb6966e4dcc.jpg,1012101
34,telegram,RU,https://t.me/stikery4,@stikery4,Стикеры | Эмодзи,Лучшие стикеры и эмодзи каждый день!,https://static6.tgstat.ru/channels/_100/c4/c41eab0029b5a0b3957d0e01bd9ea9f5.jpg,1008515
36,telegram,RU,https://t.me/TgEmojis,@TgEmojis,Премиум эмодзи | стикеры | Premium Emoji,Премиум эмоджи и стикеры для Телеграм!,https://static3.tgstat.ru/channels/_100/9b/9bca746b63cbf5661f2a7f10f7e84ca1.jpg,978808
38,telegram,RU,https://t.me/silero_voice_news,@silero_voice_news,Silero News,Новости бота Silero и не только,https://static4.tgstat.ru/channels/_100/90/90a4d5f53cffbc934b0dc1e2bbdb0efe.jpg,910105
41,telegram,RU,https://t.me/skachatr,@skachatr,TT Save | Скачать ТикТок инстаграм,,https://static1.tgstat.ru/channels/_100/c5/c5ece78ec8223db828d65cc4383e3a56.jpg,835745
49,telegram,RU,https://t.me/TgSticker,@TgSticker,Telegram Stickers | Стикеры,Самый большой каталог стикеров телеграм!,https://static3.tgstat.ru/channels/_100/94/9407305400a3b355df1f23b86e031ff3.jpg,713284
62,telegram,RU,https://t.me/iris_cm,@iris_cm,Iris | Чат-менеджер | Канал,Официальный канал по боту «Iris l Чат-менеджер» в Telegram,https://static4.tgstat.ru/channels/_100/bd/bd45770c85af4ee45bb1988072e065df.jpg,583477
65,telegram,RU,https://t.me/ahnoee,@ahnoee,марс | языки и темы,｡  ˚!! ｡,https://static9.tgstat.ru/channels/_100/0c/0cb737d4b17294c66066c5defa48757a.jpg,560871
66,telegram,RU,https://t.me/emodzhi,@emodzhi,Premium Emoji Эмодзи,"Создание эмодзи, стикеров, с премиум и без  @EmojiCatalogbot",https://static5.tgstat.ru/channels/_100/d9/d978758a99e997489548d3f577520c1c.jpg,559192
84,telegram,RU,https://t.me/sokhryb,@sokhryb,Темы для Тг | Обои,"Soulmate - твоя родственная душа, здесь ты найдешь вдохновение.",https://static2.tgstat.ru/channels/_100/b9/b9510b1411e4715f37571e2e26b03d06.jpg,428818
88,telegram,RU,https://t.me/fStikBlog,@fStikBlog,fStikBot — Создать стикеры (Favorite Stickers),,https://static2.tgstat.ru/channels/_100/cd/cd7a9ea625bf0ec60dc3bc0655ddd69c.jpg,416499
89,telegram,RU,https://t.me/PrankerNews,@PrankerNews,Pranker Bot - Новости | Фото по ссылке | Пранк ссылка,Условия пользования ботом:,https://static3.tgstat.ru/channels/_100/7a/7acd316c47bb3d3eafc17a1fed22c0f3.jpg,409696
96,telegram,RU,https://t.me/emoji1,@emoji1,Best Premium Emoji | Премиум Эмодзи,Best Premium Emoji,https://static4.tgstat.ru/channels/_100/c2/c2a0fe2d577bcc53ccfeca813f12db60.jpg,390301
97,telegram,RU,https://t.me/steosvoice,@steosvoice,SteosVoice News,Новости платформы SteosVoice,https://static10.tgstat.ru/channels/_100/67/67836dcef852cc00a96a5c829a5a647f.jpg,388369
129,telegram,RU,https://t.me/yazyki_dlya_tg,@yazyki_dlya_tg,язычки и темы,Здесь есть крутые темы и языки для твоего телеграма.,https://static6.tgstat.ru/channels/_100/b7/b7903b021baa0c07e59ccc878803f93d.jpg,298414
141,telegram,RU,https://t.me/stikerk877,@stikerk877,стикеры | темы,,https://static7.tgstat.ru/channels/_100/3a/3a24b14b2dc8c5bd2b9c73d95a73dd47.jpg,278494
146,telegram,RU,https://t.me/knifee,@knifee,angel,Ссылка на канал: @temivv,https://static4.tgstat.ru/channels/_100/c6/c691aed6a830ebb1793a793f7d07034d.jpg,265619
147,telegram,RU,https://t.me/oboiparnyea,@oboiparnyea,ЯЗЫКИ И ТЕМЫ ТГ ШРИФТЫ,Лучшие темки и язычки для тг,https://static9.tgstat.ru/channels/_100/d3/d3ce5f2f48a06391e91919babef96361.jpg,265303
150,telegram,RU,https://t.me/TgEmodzi,@TgEmodzi,Эмоджи | Эмодзи,Стикеры публикуем тут - @TgStickery,https://static6.tgstat.ru/channels/_100/00/00cf5c87b9313bc1ed7efe3ee645a3f4.jpg,262469
154,telegram,RU,https://t.me/TgStickery,@TgStickery,Стикеры | Telegram Stickers,Эмоджи и Премиум стикеры публикуем тут - @TgEmodzi,https://static5.tgstat.ru/channels/_100/5a/5aca47dddcaba2c691c1e8050e7bdb08.jpg,257098
157,telegram,RU,https://t.me/AudioBotBlog,@AudioBotBlog,Audio Bot Blog,Блог популярного бота для скачивания музыки из VK - @AudioBot,https://static8.tgstat.ru/channels/_100/f6/f63020877340683368d020418a080a0f.jpg,255882
163,telegram,RU,https://t.me/sranchik,@sranchik,Сранчик,Сранчик Бот  @sranchikbot,https://static9.tgstat.ru/channels/_100/51/51354a0a77eccdd65bcb48a934b94c97.jpg,246844
166,telegram,RU,https://t.me/yazyki_dlya,@yazyki_dlya,язычки и темы тг,подборки темок и языков,https://static1.tgstat.ru/channels/_100/39/39147826f99d3afba3ff10445555e0f2.jpg,243972
173,telegram,RU,https://t.me/Stikery_EmodziTg_ch_q,@Stikery_EmodziTg_ch_q,Telegram Premium Emoji,Premium emoji №1,https://static2.tgstat.ru/channels/_100/d1/d1054993f4793737328932fae3debb3c.jpg,235022
198,telegram,RU,https://t.me/oboi_dlyas,@oboi_dlyas,Языки и Темы ТГ,Подборки темок и языков для тг.,https://static3.tgstat.ru/channels/_100/aa/aa5470959287b63b230aecebc837b56c.jpg,219934
203,telegram,RU,https://t.me/razdacha_TelegramPremium,@razdacha_TelegramPremium,Розыгрыши Telegram Premium Giveaways,Ежедневные розыгрыши Telegram Premium ️ Бесплатно,https://static8.tgstat.ru/channels/_100/05/05fe318bcc372a41be839c7ffcbc0b17.jpg,216990
221,telegram,RU,https://t.me/tghelp_ru,@tghelp_ru,Скорая помощь Plus Messenger,Здесь собраны ответы на самые часто задаваемые вопросы по Plus Messenger,https://static2.tgstat.ru/channels/_100/17/17788f4482187fbacc5a02378989df69.jpg,200816
228,telegram,RU,https://t.me/club_tg_premium,@club_tg_premium,Розыгрыши Telegram Premium Giveaways,Реклама/Размещение вашего розыгрыша,https://static1.tgstat.ru/channels/_100/38/387bf45a2b476d66103c2ef09eaf19b6.jpg,195621
258,telegram,RU,https://t.me/flibustaa_anglysky,@flibustaa_anglysky,Скачать Книги • Аудиокниги,Наш Книжный бот  https://t.me/Poiskkniga_bot?start=poisk,https://static3.tgstat.ru/channels/_100/cc/cc9d03ea9eeb91bb4dfd5e92f98b0105.jpg,178143
260,telegram,RU,https://t.me/f3lvixx,@f3lvixx,folwixxx,ᥴᴛρ᧐ᴦ᧐ ᥰ᧐ ρᥱκ᧘ᥲⲙᥱ: @qwexuuu,https://static8.tgstat.ru/channels/_100/c8/c863f6693545ad16c93c9f44ff8d3d42.jpg,177162
292,telegram,RU,https://t.me/nakhodkiTT,@nakhodkiTT,НА❤️ ВБ❤️ СКИДКИ❤️ С АКЦИИ❤️ WILDBERRIES❤️,ОСНОВНОЙ КАНАЛ,https://static9.tgstat.ru/channels/_100/73/73abf0e3398f46f977116187f93db439.jpg,162351
305,telegram,RU,https://t.me/stickroom,@stickroom,Комната стикеров | Стикеры | Стикеры ВК | Stickers,Тепло и лампово о самых лучших стикерах ️,https://static8.tgstat.ru/channels/_100/f3/f3b824b12593b0f51672e306ae05e7fa.jpg,155904
342,telegram,RU,https://t.me/lavandeyaz,@lavandeyaz,lavender tea,твое одиночество ждет теплого чая и песен под гитару🪬,https://static2.tgstat.ru/channels/_100/e1/e1f3e6abdb1bd8f34a6fbf6e4d08bf0b.jpg,139521
353,telegram,RU,https://t.me/temyb,@temyb,темы и языки для телеграма,*⁀ оформи свой телеграм ₊｡,https://static3.tgstat.ru/channels/_100/c8/c81cde82624bdf783e64c11e2a04ee1b.jpg,134097
365,telegram,RU,https://t.me/tg_themes_anime,@tg_themes_anime,Аниме темы,"Владелец канала - @sleimor , @yohhoh",https://static9.tgstat.ru/channels/_100/ef/efc93843b4157b59ac3311f13148e9c0.jpg,128631
367,telegram,RU,https://t.me/chatgpt2,@chatgpt2,ChatGPT | Midjourney Bot,Самый популярный бот по нейросетям: @NeuralNetworksBot.,https://static9.tgstat.ru/channels/_100/6b/6b175bb0e4c9635bddddedfbeb4f8c38.jpg,127328
384,telegram,RU,https://t.me/tretyakovaelen_life,@tretyakovaelen_life,Третьякова Елена,Бизнес ‍ Психология ‍‍ Мотивация  № 4777612973,https://static1.tgstat.ru/channels/_100/0c/0cc5170c28b672884677a4fc8f662b2f.jpg,120950
400,telegram,RU,https://t.me/mednikova_d,@mednikova_d,Диана Медникова,,https://static10.tgstat.ru/channels/_100/ca/ca3f6df34a1b65946d8a9434747f3491.jpg,115611
403,telegram,RU,https://t.me/tehn1ka_iz_evropy,@tehn1ka_iz_evropy,ТЕХНИКА ИЗ ЕВРОПЫ,Вас приветствует магазин ТЕХНИКА ИЗ ЕВРОПЫ!,https://static8.tgstat.ru/channels/_100/f0/f044f78adf08433695a7402b4cbc3c99.jpg,114920
407,telegram,RU,https://t.me/joe_speen_youtube,@joe_speen_youtube,Joe Speen,"Эксклюзив и не только, который не покажем на основном YouTube канале",https://static4.tgstat.ru/channels/_100/9a/9a26bdef8ad30c669624c3c2ebb115d4.jpg,111890
414,telegram,RU,https://t.me/parnye_avy_dlyaa,@parnye_avy_dlyaa,Язычки и Темки ТГ,Лучшие подборки тем и языков во всем телеграме.,https://static9.tgstat.ru/channels/_100/c4/c446901831471bbf7e22c8dd774f0c3e.jpg,109865
422,telegram,RU,https://t.me/headdmin,@headdmin,Help Admin 👁‍🗨,,https://static5.tgstat.ru/channels/_100/be/be23ae9304d32944919c464647835939.jpg,107486
430,telegram,RU,https://t.me/tg_rosigrish,@tg_rosigrish,Бесплатные розыгрыши | Телеграм премиум,Канал с розыгрышами со всего телеграма! Подписывайся и получи большой шанс выиграть премиум себе на аккаунт и не только,https://static10.tgstat.ru/channels/_100/18/183160e5d6fd74975c2afe0f8fdee06d.jpg,104539
440,telegram,RU,https://t.me/izibotblog,@izibotblog,SaveBot Blog,Канал с новостями и обновлениями бота @izivipbot,https://static2.tgstat.ru/channels/_100/87/87f1135cd063072871fae897c06a8aff.jpg,103366
448,telegram,RU,https://t.me/premiumlob,@premiumlob,РОЗЫГРЫШИ ТГ ПРЕМИУМ/TELEGRAM PREMIUM,"В этом канале будут выкладываться розыгрыши телеграмм премиумов, и многие другие розыгрыши!!!",https://static5.tgstat.ru/channels/_100/56/5694fad3062b2064470f01dfa1abecbe.jpg,102567
463,telegram,RU,https://t.me/stikeryt,@stikeryt,Стикеры | Языки и Темы,Новые стикеры и темы для оформления тг каждый день,https://static4.tgstat.ru/channels/_100/24/24d0f13a101f12835daa5b52b7ed5601.jpg,100487
464,telegram,RU,https://t.me/stickersssima,@stickersssima,Стикеры на все случаи жизни,,https://static3.tgstat.ru/channels/_100/f7/f7e3d120cbcf11da1f0daebd16be2d29.jpg,100430
472,telegram,RU,https://t.me/yazyki0,@yazyki0,языки и темы,прайс: @reklarh,https://static10.tgstat.ru/channels/_100/47/47fbcde16c35b82380b5baf1eec10fcd.jpg,99131
489,telegram,RU,https://t.me/emodzhi_sozdat_temy,@emodzhi_sozdat_temy,ПРЕМИУМ СТИКЕРЫ ЭМОДЗИ,Премиум эмоджи и стикеры для Телеграм!,https://static1.tgstat.ru/channels/_100/80/80f700a106ccd19e298b622e61dbfc56.jpg,93695
506,telegram,RU,https://t.me/nyasticks,@nyasticks,Нястикс - Аниме стикеры | Эмодзи,Лучший канал по Аниме Стикерам!,https://static6.tgstat.ru/channels/_100/16/169d3e49d25464a75f7268624eb085c9.jpg,90617
514,telegram,RU,https://t.me/loot_premium,@loot_premium,Telegram Premium Розыгрыш Бесплатно,По рекламе и размещению,https://static6.tgstat.ru/channels/_100/10/105386b54a829d9eb35f457e124a4b95.jpg,88981
521,telegram,RU,https://t.me/plusmsgrru,@plusmsgrru,Plus Messenger Russian Channel,Plus Messenger Official Russian Channel,https://static7.tgstat.ru/channels/_100/b2/b22e3b0a6b1d188e3baee37c5c382b85.jpg,87846
526,telegram,RU,https://t.me/irissup,@irissup,Iris | Полезное,"Канал с полезными статьями, гайдами, а также лайфхаками и советами по Ирису!",https://static7.tgstat.ru/channels/_100/e4/e45e76a34bdc36f9022bc25e671230f2.jpg,87563
535,telegram,RU,https://t.me/yazikydlyatg,@yazikydlyatg,Язычки и темки для тг,⃕ ʙᴄᴇ нᴀши ᴛᴇʍы:,https://static5.tgstat.ru/channels/_100/3e/3ec6777dfe978295e43afba1d96ccfb9.jpg,86009
549,telegram,RU,https://t.me/poisk_literaturai,@poisk_literaturai,СКАЧАТЬ📗КНИГИ📕ФЛИБУСТА,Рассказы  https://t.me/receptkokk_bot?start=neww,https://static5.tgstat.ru/channels/_100/85/851d26e7cd22faf94813c0a9839b6c47.jpg,82187
556,telegram,RU,https://t.me/secretship,@secretship,Secretship,Канал для админов каналов и ботов от основателя и разработчика популярных Телеграм ботов.,https://static3.tgstat.ru/channels/_100/91/91ba4a4478a66bee9812b0804b6f9d1b.jpg,81311
559,telegram,RU,https://t.me/dayana_brut,@dayana_brut,Даяна Брют,Осторожно! ВДОХНОВЛЯЮ🪄,https://static9.tgstat.ru/channels/_100/1c/1c6b940587ef6f3afc7d2fe7023d7bcf.jpg,80723
594,telegram,RU,https://t.me/TGStat,@TGStat,TGStat.ru — Аналитика Telegram-каналов и чатов,Канал сервиса TGStat.ru.,https://static8.tgstat.ru/channels/_100/1b/1ba75ef1c643f82ac4a09c7aa43bd3ff.jpg,75379
634,telegram,RU,https://t.me/TeleScanOfficial,@TeleScanOfficial,🕵️ Telescan вещает,"Сканируем глубже, чем УЗИ",https://static6.tgstat.ru/channels/_100/92/925cecbd78039d6b0aa3ece791f9464b.jpg,69397
636,telegram,RU,https://t.me/ThemesBest,@ThemesBest,Best Themes - телеграм темы для андроид и айось,Telegram themes for all platforms,https://static6.tgstat.ru/channels/_100/ab/ab938db70c18cc9a9895d5bb5afb026b.jpg,69302
659,telegram,RU,https://t.me/sollarss,@sollarss,Sollarss,Света Соллар,https://static2.tgstat.ru/channels/_100/04/045711121feb2888771741a7bee87eff.jpg,66639
670,telegram,RU,https://t.me/PremiumSpanish,@PremiumSpanish,Telegram Premium,"Telegram Premium, una suscripción que desbloquea decenas de funciones exclusivas.",https://static6.tgstat.ru/channels/_100/d5/d590b08a3a3c1bdb5a8ab8630691729b.jpg,65644
675,telegram,RU,https://t.me/EmojiRus,@EmojiRus,Эмоджи Premium эмодзи,крутые эмоджи и стикеры каждый день,https://static9.tgstat.ru/channels/_100/d3/d3d1d5a8b94292a6f2ddd1e68b40fa05.jpg,65549
682,telegram,RU,https://t.me/contest_ru,@contest_ru,Конкурсы Telegram,Анонсы и итоги конкурсов Telegram для русскоязычных разработчиков. Канал частично дублирует англоязычный @contest,https://static1.tgstat.ru/channels/_100/ea/ea30049d8172e179ad4dd6fe1add32a3.jpg,64584
683,telegram,RU,https://t.me/instagram_tiktok_skachat_bot,@instagram_tiktok_skachat_bot,Скачать видео из TikTok Instagram YouTube,Support / Помощь - @artme_1,https://static1.tgstat.ru/channels/_100/ab/ab27e087aff85ab73a96ad811b39be40.jpg,64560
686,telegram,RU,https://t.me/rulangs,@rulangs,Русские переводы Telegram,Русские языковые пакеты для приложений Telegram. Все права на переводы принадлежат их владельцам.,https://static4.tgstat.ru/channels/_100/91/916853fa15d887086c05743114edea9a.jpg,64284
707,telegram,RU,https://t.me/offfcrypto,@offfcrypto,Off крипту,Ежедневные FREE активности которые помогут тебе выбраться со дна.,https://static9.tgstat.ru/channels/_100/d2/d2c63e4e17a9c69830eedb1f1a5ce4d2.jpg,61451
709,telegram,RU,https://t.me/tginfo,@tginfo,Telegram Info,Новости о Telegram,https://static8.tgstat.ru/channels/_100/70/70efdf2ec9b086079795c442636b55fb.jpg,61350
