id,category,country,channel,handle,name,description,image,subscribers
3,video,RU,https://t.me/kino_hd2,@kino_hd2,ФИЛЬМЫ КИНО СЕРИАЛЫ,Все материалы размещены по партнёрской програме ivi.ru | All materials are posted on the partner program ivi.ru,https://static9.tgstat.ru/channels/_100/cc/cc0f02c413327abde39cc34ddd39a701.jpg,1572296
5,video,RU,https://t.me/kino_filmyc,@kino_filmyc,СУБСТАНЦИЯ ⭕️ СМОТРЕТЬ СЕРИАЛЫ,Не являемся официальным сообществом!,https://static1.tgstat.ru/channels/_100/32/324e6d341c2c6699388049a2aac3486f.jpg,1189133
11,video,RU,https://t.me/kinopoisk,@kinopoisk,Кинопоиск: фильмы и сериалы,"Фильмы и сериалы со всей планеты. Мы знаем, что посмотреть, где посмотреть и на что сходить в кино.",https://static9.tgstat.ru/channels/_100/77/77c493ec14246d748db3ee8fce0092db.jpg,841262
12,video,RU,https://t.me/film_kino_serialm,@film_kino_serialm,ЖИЗНЬ ПО ВЫЗОВУ 3,Не являемся официальным сообществом.,https://static6.tgstat.ru/channels/_100/18/18de759f0d4a2fe13d89edc7617f0565.jpg,826003
13,video,RU,https://t.me/Aff_Goblin,@Aff_Goblin,Гоблин,Не для малолетних дебилов!,https://static10.tgstat.ru/channels/_100/20/209ee6326329e42ff68ad42f9a9a139f.jpg,754627
21,video,RU,https://t.me/kinosom,@kinosom,Фильмы на вечер | Веном 3 Последний Танец,Лучшее из мира Кино,https://static10.tgstat.ru/channels/_100/6d/6df6b951bbcb68a6ce0896137d6b5a0b.jpg,590571
28,video,RU,https://t.me/k1noxa103,@k1noxa103,ФИЛЬМЫ СМОТРЕТЬ СКАЧАТЬ,Все материалы размещены по партнёрской програме ivi.ru | All materials are posted on the partner program ivi.ru,https://static7.tgstat.ru/channels/_100/b1/b15dcc5666d84c861eba92f9d39071eb.jpg,526636
64,video,RU,https://t.me/nikitabsg,@nikitabsg,БЕСОГОН,Официальный канал Никиты Михалкова «Бесогон» в Telegram,https://static9.tgstat.ru/channels/_100/0d/0dcf9a7df44a3b7ec4fc17b1157e2307.jpg,389213
70,video,RU,https://t.me/kinohdfilm1,@kinohdfilm1,Кино Сериалы Фильмы,Все материалы предоставлены по партнерской программе IVI,https://static10.tgstat.ru/channels/_100/38/387851a2ed4f0689064e564a8dc8b81c.jpg,370024
79,video,RU,https://t.me/plus_yndx,@plus_yndx,Плюс Медиа,"Каждый день рассказываем про все, что происходит у вас в подписке: что можно посмотреть, послушать и почитать, куда сходить и как использовать Яндекс Плюс по максимуму.",https://static9.tgstat.ru/channels/_100/87/872dcfd460a9141fd0b1c7aa79d90b6d.jpg,356625
83,video,RU,https://t.me/kinomanies,@kinomanies,Киноманы 🍿 фильмы сериалы,Самый популярный телеграм-журнал про кино,https://static8.tgstat.ru/channels/_100/29/2983e6d30aeb56f56159065eade6fc71.jpg,348741
88,video,RU,https://t.me/kulinaria_salaty_pp,@kulinaria_salaty_pp,РЕЦЕПТЫ ДИЕТЫ 🥬,Здесь собраны самые вкусные рецепты со всего интернета!,https://static1.tgstat.ru/channels/_100/05/05c1ae2cb68bfeeaed997a1bbccff0a2.jpg,346205
91,video,RU,https://t.me/filmy_seryaly_smotret,@filmy_seryaly_smotret,Жизнь по вызову 3,Не является официальным сообществом,https://static5.tgstat.ru/channels/_100/f8/f8ade5e91009ac374723b5b20bc21588.jpg,342834
96,video,RU,https://t.me/sndkgram,@sndkgram,sndk,Канал Димы Сыендука,https://static9.tgstat.ru/channels/_100/a0/a002957807bf649fd74ec1c34959cfe5.jpg,331356
