id	category	country	channel	handle	name	description	image	subscribers
1	books	RU	https://t.me/patephone_audioknigi	@patephone_audioknigi	Аудиокниги и книги от Patephone	https://patephone.com	https://static6.tgstat.ru/channels/_100/5f/5fa3c154106e874510e508bac4da5a4d.jpg	791448
3	books	Global	https://t.me/nourbook	@nourbook	مكتبة نور | Noor Book	اكبر مكتبة عربية مفتوحة للكتب Noor-book.com	https://static3.tgstat.ru/channels/_100/df/dfc3e8f326946212a1a646964388848e.jpg	627486
4	books	Global	https://t.me/zlibrary_official	@zlibrary_official	Z-Library Official 📚	News and announcements of the library. No books here.	https://static2.tgstat.ru/channels/_100/5c/5c19e616db73a1390728ccd7ebf6bc4a.jpg	607148
5	books	Global	https://t.me/librarypdf1	@librarypdf1	بحر الكتب العلمية	للإعلان الممول  buy ads	https://static6.tgstat.ru/channels/_100/f6/f615006390f14edd3c53cb5782e16e72.jpg	569810
6	books	IR	https://t.me/audiobo0ok	@audiobo0ok	کتابخانه صوتی 🎧	سفارش تبلیغات	https://static7.tgstat.ru/channels/_100/63/6392ab9dce0cd764ac8c99d3b71a4cb4.jpg	532819
7	books	Global	https://t.me/Brasil_Livros_Canal	@Brasil_Livros_Canal	Livros Grátis 📚 Biblioteca		https://static9.tgstat.ru/channels/_100/cc/ccf32f45806adc11782d9e76389c84d5.jpg	451031
8	books	RU	https://t.me/flibusta_anglysky	@flibusta_anglysky	Книги | Аудиокниги	‍️ Для навигации воспользуйтесь закрепленным сообщением.	https://static7.tgstat.ru/channels/_100/5d/5d5d6386f4e7ce6143d4ab16ffc6a96c.jpg	433275
9	books	IR	https://t.me/enn85	@enn85	بايوات انستا🖤 ترتيب هايلات	القناة الرسمية عالتلڪرام استمتعو بالمشاهده	https://static2.tgstat.ru/channels/_100/50/5069ab0c3c0d05f8db45884d424e45a1.jpg	425435
10	books	Global	https://t.me/TTTpT	@TTTpT	محمود درويش 🇵🇸	"""‏ونحن لم نحلم بأكثر من حياة كالحياة."""	https://static1.tgstat.ru/channels/_100/81/816eccd0b65b4210d1a079af4ad869b8.jpg	411381
11	books	IR	https://t.me/podchi	@podchi	پادچی | پادکست و کتاب صوتی	قسمت‌ کوچکی‌‌ از روزت رو به جای‌ گوش‌ دادن‌ به‌ موسیقی‌ های‌ بی‌ محتوا صرف‌ یادگیری‌ کن	https://static8.tgstat.ru/channels/_100/26/262bd2c5916265bc64cd85b02f19785e.jpg	339810
12	books	Global	https://t.me/oopdf	@oopdf	مستودع الكتب	ليست مجرد مكتبة وأنما كنز لعشاق الكتب والروايات	https://static10.tgstat.ru/channels/_100/ae/ae8bf8f5a44de039a0895920374377e2.jpg	330542
13	books	IN	https://t.me/study24_gk_plan	@study24_gk_plan	Study Gk plan railway defence SSC UPSC All one day exam 😊	Previous year question and all subject quiz available	https://static1.tgstat.ru/channels/_100/94/94ae3f3606493050a56f3866cbbd7874.jpg	318768
14	books	IN	https://t.me/bookshub25	@bookshub25	Books Hub: Ebook & Audiobook	Welcome to the best book channel of Telegram.	https://static3.tgstat.ru/channels/_100/69/699785e13f49df1cf62145db39bd9b73.jpg	308297
15	books	RU	https://t.me/ficbook_official	@ficbook_official	Фикбук	Погрузись в уютный мир фэндомов: фанфики, книги, аниме, фильмы, к-поп.	https://static5.tgstat.ru/channels/_100/ac/ace42637271d13d48f05e98b3e4916f5.jpg	305526
16	books	RU	https://t.me/knigi_literatura	@knigi_literatura	Ещё главу и спать | Литература	Читаем и делимся прочитанным	https://static4.tgstat.ru/channels/_100/0b/0bb06c24143324a452ee5cbc74788d8d.jpg	293797
