id	category	country	channel	handle	name	description	image	subscribers
1	career	RU	https://t.me/icebergcis	@icebergcis	Iceberg RU	Iceberg — инновационное рабочее пространство, созданное для улучшения процесса работы отдельных пользователей и команд.	https://static9.tgstat.ru/channels/_100/8c/8c74a5b2f846e7b33ee4d4bec2693d99.jpg	1798291
2	career	Global	https://t.me/ewdifh	@ewdifh	وظائف - أي وظيفة 🇸🇦	قناة (أي وظيفة) الرسمية في منصة (Telegram).	https://static2.tgstat.ru/channels/_100/6c/6c8a318827cf6dd7b72ec5d4addfa2bc.jpg	1172278
3	career	Global	https://t.me/cd4cd	@cd4cd	قناة وظائف - وظيفتك علينا 🇸🇦	‼️ وظائف (حكومية - عسكرية - قطاع خاص - دورات مجانية - برامج منتهية بالتوظيف - وغيرها العديد) على قناة وظيفتك علينا الرسمية	https://static3.tgstat.ru/channels/_100/fb/fb50c59b61e5762091a63383cd5db3bf.jpg	929820
5	career	IR	https://t.me/eestekhdam_com	@eestekhdam_com	ای استخدام 💯	ارتباط با ادمین کانال	https://static9.tgstat.ru/channels/_100/11/119f6e15c52017fe153a4350ba3413ce.jpg	616548
6	career	CN	https://t.me/gongqunnj	@gongqunnj	QQ账号 微信账号 支付宝账号 快手账号	#QQ账号 #微信账号 #支付宝账号 #快手账号	https://static7.tgstat.ru/channels/_100/0f/0f159f0c3e0be2f44d3d8b3418a32bb5.jpg	503149
7	career	UA	https://t.me/Anton_cryptoo	@Anton_cryptoo	Антон про крипту	Я зашел в крипту без вложений в 2017 году, сейчас мой капитал выше 1.5 млн$	https://static8.tgstat.ru/channels/_100/ea/eae7d24fae3ea8ba23fe490931e650b3.jpg	494301
9	career	IN	https://t.me/job4fresherss	@job4fresherss	job4freshers.co.in	Daily Job update for freshers ️	https://static3.tgstat.ru/channels/_100/78/78f7eb8195ae83a913d0855f9a8dc6e8.jpg	411321
10	career	Global	https://t.me/openkerja	@openkerja	Lowongan Kerja	Link Join Group Chat : https://openkerja.id/group	https://static4.tgstat.ru/channels/_100/94/948830a4f75f6e58dbbf16bd711cd129.jpg	398915
11	career	Global	https://t.me/programmer	@programmer	Freelancer	Freelancing articles, tips, and trick optimizing your workflow for better efficiency and higher earnings.	https://static8.tgstat.ru/channels/_100/05/05f5133bc656750c4072e4a78583d7cb.jpg	380307
12	career	Global	https://t.me/jobs4ksa	@jobs4ksa	ساحة الوظائف 🇸🇦 💚	وظائف حكومية ، وظائف شركات ، وظائف قطاع خاص ، وظائف نسائيه ..	https://static3.tgstat.ru/channels/_100/1d/1d1f5da22037857cddec298678badb4a.jpg	369678
14	career	IN	https://t.me/UPSC_Gk_SSC_CGL_MTS_GD_NTPC_BPSC	@UPSC_Gk_SSC_CGL_MTS_GD_NTPC_BPSC	UPSC Gk SSC CGL MTS GD NTPC BPSC	Contact   @Aarav723	https://static1.tgstat.ru/channels/_100/d6/d6d9476d1cb732e0e6cb79c4a0de18af.jpg	359461
16	career	RU	https://t.me/seonewschannel	@seonewschannel	SeoJob | Заработок в сети	Наш бот: @jobseo_bot	https://static10.tgstat.ru/channels/_100/f4/f4a54b5228fae4f32a1651d015daa464.jpg	341335
18	career	IN	https://t.me/SSC_CGL_MTS_CHSL_GK_GD_Maths	@SSC_CGL_MTS_CHSL_GK_GD_Maths	SSC CGL MTS CHSL GK GD Maths SI	️ @ExamsCart_Bot	https://static4.tgstat.ru/channels/_100/d0/d0393a57e4ae030325570da1adb038a4.jpg	317437
19	career	Global	https://t.me/hirelisting	@hirelisting	Job Update HireListing	Get regular job updates .	https://static10.tgstat.ru/channels/_100/d2/d2e33e34b5951d3beab44b5e0446b137.jpg	307100
20	career	ET	https://t.me/Ethiojobs2000	@Ethiojobs2000	Ethio Jobs Vacancy™	የስራ ማስታወቂያ ከጋዜጣ ፣ ከቲቪና ራዲዮ ፣ ከማስታወቂያ ቦርድ ፣ ከድህረ-ገፅና ከማህበራዊ ሚዲያና ከመሳሰሉት ቦታዎች በአንድ ቦታ ተሰብስበው ያግኙ::	https://static5.tgstat.ru/channels/_100/f6/f6a909b2248d798dd42bfd99bcdd0643.jpg	304582
21	career	Global	https://t.me/lokerblog	@lokerblog	Lowongan Kerja Terbaru	Informasi Lowongan kerja BUMN, CPNS & Swasta Terbaru (www.lokerblog.com)	https://static7.tgstat.ru/channels/_100/94/946c793d2f4a5ddf7936f92e8bba1f2c.jpg	289399
