id	category	country	channel	handle	name	description	image	subscribers
2	economics	IR	https://t.me/Trade_Clup	@Trade_Clup	سیگنال اموزش | 𝗧𝗿𝗮𝗱𝗲 𝗖𝗹𝘂𝗽 🐋	سیگنال های کریپتو شامل فیوچرز و اسپات	https://static1.tgstat.ru/channels/_100/c8/c8aca37dd47a00c0e82191f1de5cd579.jpg	2707833
3	economics	Global	https://t.me/sarkari	@sarkari	Sarkari Result SarkariResult.Com Official	Official Telegram Channel by Sarkari Result SarkariResult.Com	https://static9.tgstat.ru/channels/_100/d0/d098f3e01224d378b49fbdf2c843b468.jpg	2064853
4	economics	Global	https://t.me/pumpcoinbets	@pumpcoinbets	Pumpcoinbets💰📈 NFT & Crypto Gems 💎	This channel gives the best growth to NFT & Crypto projects. Turn on notifications to be the first to see the announcement	https://static8.tgstat.ru/channels/_100/57/57719edc9ce03854b54ff59bad9098fa.jpg	2040432
5	economics	RU	https://t.me/finansist_busines	@finansist_busines	Финансист | Бизнес | Инвестиции	Все о финансах, инвестициях и технологиях	https://static2.tgstat.ru/channels/_100/b7/b7e34790d6d6bcad285ca3b5feab6617.jpg	1713511
6	economics	RU	https://t.me/doge1	@doge1	одиссея grimace exchange	трейдер, который не сливает депо пока не начнёт трезветь. ворую индикаторы у Пифагора и колбасу из магазина.	https://static3.tgstat.ru/channels/_100/55/55a692969f76b1d22b090e5af009ebb2.jpg	1419466
7	economics	IN	https://t.me/MINISH_SAFE	@MINISH_SAFE	🔹𝟑𝙈𝙋®️ - 𝙎𝙖𝙛𝙚 𝘾𝙖𝙡𝙡𝙨🔹 Minish Patel - SEBI Regd Research Analyst having experience of 30 years	""" Because Advice Matters """	https://static3.tgstat.ru/channels/_100/46/46403913a85c04e05a7d509e2639a3c3.jpg	1227371
8	economics	Global	https://t.me/Kucoin_Binance_Pumps	@Kucoin_Binance_Pumps	Kucoin Binance Pumps Signals	Pumps Signals  on  Kucoin and Binance exchanges	https://static7.tgstat.ru/channels/_100/cb/cb5bf934856fec1c95c6d6b6e6d8fd33.jpg	1102827
9	economics	Global	https://t.me/FOREX_SCHOOL_OF_TRADES01	@FOREX_SCHOOL_OF_TRADES01	FOREX SCHOOL OF TRADE ⋆	10 Years Experience in	https://static7.tgstat.ru/channels/_100/d5/d5e3b9fec8821daef7ee1dfef6952698.jpg	1025713
10	economics	Global	https://t.me/metatrader5signalfx1	@metatrader5signalfx1	META TRADER 4&5 FOREX SIGNAL	ADMIN	https://static1.tgstat.ru/channels/_100/3c/3cbc81b7f31935eb4eb39020ece2fe77.jpg	1005676
11	economics	Global	https://t.me/Vantage_forex_invest	@Vantage_forex_invest	VANTAGE FOREX SIGNALS (FREE)🐄🐄	Stay on our free channel if you're interested in getting amazing signals daily with up to 95% accuracy for free	https://static8.tgstat.ru/channels/_100/58/5854d481bfaa9d3110320290b73af291.jpg	993440
12	economics	Global	https://t.me/ForexScalping_Signalsfree	@ForexScalping_Signalsfree	Forex Scalping Signals (Free)🚀	Live report	https://static4.tgstat.ru/channels/_100/71/71c63a4bc9c6e4039ba0f439e1d8ffcd.jpg	895275
13	economics	RU	https://t.me/AlfaBank	@AlfaBank	Альфа-Банк	Оперативно рассказываем важные новости.	https://static7.tgstat.ru/channels/_100/ba/ba6d843eb4251a4526ce65d1807a9309.jpg	893615
14	economics	RU	https://t.me/sberbank	@sberbank	Сбер	Сбер в Telegram	https://static5.tgstat.ru/channels/_100/c1/c1e3188bfa9d0b3ebcd3ff73e8f81a92.jpg	856889
15	economics	Global	https://t.me/TradingGainX	@TradingGainX	TradingGain | Binance Future Trade	"𝐋𝐞𝐭'𝐬 𝐦𝐨𝐯𝐞 𝐭𝐨𝐰𝐚𝐫𝐝𝐬 ""𝐅𝐢𝐧𝐚𝐧𝐜𝐢𝐚𝐥 𝐅𝐫𝐞𝐞𝐝𝐨𝐦"""	https://static1.tgstat.ru/channels/_100/a4/a412521e9f7fba0de3de093dcc569a11.jpg	852063
16	economics	Global	https://t.me/XAUUSD_USD_TRADING_FOREX_SIGNALS	@XAUUSD_USD_TRADING_FOREX_SIGNALS	XAUUSD TRADING SIGNALS	DAILY LIVE TRADE SESSION	https://static4.tgstat.ru/channels/_100/65/656385ae2fe8d32c6826baa3a755ccab.jpg	848946
17	economics	Global	https://t.me/Forexsignallsfactory	@Forexsignallsfactory	Forex Signal Factory (free)	New Millionaire coming from SOT.	https://static9.tgstat.ru/channels/_100/80/801fc8db99299574493d31354345dc86.jpg	787317
18	economics	IR	https://t.me/Ar3yBiT	@Ar3yBiT	کریپتو فارکس | 🧠Ar3yBiT	| Trade RooM |	https://static5.tgstat.ru/channels/_100/36/3662533c036e4798a1c3fddc8f26ac69.jpg	771433
19	economics	Global	https://t.me/stockideaofficial	@stockideaofficial	Stock Idea Official®️🚀	GTF - A Stock Market Institute®	https://static8.tgstat.ru/channels/_100/1a/1a7871e9a4c0708122f0d3dc6ba00a25.jpg	744214
