id	category	country	channel	handle	name	description	image	subscribers
1	esoterics	RU	https://t.me/astrogks	@astrogks	astro geeks | гороскоп	реклама: @astromanage	https://static2.tgstat.ru/channels/_100/a7/a79e19c8da6b855c51c76d8b2ee59c78.jpg	382419
2	esoterics	UA	https://t.me/astroobere	@astroobere	АстроОберег	️  ВСЕ ДЛЯ ПОБЕДЫ!	https://static2.tgstat.ru/channels/_100/8e/8edf9fb8530da48d155a774416556456.jpg	270302
3	esoterics	IR	https://t.me/hashemi2055	@hashemi2055	دعانویسی سید هاشمی	بختگشایی، کارگشایی	https://static10.tgstat.ru/channels/_100/e3/e38d856df6650fdd7c43b813645c80db.jpg	263466
4	esoterics	Global	https://t.me/nikolasferreira	@nikolasferreira	Nikolas Ferreira	Dep. Federal mais votado do Brasil e da história de Minas Gerais	https://static7.tgstat.ru/channels/_100/c1/c1493366096103c061ef343e62307ded.jpg	258344
5	esoterics	IR	https://t.me/abosaedmolaviiii	@abosaedmolaviiii	دعا و طلسم ابوسعید	فال قرآن ،تاروت و قهوه و اینده بینی با استادابوسعید	https://static5.tgstat.ru/channels/_100/a3/a390f10fb65c0c6fd27051265414966a.jpg	255095
6	esoterics	RU	https://t.me/nudaznaki	@nudaznaki	Ну да, знаки	Знаки зодиака, как всё на свете.	https://static1.tgstat.ru/channels/_100/39/39c9ebff2c7e416385e5544b764cecb5.jpg	246202
8	esoterics	Global	https://t.me/miastral	@miastral	Mia Astral on the go	En este nuevo espacio recibirás los astronews de miastral.com, herramientas de astrocoaching que te acompañarán en tu proceso de crecimiento personalSeguimos evolucionando junt@s	https://static2.tgstat.ru/channels/_100/af/afa4aec28c3af03a51c8d9230ef018dd.jpg	194205
9	esoterics	RU	https://t.me/goro_kirill	@goro_kirill	гороскоп и кирилл	реклама/сотрудничество: @jacburns	https://static3.tgstat.ru/channels/_100/22/22d16d29ac58c21b78eaab4496947ab5.jpg	190433
10	esoterics	RU	https://t.me/daragan_konstantin	@daragan_konstantin	Константин Дараган 🔶️ Комментарий астролога️	Анонсы публикаций и личных мероприятий. Комментарий астролога к резонансным событиям. Канал БЕЗ популярных «гороскопов» и БЕЗ учебных текстов.	https://static5.tgstat.ru/channels/_100/26/26c56468529ad7e472f459deb89fe241.jpg	172256
11	esoterics	IR	https://t.me/jaduyesezar	@jaduyesezar	جادوي ثزار	مهشیدبانو هستم	https://static8.tgstat.ru/channels/_100/83/83064cc2300f05cf413350234a2510b4.jpg	170524
12	esoterics	RU	https://t.me/ForMagicLife_RU	@ForMagicLife_RU	ForMagicLife✨ Анастасия А	Инструктор Нейрографики, Человек года в Нейрографике 🪄 учу исполнять мечты, с помощью маркера	https://static1.tgstat.ru/channels/_100/e6/e6ecb0d5156958412b492d7df7a195c9.jpg	162659
15	esoterics	Global	https://t.me/awakenedspecies	@awakenedspecies	The Awakened Species ☀️	️ Place for various topics of a modern society.	https://static9.tgstat.ru/channels/_100/c1/c16757936abf6d02f6ad30f833050928.jpg	154624
16	esoterics	Global	https://t.me/trottasilvano	@trottasilvano	Silvano Trotta Officiel	Pour me suivre sur Telegram	https://static9.tgstat.ru/channels/_100/24/243d6b92242c22bfa8c2b6788e28cdf7.jpg	154106
17	esoterics	Global	https://t.me/oinformantstarday	@oinformantstarday	O INFORMANTE	Principais noticias internacionais, coberturas sob perspectiva bíblica. Seja parte também do nosso canal restrito muito mais aprofundado. www.starday.com.br/crp	https://static1.tgstat.ru/channels/_100/58/589df57cb471c8a481168c3687a894dc.jpg	152999
18	esoterics	UA	https://t.me/VolxvaUkrain	@VolxvaUkrain	Ольга Берлінська Ольга Берлинская 🦋🦋🦋 Волхва України 🙏🙏🙏	Волхва	https://static1.tgstat.ru/channels/_100/54/5461eeb3cad31b2b956b000c73826b21.jpg	151316
19	esoterics	RU	https://t.me/amelisoul_master	@amelisoul_master	Юлия Широких (Ивлиева)	Ответы на все вопросы FAQ: https://teletype.in/@amelisoul_master/faq	https://static2.tgstat.ru/channels/_100/77/77bbe04b24db305c82afc03a1f5a4b91.jpg	151230
20	esoterics	RU	https://t.me/tg_horoscope	@tg_horoscope	Любовный Гороскоп💕	Мы здесь, чтобы поднять вам настроение	https://static10.tgstat.ru/channels/_100/b2/b26f13afae403e6157fdfc741e49b4ac.jpg	150479
22	esoterics	Global	https://t.me/bolsonarocarlos	@bolsonarocarlos	CARLOS BOLSONARO	Eleito vereador do Rio de Janeiro com 130.480 votos. Batendo o próprio recorde histórico de votação para o 7 mandato. Filho do 38 Presidente do	https://static9.tgstat.ru/channels/_100/44/4440ff1ead0efa87f44a04ef80dcb24a.jpg	142286
23	esoterics	RU	https://t.me/astrologyhoro	@astrologyhoro	АСТРО БЛОГ🔮 ГОРОСКОП | ТАРО | АСТРОЛОГИЯ | ЭЗОТЕРИКА | НУМЕРОЛОГИЯ	Лучший канал в данной тематике в Телеграм	https://static3.tgstat.ru/channels/_100/d4/d402b1d25f24fdca351f7af49f64ae03.jpg	137073
25	esoterics	RU	https://t.me/chudinov	@chudinov	Павел Чудинов - прогулки под звездами	Держите руку на пульсе	https://static9.tgstat.ru/channels/_100/49/49b3cddce2f9ef479ae7bf6036598c89.jpg	129439
26	esoterics	RU	https://t.me/tvoigor	@tvoigor	Твой гороскоп	Откровенный гороскоп	https://static5.tgstat.ru/channels/_100/85/854724d031aa9ab53396f9a671fae62e.jpg	127693
27	esoterics	RU	https://t.me/neo_goroskop	@neo_goroskop	Необычный Гороскоп	Узнай, что подготовили для тебя звёзды!	https://static8.tgstat.ru/channels/_100/77/7782a14b3ab60965d037cef3fa4099c3.jpg	127426
28	esoterics	RU	https://t.me/taroiren	@taroiren	Таролог Taro.irena | Расклады | Именология | Гороскопы	Ежедневные лунные прогнозы на день	https://static10.tgstat.ru/channels/_100/3d/3d16d496a452cd2dfcf628d423597c8a.jpg	126745
29	esoterics	RU	https://t.me/nehgoro	@nehgoro	нехилый гороскоп	Ежедневный гороскоп для всех знаков зодиака ️️️	https://static4.tgstat.ru/channels/_100/fc/fc2782dcd250f53e244f326e9d2ab9e4.jpg	120456
30	esoterics	RU	https://t.me/goroskop4uuu	@goroskop4uuu	удачный гороскопчик	Удачный Гороскоп	https://static8.tgstat.ru/channels/_100/37/376d891828f945a66ac5775c7e68bcf9.jpg	119856
