id,category,country,channel,handle,name,description,image,subscribers
1,art,RU,https://t.me/pokraslampas,@pokraslampas,POKRAS LAMPAS ®,РУССКОЯЗЫЧНЫЙ ЛАЙВ КАНАЛ:,https://static4.tgstat.ru/channels/_100/ff/ff179955e3746650d326b2266cb44985.jpg,1527849
2,art,RU,https://t.me/artgallery,@artgallery,Тут картины показываем,Красивое.,https://static8.tgstat.ru/channels/_100/42/4236e4517f1a5f4a937692b9fe1152d2.jpg,220003
3,art,RU,https://t.me/kartiny_arteriart,@kartiny_arteriart,ARTерия | Искусство,Здесь вы можете насладиться работами признанных мастеров и малоизвестных творцов,https://static8.tgstat.ru/channels/_100/03/037d24ae79c6ab99a7d1e90080b21929.jpg,195183
9,art,UZ,https://t.me/kalbim_hasreti,@kalbim_hasreti,Kalbim hasreti 💕🫶🏻,"""Rühümda hasretim var..️‍🩹🫀""",https://static4.tgstat.ru/channels/_100/bf/bfefae2e9560eba9a9629398912833cb.jpg,116654
10,art,RU,https://t.me/Nothing_Book_tg,@Nothing_Book_tg,Nothing Book,Публикуем только лучшие полотна.,https://static2.tgstat.ru/channels/_100/8a/8ab129ab57e9797c63f36860cc8abf78.jpg,113842
12,art,RU,https://t.me/darkmgimo,@darkmgimo,Бахчисарайские гвоздики,"Будут бабки — приходи, оттопыримся",https://static1.tgstat.ru/channels/_100/e7/e7d1c362ad2847fa9c3017cfb2a5953c.jpg,107689
13,art,IR,https://t.me/konkor1403_scam,@konkor1403_scam,کلاهبرداران کنکور,,https://static3.tgstat.ru/channels/_100/03/03b6826774962bc7e47b3c3187292fbe.jpg,93511
15,art,RU,https://t.me/kartiny2,@kartiny2,Картины. Живопись. Искусство,"Добро пожаловать, дружище! Мы уже тебя заждались",https://static8.tgstat.ru/channels/_100/96/967990de5b3eac7b87d49a13c6834978.jpg,87805
16,art,RU,https://t.me/oldradioteatr,@oldradioteatr,Радио и Театр,"В нашем «Радиотеатре», друзья, вас ждут тысячи старых радиоспектаклей, сказок, литературных чтений, советских радиопередач и редких пластинок. Проект некоммерческий. Записи предлагаются для ознакомления, в просветительских целях. Свободно. Без рекламы!",https://static9.tgstat.ru/channels/_100/94/9485ff2dbcfc24091b4caa4b41a185da.jpg,87620
17,art,Global,https://t.me/WizProxy,@WizProxy,Wiz Proxy,FAST MTPROTO PROXIE,https://static4.tgstat.ru/channels/_100/d5/d5e2780d425fe36d74c8e18a00170579.jpg,85576
18,art,Global,https://t.me/waiwei1148,@waiwei1148,🎖深圳外围🎖‼️深圳学生‼️深圳会所‼️深圳模特,#深圳外围,https://static4.tgstat.ru/channels/_100/9f/9fd11d080ee53b162dabf516037bd4d4.jpg,82851
