id,category,country,channel,handle,name,description,image,subscribers
1,babies,RU,https://t.me/gosuslugiforparents,@gosuslugiforparents,Госуслуги: для родителей,Официальная страница портала Госуслуг обо всех видах господдержки для родителей.,https://static10.tgstat.ru/channels/_100/b5/b55a20ee5d46e62c4d37696a8b042469.jpg,820125
2,babies,RU,https://t.me/umnie_roditeli,@umnie_roditeli,Inessa▪️Воспитание чемпионов,Админ: @inessa_bis,https://static3.tgstat.ru/channels/_100/2f/2fbbfd7c33770f42098a8328748ece05.jpg,389825
4,babies,RU,https://t.me/innesa_bisnes,@innesa_bisnes,Саморазвитие👩🏼‍💻Семья👩‍❤️‍👨и вкусные Зож рецепты,"️Знаю все про медицину. Здесь про женственность, саморазвитие в легкости, Пп Зож,развитие детей и путешествия по городам России ️",https://static9.tgstat.ru/channels/_100/d0/d06a910132eb9bd7669d188f99cf374a.jpg,367625
5,babies,RU,https://t.me/yuliya_pedagog,@yuliya_pedagog,Заметки педагога 🎻✍🏻,Про музыку и образование,https://static3.tgstat.ru/channels/_100/50/5092b8d45c20b951a1b1090807ade4be.jpg,364728
6,babies,RU,https://t.me/Oksana_Frolenok,@Oksana_Frolenok,Life Оксана❤️,"Здесь про меня, про мою семью и семейные ценности, а ещё про наши путешествия и наш Life.",https://static6.tgstat.ru/channels/_100/9c/9c9fb96b75bd6e95a0a2a89f47441a8a.jpg,352338
7,babies,RU,https://t.me/top_mama_olia,@top_mama_olia,Mama_Olia🕊Материнство.Семья.Домашние будни,№ 4792464808,https://static9.tgstat.ru/channels/_100/99/993b2bc88a55f9523c8a47684d23ac02.jpg,343279
9,babies,UA,https://t.me/sofia_stuzhuk_official,@sofia_stuzhuk_official,Sofia Stuzhuk,Беременна 5м в 29,https://static2.tgstat.ru/channels/_100/bc/bc870a2b48b183ccd6772f09124fc43e.jpg,309778
10,babies,UZ,https://t.me/Jufti_halolim_ayollar_Bekajon,@Jufti_halolim_ayollar_Bekajon,ЖУФТИ ҲАЛОЛИМ 💗,Биз сизга энг яхшиларини илинамиз,https://static3.tgstat.ru/channels/_100/18/182a1fbf02a980d51e5e942393917c3d.jpg,296298
12,babies,RU,https://t.me/vikadmitrieva_psiholog,@vikadmitrieva_psiholog,Вика Дмитриева,Вика Дмитриева Семейный психолог,https://static7.tgstat.ru/channels/_100/a0/a0e3e9967de9bab964ed5b388f408994.jpg,254121
13,babies,RU,https://t.me/inessabloger,@inessabloger,🔹Все о детях🔹Образование детей🔹Лайфхаки,Сотрудничество Админ: https://t.me/inessa_bis,https://static1.tgstat.ru/channels/_100/5b/5b9df6ea9cacaa6269fa57b31126e932.jpg,251531
