id,category,country,channel,handle,name,description,image,subscribers
1,courses,Global,https://t.me/ghostdrive_web3,@ghostdrive_web3,Ghostdrive Community,"GhostDrive is a Web3 data guardians, secure decentralized storage. Pioneering DePIN with hot satellite nodes.",https://static1.tgstat.ru/channels/_100/8d/8de6a71788546f5198f8f6e7232db9ef.jpg,1016098
2,courses,RU,https://t.me/free_edu,@free_edu,Бесплатное образование,"Публикуем анонсы бесплатных лекций, курсов и образовательных программ. Для тех, кто хочет и любит учиться.",https://static9.tgstat.ru/channels/_100/93/939314105ce8701e67489642ef4d49e8.jpg,365173
3,courses,RU,https://t.me/moe_obrazovanie,@moe_obrazovanie,Мое Образование,"Лекции, вебинары, курсы от настоящих экспертов. От архитектуры и культуры до программирования, SMM, маркетинга и финансовой грамотности.",https://static4.tgstat.ru/channels/_100/1c/1c18ee85a402e84ff245efc35dcb7472.jpg,341674
4,courses,IR,https://t.me/manjmy,@manjmy,Manjmy منجمى,Free valuable  courses,https://static9.tgstat.ru/channels/_100/4b/4bb772b3dd864b45bf9668b27e4ae9b9.jpg,332468
5,courses,IR,https://t.me/CoursesForY0u,@CoursesForY0u,Courses For You - كورسات مجاناً دورات مجانية,كورسات مدفوعة مجاناً لك وفي مختلف المجالات,https://static9.tgstat.ru/channels/_100/41/41c2743eebe563170e9c11a036ed0d5f.jpg,318843
7,courses,IN,https://t.me/Coursevania,@Coursevania,UDEMY FREE ️| Coursevania,No.1 Channel On Telegram To get UDEMY Coupons,https://static7.tgstat.ru/channels/_100/c1/c1160d87dc4ae6b802673774c06d1f01.jpg,250420
9,courses,Global,https://t.me/StudyBullet1,@StudyBullet1,Free Courses With Certificates!,️ GET 50+ DAILY CERTIFICATION COURSES FOR FREE!,https://static9.tgstat.ru/channels/_100/77/776073aca7d8d6a097ceae9260041f83.jpg,191007
10,courses,Global,https://t.me/jobsandcoursesnew,@jobsandcoursesnew,كورسات ووظائف مجانية,,"https:data:image/svg+xml;charset=utf-8,<svg width=""640"" height=""640"" style=""background-color:%2344badc;font-family:Nunito,sans-serif"" viewBox=""0 0 100 100"" preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"">
                <text font-size=""30"" x=""50%"" y=""50%"" dy=""5"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle""></text>
                </svg>",189376
11,courses,Global,https://t.me/Extreme_CursosGratis,@Extreme_CursosGratis,Extreme Cursos,Cursos em Streaming,https://static7.tgstat.ru/channels/_100/76/7643cf96757f47e9e293ab381f3b73f9.jpg,171692
12,courses,RU,https://t.me/sharewood_ws,@sharewood_ws,SHAREWOOD,Присоединяйся к Шервудским разбойникам и получай знания бесплатно!,https://static8.tgstat.ru/channels/_100/11/11134d7c2307818344eecce2559211eb.jpg,158405
13,courses,IN,https://t.me/UPSC_Crack_Adda,@UPSC_Crack_Adda,Crack Adda Upsc,"This Channel are Provided Use Full Materials , E-Book, Notes PDF, Quiz Etc.",https://static1.tgstat.ru/channels/_100/e7/e72ca9a0a6d1ab94c73047e654ba42d9.jpg,152310
14,courses,Global,https://t.me/UCupones,@UCupones,Cupones y Cursos Gratis Udemy,Cupones de descuento para cursos de Udemy de manera legal.,https://static7.tgstat.ru/channels/_100/36/36c118a43148cf72197d32e5a30a38b1.jpg,150768
15,courses,RU,https://t.me/lektorium20,@lektorium20,Лекториум,"Самообразование на всю жизнь. Курсы, лекции, образовательные подборки.",https://static8.tgstat.ru/channels/_100/80/80defb2c48581b060a7c7fad042a0954.jpg,141150
16,courses,RU,https://t.me/lektoritv,@lektoritv,Лекторий,"Бесплатные лекции, семинары и мастер-классы, которые советует преподаватель из ВШЭ.",https://static5.tgstat.ru/channels/_100/33/334b1f87d52393ab4407ef5d283ea0e0.jpg,131313
17,courses,RU,https://t.me/eruditurl24,@eruditurl24,Эрудиция | Digital и бизнес образование,"Анонсируем различные курсы, лекции, марафоны, сообщаем о различных форумах и образовательных программах",https://static1.tgstat.ru/channels/_100/1b/1ba6fdb4d29205d93fe791c8c053e715.jpg,129416
18,courses,Global,https://t.me/soalpppk_siapasn,@soalpppk_siapasn,PPPK & CPNS 2024,www.siapASN.com by SafirAcademy adalah pendampingan ASN terbaik yang sudah meluluskan puluhan ribu PPPK se Indonesia,https://static5.tgstat.ru/channels/_100/57/573a256898d04c1f87eec40f7b691a72.jpg,124856
19,courses,RU,https://t.me/iAmbitious,@iAmbitious,Soft Skill | Навыки,Сообщество экспертов и профессионалов в своём деле.,https://static5.tgstat.ru/channels/_100/ae/ae10bb7c542bfe65d145621c514cf77c.jpg,114172
20,courses,UZ,https://t.me/qizilpomada,@qizilpomada,"💄""QIZIL POMADA"" онлайн курслар платформаси",Телеграмдаги энг зўр аёллар канали,https://static10.tgstat.ru/channels/_100/d7/d7707d36f24561c07fdc02671a1626ed.jpg,111429
21,courses,IR,https://t.me/best_dore,@best_dore,دوره های رایگان / بست دوره,آموزش ببین ،عمل کن ،نتیجه میگیری,https://static7.tgstat.ru/channels/_100/76/769fe0bc4b5bd323be5410084581f5e5.jpg,108618
22,courses,IN,https://t.me/webdev_trainings,@webdev_trainings,Web Development,"Learn to code and become a Web Developer with HTML, CSS, JavaScript, React, Node.js",https://static3.tgstat.ru/channels/_100/17/17d629a216970fbd999205bc594d2e48.jpg,106967
23,courses,RU,https://t.me/profi_kursi_gaidi,@profi_kursi_gaidi,PROFI | Курсы гайды,Профи в своём деле.,https://static3.tgstat.ru/channels/_100/c6/c632732bd82a9c8eb3b9aa1035d52ace.jpg,106702
24,courses,Global,https://t.me/guruinspiratifindonesia,@guruinspiratifindonesia,Guru Inspiratif Indonesia,Guru Inspiratif Indonesia merupakan program pelatihan peningkatan kompetensi guru khususnya dalam pengembangan teknologi pembelajaran dan penulisan karya tulis ilmiah.,https://static5.tgstat.ru/channels/_100/04/0494e580a133cbc404d947e5b1587f21.jpg,102551
25,courses,RU,https://t.me/skillget,@skillget,Скиллгет | Онлайн образование,"Отборные обучающие видео, курсы, лекции, для специалистов.",https://static2.tgstat.ru/channels/_100/6a/6aa63351fd988639040c8a2fda637188.jpg,97537
26,courses,RU,https://t.me/slivytg,@slivytg,Отборное Образование || Бесплатное образование,"Публикуем бесплатные лекции, курсы, вебинары. Становись лучше вместе с нами!",https://static10.tgstat.ru/channels/_100/b3/b33a1e86a62cf020ab1d716aa6e7d2f3.jpg,94732
27,courses,RU,https://t.me/sliv_freedom,@sliv_freedom,ГАЙДЫ free ЧЕК-ЛИСТЫ,Опубликовать на канале гайд  @Reklamki_bot,https://static4.tgstat.ru/channels/_100/f8/f88d97e8ef341db1ed471f0802d11771.jpg,89810
28,courses,Global,https://t.me/Guru_BelajarID,@Guru_BelajarID,GURU BELAJAR ID,Silahkan bergabung dengan Grup Diskusi pada link berikut ini :,https://static2.tgstat.ru/channels/_100/b0/b079120db0fbc6cfa1a686873a966851.jpg,86050
29,courses,Global,https://t.me/marketingfrom,@marketingfrom,كورساتي ♥️,قناه هيكون عليها محاضرات وكورسات وخصومات في مجالات كتير,https://static7.tgstat.ru/channels/_100/e4/e46a9c3ac7822b46ab8cb2b149332335.jpg,85121
31,courses,Global,https://t.me/DORAT_AWN,@DORAT_AWN,دورات عون💚,دورات مُعادة خاصة بـ مؤسسة عون غير تابعة لـ أي شيخ,https://static6.tgstat.ru/channels/_100/07/07ef9e5b50a2b2678bf57e814ff479fb.jpg,81367
32,courses,Global,https://t.me/ForjadeHefesto,@ForjadeHefesto,Cursos Secretos - Forja de Hefesto 🔱,"Bem-vindo a Forja de Hefesto, aqui não vendemos nada, é aqui que os guerreiros e guerreiras são forjados",https://static7.tgstat.ru/channels/_100/41/41838ae62c15d41116a7b035c5c4dd74.jpg,80358
34,courses,RU,https://t.me/sliwbl,@sliwbl,Сливы курсов,Сливы платных курсов - бесплатно!,https://static10.tgstat.ru/channels/_100/3d/3dd60beb15ed1cdda5ddb9e9cf091934.jpg,76277
35,courses,Global,https://t.me/guiasgratis,@guiasgratis,GUIAS GRATIS 📖,ALIMENTANDO EL SABER ¡GRATIS!,https://static2.tgstat.ru/channels/_100/db/db95ddb701a41bee0048472e657572c5.jpg,75597
36,courses,Global,https://t.me/Free_course_apps,@Free_course_apps,Free paid course,Need Paid Promot : @Netcat_578,https://static3.tgstat.ru/channels/_100/25/25c2e7fda83e1d053938e58a517c018d.jpg,75140
37,courses,RU,https://t.me/Study_BOARD,@Study_BOARD,Study BOARD,"Получайте бесплатное образование от лучших преподавателей, коучей, лекторов самых современных онлайн школ, академий и ВУЗов всего мира.",https://static1.tgstat.ru/channels/_100/74/74f7d3aa1072ed0f51abd098cd5dd326.jpg,69916
38,courses,Global,https://t.me/tryoutcpns,@tryoutcpns,Latihan Soal CPNS 2024,"""Kunci Sukses Lulus CPNS salahsatunya dengan Memperbanyak Latihan Soal""",https://static8.tgstat.ru/channels/_100/82/8272a73d34befe3001205c0162fa0a25.jpg,67780
39,courses,Global,https://t.me/udemy2020,@udemy2020,Paid Udemy courses for free 2024,Access paid Udemy courses for free!,https://static3.tgstat.ru/channels/_100/7f/7face9785934fc579a32ac3af02af30f.jpg,67506
40,courses,Global,https://t.me/ict_Leaked_Courses,@ict_Leaked_Courses,ICT_Leaked_Courses,JUST SHARING COURSES TO LEARN AND GROW,https://static3.tgstat.ru/channels/_100/53/53a16a93dc49ad81b80c0f3a6c550eb1.jpg,65083
41,courses,RU,https://t.me/Kultura_obuchenie,@Kultura_obuchenie,Core | Культура обучение,Эксперты и профессионалы в своём деле.,https://static4.tgstat.ru/channels/_100/78/7814642afe85a95bf727da931e928e94.jpg,61934
42,courses,RU,https://t.me/sharewood_biz,@sharewood_biz,Сундук Робина,Присоединяйся к Шервудским разбойникам и получай знания бесплатно!,https://static4.tgstat.ru/channels/_100/b4/b4e7c8e7831311d7608fafa4c1e3e7c3.jpg,61064
43,courses,RU,https://t.me/archivator_it,@archivator_it,Архиватор | IT,Архивируем для вас ценные знания,https://static2.tgstat.ru/channels/_100/80/8079976e523858f18654f9df2d45e346.jpg,60894
44,courses,Global,https://t.me/deslivresenpdf,@deslivresenpdf,LIVRES PDF GRATUIT ⚖️,DES LIVRES GRATUITS,https://static2.tgstat.ru/channels/_100/f9/f937e92bd8b7e1bc70683fcb8abfc3c9.jpg,60644
45,courses,IN,https://t.me/freepaidcourse113,@freepaidcourse113,❤️ Free Paid Course ❤️,Join us,https://static5.tgstat.ru/channels/_100/aa/aaadb37c655628c5e92220711b70a944.jpg,60291
46,courses,IN,https://t.me/Freegiveaway26,@Freegiveaway26,𝐅𝐫𝐞𝐞 𝐂𝐨𝐮𝐫𝐬𝐞𝐬,আসসালামু আলাইকুম সবাইকে,https://static8.tgstat.ru/channels/_100/6f/6fbd1e6b06383c7384ead0af1ef2b414.jpg,56513
47,courses,CN,https://t.me/xparibet_dbbet1,@xparibet_dbbet1,WINWINBET,,https://static10.tgstat.ru/channels/_100/13/1369961678ba8344fa59b0bc0d1b278d.jpg,55090
48,courses,RU,https://t.me/motionchek,@motionchek,Чек-листы марафоны,Не позволяйте дню вчерашнему отнять слишком много у дня сегодняшнего.,https://static3.tgstat.ru/channels/_100/4b/4bcea41e9e052bd7717d9e7794d4afbd.jpg,54512
50,courses,IN,https://t.me/CommerceTuitionClassesCTC,@CommerceTuitionClassesCTC,Commerce Tuition Classes CTC @CTCClasses,CA Foundation  Classes,https://static10.tgstat.ru/channels/_100/b1/b199a19bca56007c5c998b9dcee93ca8.jpg,53038
51,courses,IR,https://t.me/bestieidea111112,@bestieidea111112,دوره رایگان Bestieideas,کانال سایت ایده های صوتی انگیزشی، معرفی و دانلود رایگان کتاب های صوتی موفقیت به صورت رایگان,https://static8.tgstat.ru/channels/_100/88/88a9d0f41ab58a6e63881d1d56a97536.jpg,52968
52,courses,Global,https://t.me/udemyfreecourses_daily,@udemyfreecourses_daily,MyCourses,Contact with me: @mooneryep,https://static9.tgstat.ru/channels/_100/34/34103e35474836f868d337e843fa404e.jpg,52371
53,courses,Global,https://t.me/Aware_Bootcamp,@Aware_Bootcamp,معسكر واعي,القناة الرسمية لمعسكر واعي والتي ستنشر التعميمات الهامّة لمشتركي ومشتركات المعسكر.,https://static1.tgstat.ru/channels/_100/77/7725e1ded52fdfa6a7f7b16cd8057870.jpg,52138
54,courses,Global,https://t.me/Corses3,@Corses3,كورسات COURSES META,نسعى جاهدين لتقديم تجربة تعلم ممتازة، ونقدم الكورسات بتنسيق مريح وسهل الوصول. احصل على فرصة فريدة لتطوير مهاراتك وتحسين معرفتك بمواضيع مختلفة، دون الحاجة إلى دفع أي رسوم. اشترك الآن لتكون جزءًا من مجتمع التعلم الشامل,https://static6.tgstat.ru/channels/_100/d6/d67c5b0574ed0a429bdd936915a3e5fb.jpg,51969
55,courses,Global,https://t.me/FreeDiklatBED,@FreeDiklatBED,Free Diklat BED,Forum Informasi Pelaksanaan Free Diklat dari Belajar Era Digital,https://static1.tgstat.ru/channels/_100/40/4049a1fec8a28a6373462e4eefa02fe2.jpg,51347
56,courses,Global,https://t.me/CafeinaVagas,@CafeinaVagas,Cafeína Vagas | Iniciantes em TI 🔎❤️,Canal mantido por voluntários. Postamos vagas de tech inclusivas e para iniciantes!,https://static6.tgstat.ru/channels/_100/21/21d1cda0e59e7ba60e2c4fbfab1deb8a.jpg,51309
57,courses,IR,https://t.me/YouTube_Graam,@YouTube_Graam,یوتیوب گرام | نیما نیکخواه,اگه میخای از یوتیوب به درآمد دلاری برسی همراه من باش !,https://static4.tgstat.ru/channels/_100/21/21bc26fd93e06493b148f350dc30b954.jpg,50520
58,courses,IR,https://t.me/Enjaz88,@Enjaz88,إنجاز Enjaz,* إنجاز  Enjaz *,https://static3.tgstat.ru/channels/_100/0b/0b9acdbc6759ec7684465c8c8b6c8538.jpg,49738
59,courses,RU,https://t.me/Slomai_sistemu_Potencial,@Slomai_sistemu_Potencial,Сломай систему | Потенциал,Твой потенциал ограничен твоим незнанием. С этим мы и поработаем.,https://static2.tgstat.ru/channels/_100/1b/1bd4e350f432320b0360e0cadd7ec381.jpg,46810
60,courses,IN,https://t.me/udemy_free_courses_with_certi,@udemy_free_courses_with_certi,Udemy Free Courses | Coding | ChatGPT | AI Crypto | Microsoft Certificate | Artificial Intelligence,This channel is for Free Udemy Courses & Microsoft Certificates,https://static6.tgstat.ru/channels/_100/83/8300fb47cc328e54c5e63a242cc93b63.jpg,45856
