id,category,country,channel,handle,name,description,image,subscribers
1,design,UA,https://t.me/Cats_housewtf,@Cats_housewtf,CATS Community,Only $CATS the meowest Telegram native token. Join meow @catsgang_bot,https://static5.tgstat.ru/channels/_100/45/45a75bfa42c645524de3d16621e93764.jpg,18477336
2,design,UZ,https://t.me/glavniga_profil_rasmlaru,@glavniga_profil_rasmlaru,VN SHABLON ❤️‍🩹🦅 | MK SAMANDAR,| VN Relax Imovie Shablon ‍,https://static5.tgstat.ru/channels/_100/8d/8d28fa46e91e7fad033ee5502c021478.jpg,198790
3,design,Global,https://t.me/aleytemplatecanva,@aleytemplatecanva,template canva gratis 😉😻,hello peoplee,https://static8.tgstat.ru/channels/_100/88/888892a686dfcac93c933298df228faf.jpg,191371
4,design,RU,https://t.me/cgplugin,@cgplugin,CGPlugins,"Плагины, addons, текстуры, 3D модели, рендеры, звуковые эффекты и др.",https://static5.tgstat.ru/channels/_100/37/37a5fdf36090de6da14101a0c9b2536a.jpg,147422
6,design,Global,https://t.me/promodel_3dsky,@promodel_3dsky,3Dline,Free download from 3dsky,https://static2.tgstat.ru/channels/_100/5c/5cf38add3c8c66489e032330445a5c67.jpg,131735
8,design,RU,https://t.me/AETemp,@AETemp,After Effects Templates,Бесплатные шаблоны и скрипты для Adobe After Effects,https://static4.tgstat.ru/channels/_100/5e/5e232bc210652cda9e86ba974a571cfa.jpg,120661
10,design,RU,https://t.me/photosed,@photosed,Што такое фотошоп?,По рекламе @fedostoevsky / @phhhadmin,https://static8.tgstat.ru/channels/_100/ae/aefd765f4e0e3007fd3229e643d5e8a7.jpg,116390
11,design,IN,https://t.me/Class_10th_11_12th_Science_Notes,@Class_10th_11_12th_Science_Notes,Class 10th 11 12th Science Notes,️Contact | Advertising  @SHUBHAM_o_0,https://static5.tgstat.ru/channels/_100/b8/b8d985506d914c9437e8df7824755d7d.jpg,114469
12,design,RU,https://t.me/wtfont,@wtfont,Што за шрифт?,Новый шрифт каждый день,https://static9.tgstat.ru/channels/_100/46/4688742a14701307f3c3a84f628b30c4.jpg,111164
13,design,RU,https://t.me/figmadesign,@figmadesign,Figma Design,Номер заявления № 4776879409,https://static9.tgstat.ru/channels/_100/4a/4a064f0ee6cf27ce625ac8e583eae8d7.jpg,109178
15,design,Global,https://t.me/photoshop,@photoshop,Photoshop Tutorial,FREE Premium Tutorial,https://static1.tgstat.ru/channels/_100/de/de63870be5e3cab8b4361400274fec93.jpg,102215
16,design,RU,https://t.me/design_telega,@design_telega,Дизайн-Телега 🔥,"Секретное место с тоннами платных дизайн-материалов, которые ты получишь бесплатно.",https://static4.tgstat.ru/channels/_100/d7/d71aa82cb7e78666c3ffec4a0a065f20.jpg,102209
17,design,RU,https://t.me/dsgn_tutorial,@dsgn_tutorial,Учебник дизайнера,"Лучшие туториалы для дизайнеров в сфере UI/UX, веб и графического дизайна.",https://static2.tgstat.ru/channels/_100/35/356b0911ad8717a03f0d85929c1ca262.jpg,101188
20,design,RU,https://t.me/designdealer,@designdealer,Designdealer,Твой дизайн дилер,https://static7.tgstat.ru/channels/_100/4a/4a4fb1a8b784989ff4c0566989aa33a7.jpg,99580
21,design,RU,https://t.me/sexyfont,@sexyfont,Секси-шрифт. Кириллица,"Для тех, кто устал перебирать латиницу. 300+ шрифтов FREE.",https://static7.tgstat.ru/channels/_100/54/54eb0144268b3c83ff04e4de76fd0e79.jpg,91059
22,design,IR,https://t.me/Animatorist_Bot,@Animatorist_Bot,ربات عکس کارتونی | تبدیل عکس به کارتون | AI | آرایش چهره | نقاشی | پروفایل | کارتون | انیمه ژاپنی | هوش‌ مصنوعی | GPT4 | آرایش,کانال رسمی اطلاع رسانی ربات انیماتوریست,https://static6.tgstat.ru/channels/_100/31/31ed29e7b32d3a07e61c190d724adb22.jpg,90532
23,design,IR,https://t.me/ipschannel,@ipschannel,iPhotoshop,13 سال آموزش و تولید محتوا,https://static8.tgstat.ru/channels/_100/00/006c761594b9ca1b586e2cdc0b95a6c5.jpg,89520
24,design,CN,https://t.me/sucai_zy,@sucai_zy,人设(套图库),买套图包装联系客服,https://static2.tgstat.ru/channels/_100/09/093794a9b801b642b39798576f770b7d.jpg,84286
