id,category,country,channel,handle,name,description,image,subscribers
1,gambling,IN,https://t.me/findolucky,@findolucky,Findo Lucky,Enjoy Your Lucky Money-Making Journey!,https://static8.tgstat.ru/channels/_100/e2/e27703195871687fcdbd94ba315b06e7.jpg,5151976
2,gambling,RU,https://t.me/wewantyoutodothejob,@wewantyoutodothejob,WeWantYou,Канал для поиска исполнителей для разных задач и организации мини конкурсов,https://static4.tgstat.ru/channels/_100/0e/0ed0c7818708231038b7b08ad41e191a.jpg,4634877
3,gambling,Global,https://t.me/okx_racer_official_announcement,@okx_racer_official_announcement,OKX Racer Announcement,Game: t.me/okx_official_bot/OKX_Racer,https://static2.tgstat.ru/channels/_100/65/650f4e6ad5190d380e112655743d1595.jpg,2620408
7,gambling,Global,https://t.me/BDGG_WINN,@BDGG_WINN,𝐁𝐃𝐆 𝐖𝐈𝐍 𓆩𝓥𝓣 𝖙𝖊𝖆𝖒 𓆪,𝗪𝗘𝗟𝗖𝗢𝗠𝗘 𝗧𝗢 𝗩𝗜𝗥𝗔𝗧 𝗩𝗜𝗣 𝗧𝗘𝗔𝗠,https://static1.tgstat.ru/channels/_100/36/36c77780df63dd3bc71b7ae41ca26c2b.jpg,1785721
9,gambling,Global,https://t.me/livenews_1win,@livenews_1win,1win news,"One Community, One Newsletter, Simply Best — 1win news",https://static1.tgstat.ru/channels/_100/17/17984c1785ec927bab749776865f9aee.jpg,1534765
10,gambling,IN,https://t.me/AnuragxCricket,@AnuragxCricket,Anurag Dwivedi 🏏,200 Crore Cash Prize Winner : Fantasy Cricket Expert : Cricket Trader : 32 Wheels : YouTuber / Content Creator : On a Mission,https://static4.tgstat.ru/channels/_100/d5/d5dcff290cd63d432621b011e4fa66f7.jpg,1531528
11,gambling,IN,https://t.me/Lucky_Draw_Master,@Lucky_Draw_Master,Lucky Draw Master,Telegram Viral Marketing Tool: Boost Your Channel/Group Growth Rapidly!,https://static8.tgstat.ru/channels/_100/68/688661b06a36a85c87ff5cdacb6705cf.jpg,1480132
12,gambling,Global,https://t.me/NGNPerkRaffle,@NGNPerkRaffle,Official activity group NGN,,https://static10.tgstat.ru/channels/_100/6b/6b52c879ef533d31fba0c3aaf874fa73.jpg,1352061
13,gambling,RU,https://t.me/JetTon_Official,@JetTon_Official,JetTon Games RU,"Новостной канал @JetTon : всё о новинках, обновлениях и акциях в мире JetTon Games.",https://static9.tgstat.ru/channels/_100/fe/fe4da54762a8d5e44f2c190d669cb4c8.jpg,1252640
14,gambling,IN,https://t.me/Cricket_Kabaddi_Football_team,@Cricket_Kabaddi_Football_team,FANTASY DREAM CRICKET TEAM,7 YEARS EXPERIENCE,https://static5.tgstat.ru/channels/_100/45/45452989f23184d7da1b89cf1015414a.jpg,1199974
