id,category,country,channel,handle,name,description,image,subscribers
5,health,UZ,https://t.me/dilya_asliddinovna_dietolog,@dilya_asliddinovna_dietolog,DIETOLOG DILYA ASLIDDINOVNA RASMIY️️,@DILYA_ASLIDDINOVNA1 aloqa uchun,https://static8.tgstat.ru/channels/_100/43/4358b9f2f31aefeff10a1a46316048e9.jpg,497107
8,health,UZ,https://t.me/SoglomHayot,@SoglomHayot,SOG'LOM HAYOT ️️,Статистикага кўра интернетдан тиббий маслаҳатлар излаганлар 58%ни ташкил қилади. Биз сизга энг сара тиббий маслаҳатларни тавсия этамиз!,https://static4.tgstat.ru/channels/_100/04/049671e28a386427e432b3370a22aae4.jpg,419177
9,health,IR,https://t.me/Dr_SalamatX,@Dr_SalamatX,🍎 رسانه دکتر سلامت 🍏,هذا من فضل ربی,https://static4.tgstat.ru/channels/_100/ac/ac9a95db232e96e7b379e0b4d207828c.jpg,408876
10,health,RU,https://t.me/Nutritionologyofnutrition,@Nutritionologyofnutrition,🥑КАНAЛ ПРО ANTI AGE,Основные шаги на пути к вечной жизни !,https://static9.tgstat.ru/channels/_100/97/979c8ede59967b4cd3bb592eecb22384.jpg,406827
11,health,RU,https://t.me/doctor_zubareva,@doctor_zubareva,Доктор Зубарева / Doctor Zubareva,- Практикующий доктор превентивной и антивозрастной медицины;,https://static5.tgstat.ru/channels/_100/33/33a9a85b75c26abb12df0ede6e180a7c.jpg,384441
14,health,RU,https://t.me/hemo_nutritionist_oksana,@hemo_nutritionist_oksana,НУТРИЦИОЛОГ ОКСАНА,НУТРИЦИОЛОГ  HEALTH-КОУЧ  ПП  ЗОЖ  КРАСОТА   СПОРТ,https://static4.tgstat.ru/channels/_100/30/30ace257b1e9efccceb006e7d8f957a4.jpg,310425
15,health,IR,https://t.me/drzanashooyi,@drzanashooyi,پزشک زناشویی,اگه میخوای رابطه جنسی خوبی با پارتنرت داشته باشی جوین شو,https://static7.tgstat.ru/channels/_100/43/43db23a4dd5eecf614c99f2e5bb474d4.jpg,309023
16,health,RU,https://t.me/sportsmens1,@sportsmens1,Спортсмен,В здоровом теле - здоровый дух!,https://static9.tgstat.ru/channels/_100/7b/7ba6ccc1433956631b2dfe6e36418d58.jpg,307817
17,health,UZ,https://t.me/shifotv,@shifotv,SHIFO TV,"‍️Каналдаги берилаётган маълумотларни ва реклама махсулотларини шифокор рухсати билан қўлланг, канал маъмурияти жавоб бермайди!",https://static9.tgstat.ru/channels/_100/75/757ae535c48394be6838a9b8b878b135.jpg,307419
20,health,RU,https://t.me/sila_potoka,@sila_potoka,Цигун Сила Потока,Занятия Цигун бесплатно!,https://static9.tgstat.ru/channels/_100/b8/b80098cafbf110d5687e4ec91d8f0a6c.jpg,293146
26,health,RU,https://t.me/poltorapomidora,@poltorapomidora,1.5 качка,По рекламе / сотрудничеству:,https://static4.tgstat.ru/channels/_100/6d/6d3f74186c1a2de12e4ef2ed18a3b890.jpg,259321
27,health,RU,https://t.me/DrDzari,@DrDzari,Dzari,Никому не пишу первым,https://static7.tgstat.ru/channels/_100/52/52f7f9e9f9023d52360703ef02555c7f.jpg,247660
28,health,RU,https://t.me/Alinamorozovaofficial,@Alinamorozovaofficial,Алина Морозова,1. Дипломированный нутрициолог.,https://static2.tgstat.ru/channels/_100/1d/1db5699176910bf892ce9e941a513ef3.jpg,244259
30,health,RU,https://t.me/dr_ales,@dr_ales,"Алесь Улищенко | Врач-остеопат, к.м.н., | Автор фейспластики",ДОКТОР ДУШИ И ТЕЛА,https://static6.tgstat.ru/channels/_100/f3/f3a2f13f377b7b860faeac9e5df70839.jpg,234815
34,health,RU,https://t.me/olga_pomoynetskaya,@olga_pomoynetskaya,Гастроэнтеролог Ольга Помойнецкая,С заботой о пациенте ️,https://static8.tgstat.ru/channels/_100/c5/c552db684304a16120481099991b3afb.jpg,211708
35,health,RU,https://t.me/StretchLab,@StretchLab,Stretch |Растяжка|Шпагат,Учимся садиться на шпагат с командой профессионалов!,https://static3.tgstat.ru/channels/_100/8f/8f7405eaf1ec354991a9715d4dce522b.jpg,210976
36,health,RU,https://t.me/pro_zdorovie_telegram,@pro_zdorovie_telegram,Ксения Чёрная нутрициолог | PRO-Здоровье,"Канал о здоровье  Здесь собраны полезные статьи, рецепты, подкасты от лучших нутрициологов страны — углубленные знания о нутрициологии.",https://static6.tgstat.ru/channels/_100/0b/0bebb7891915bab8c25d69e66c88c7c3.jpg,210238
40,health,UZ,https://t.me/XalqimTabobati,@XalqimTabobati,ХАЛҚ ТАБОБАТИ,"Тиббиёт, соғлом турмуш тарзи, узоқ умр кўриш ва касалликларни даволаш хақидаги сизнинг севимли каналингиз!",https://static8.tgstat.ru/channels/_100/55/559f7478565e79c4b4c0370afa824dcb.jpg,189497
43,health,RU,https://t.me/mashablinovafit,@mashablinovafit,Masha Blinova. Маша Блинова. Фитнес,Здоровый фитнес.,https://static3.tgstat.ru/channels/_100/37/3796efd4b752240a88dbc147a27c0079.jpg,182442
