id,category,country,channel,handle,name,description,image,subscribers
1,medicine,IR,https://t.me/DrTel18,@DrTel18,𝐃𝐫 𝐓𝐞𝐥,پوشش اخبار و اتفاقات جهان به سبک با ادب ترین دکترِ جهان,https://static8.tgstat.ru/channels/_100/c2/c29853c1cdcec36e6bfc0e98fd71dded.jpg,420328
2,medicine,IR,https://t.me/LearnEng01,@LearnEng01,تعليم اللغة الانجليزية,تعليم اللغة الإنجليزية بطريقة سهلة وممتعه لجميع المستويات .,https://static3.tgstat.ru/channels/_100/7b/7be53d0b7a68a3ee3a391bcdb797326e.jpg,400752
4,medicine,RU,https://t.me/DrAnshina,@DrAnshina,Dr.Anshina,Роскомнадзор № 4777691256,https://static5.tgstat.ru/channels/_100/4b/4b11dbb1e1378b3660eb0f870edd58f8.jpg,379319
5,medicine,UZ,https://t.me/apteka_tv,@apteka_tv,APTEKA_TV,Сизнинг соғлиғингизга ғамхўрлик қиладиган шифокорлар жамоаси. Тиббиёт ҳақида оддий сўзлар билан.,https://static7.tgstat.ru/channels/_100/06/0693a81e190ce9ce967ce470faa5f751.jpg,368414
6,medicine,UZ,https://t.me/Tabobatlar,@Tabobatlar,TABOBATLAR,"Соғлиғингизга бефарқ бўлманг, каналимизни кузатиб боринг! Барчаси сизлар учун!",https://static3.tgstat.ru/channels/_100/e7/e741b0dc8ca800d29b0cd9caa991e8de.jpg,366676
7,medicine,Global,https://t.me/no1_oone,@no1_oone,الجراحة 💊| Surgery 🔪,الجراحةSurgeryفقط للأقوياء️,https://static6.tgstat.ru/channels/_100/59/5945e371cbdf2e0b3ef1ba0ec4b27d6f.jpg,363284
8,medicine,UZ,https://t.me/Dorilar_Plus,@Dorilar_Plus,DORILAR ⛑️,!  Каналда берилаётган маълумотларни шифокор маслаҳати билан қўлланг!,https://static7.tgstat.ru/channels/_100/d3/d3eba8929a0cb13937a16cc915dc6165.jpg,299916
9,medicine,RU,https://t.me/magerya,@magerya,Эндокринолог Магеря,Эксперт 1 канала⁣⁣ 🩺,https://static10.tgstat.ru/channels/_100/30/30ddfa8ba3d03edc697d64b7b3a9a550.jpg,294684
10,medicine,UZ,https://t.me/salomatlik_uz,@salomatlik_uz,SALOMATLIK.UZ,Биз билан соғлом юринг. Каналимизни кузатиб боринг барчаси сизлар учун!,https://static5.tgstat.ru/channels/_100/8e/8e4a4513fcde58e024e5f5d688e5824a.jpg,294582
11,medicine,UZ,https://t.me/kasalliklartv,@kasalliklartv,KASALLIKLAR TV,"""Инсон соғлиғи - энг улуғ неъмат!""",https://static5.tgstat.ru/channels/_100/9a/9a663b1ebdf15d331abec8402860a094.jpg,267551
12,medicine,UZ,https://t.me/TIBBIYOT,@TIBBIYOT,TIBBIYOT | ТИББИЁТ,Ваҳиманинг ўзи ярим касалликдир.,https://static9.tgstat.ru/channels/_100/9a/9a86653dd7a28d0af74c2d7b280f5f21.jpg,264943
13,medicine,UZ,https://t.me/xalqim_tabobati,@xalqim_tabobati,🍃 Халқ табобати 🍃,Каналда берилган маълумотларни шифокор маслахати билан қўлланг! Сизнинг бемаслахат қилган ишингизга канал маъмурияти жавоб бермайди.,https://static7.tgstat.ru/channels/_100/4f/4f34fa923109726782d39fe954d8dcc6.jpg,248050
