id,category,country,channel,handle,name,description,image,subscribers
1,religion,RU,https://t.me/kvmalofeev,@kvmalofeev,Константин Малофеев,Дзен: https://dzen.ru/kvmalofeev,https://static10.tgstat.ru/channels/_100/33/33fdfe764eb6b6cf39924d911278fee1.jpg,808834
2,religion,UZ,https://t.me/NamozVaq1lari,@NamozVaq1lari,Namoz Vaqtlari ️️| Расмий канал,СИЗ БУ ЕРДА НАМОЗ ҲАҚИДА БАТАФСИЛ МАЪЛУМОТЛАР ОЛИШИНГИЗ МУМКИН.,https://static1.tgstat.ru/channels/_100/b7/b79ca5e14a9701e50089afe5e8f9d257.jpg,533369
3,religion,Global,https://t.me/EO_30,@EO_30,ادعيه،اذكار،خواطر،القرآن الكريم.,-وَمَن يُؤْمِنُ بِاللَّهِ يَهْدِ قَلْبَهُ-,https://static5.tgstat.ru/channels/_100/91/91c8e2c696fa39cd5b558f5388242f7c.jpg,368500
4,religion,Global,https://t.me/GIGERU,@GIGERU,فيديوهات دينية ، حالات قرآن ♡',- قنواتي  @KKMKM,https://static7.tgstat.ru/channels/_100/a1/a13c06f18fa75b35e92c086f6e0ff654.jpg,314362
5,religion,IR,https://t.me/itsTheQuraan,@itsTheQuraan,إنه القرآن ( القناة الرسمية ),رسالتنا : كسر الحواجز التى بين الناس والقرآن حتى تتذوق قلوبهم روعة هذا الكلام الذى لو نزل على جبل لتصدع من خشية الله,https://static9.tgstat.ru/channels/_100/3e/3e7571191cac24c68025e527d446c69f.jpg,286806
6,religion,RU,https://t.me/nashidy,@nashidy,Нашиды | Ислам | Коран,По поводу рекламы: t.me/NFChannels,https://static9.tgstat.ru/channels/_100/ec/ece934388aee750c6f94b55b0b6495eb.jpg,273975
7,religion,Global,https://t.me/iiiio201,@iiiio201,سؤال وجواب⁉️,هنا أروع الأسئلة الثقافية,https://static5.tgstat.ru/channels/_100/4d/4da7c3d8a99d0547ec7b7dc14d1600d3.jpg,271574
8,religion,RU,https://t.me/videotca_Andrea,@videotca_Andrea,Протоиерей Андрей Ткачев,№ 4781807410,https://static5.tgstat.ru/channels/_100/30/30160d332a68016e9f82c4acad6aba12.jpg,252333
9,religion,RU,https://t.me/molitvaikona,@molitvaikona,Молитвы на все случаи жизни☦️,Православные молитвы на все случаи жизни.,https://static5.tgstat.ru/channels/_100/63/634404ba1c3a2a15515aa46842f4f5fb.jpg,244517
10,religion,UZ,https://t.me/mehrob_uz,@mehrob_uz,Mehrob.uz,Шайх Саййид Раҳматуллоҳ Термизийнинг  www.mehrob.uz  саҳифасининг расмий канали.,https://static10.tgstat.ru/channels/_100/92/9219adc5c42107c4911e249155320648.jpg,242390
11,religion,UZ,https://t.me/Namoz_Vaqtlari,@Namoz_Vaqtlari,Namoz Vaqtlari,"⏰ БУ КАНАЛДА, КУНЛИК НАМОЗ ВАҚТЛАРИ БЕРИБ БОРИЛАДИ.",https://static1.tgstat.ru/channels/_100/58/58a7f05fd4cdedc7ff5af2cc70bc726e.jpg,232587
12,religion,UZ,https://t.me/Duo_yodlash,@Duo_yodlash,Дуолар,#Bismillah...,https://static1.tgstat.ru/channels/_100/b1/b1747e1b246849cb4d224d26a993cfda.jpg,226788
13,religion,RU,https://t.me/pavelostrovski,@pavelostrovski,Павел Островский,Православный священник,https://static3.tgstat.ru/channels/_100/0d/0de13f6b3e3d00f22683982b3857ad6c.jpg,206496
14,religion,Global,https://t.me/BBeBB,@BBeBB,إذاعة القرآن الكريم,قناة لـ إذاعة القرآن الكريم على مدار 24 ساعة,https://static2.tgstat.ru/channels/_100/48/48d5f4b1288803c53f34eb7c033eb9d1.jpg,205104
15,religion,UZ,https://t.me/ShayxSaboqlariuz,@ShayxSaboqlariuz,ШАЙХ САБОҚЛАРИ ️️,Канал Шайх Муҳаммад Содиқ Муҳаммад Юсуфнинг илмий-маънавий меросларини ўрганиш мақсадида мухлислар томонидан очилган.,https://static8.tgstat.ru/channels/_100/e3/e37c32dd2ee943831d49a32008ebe372.jpg,200290
16,religion,Global,https://t.me/szszs2,@szszs2,ابيات فصحى ، قصائد حب ، غزل 🤎،,اترُكي التَّعَالِي وتَعَالَي. - @RuuRu .,https://static5.tgstat.ru/channels/_100/55/55ca190ab5b1eceb5b6c55f76e49fec4.jpg,198633
17,religion,IR,https://t.me/allah144,@allah144,🔹« دعا و اذکار کارگشا ﷺ »,️ ساعات تماس ۵ بعد از ظهر الی ۹ شب,https://static2.tgstat.ru/channels/_100/64/64676d2aadebbcecacee925d87b9a78d.jpg,193351
18,religion,Global,https://t.me/aistirahat_ruh,@aistirahat_ruh,استراحة قـ𓂆ــلب♡,هنَا ﮼استراحة قلب   .... قناة لقلوبكم ..,https://static10.tgstat.ru/channels/_100/22/22619bf85a60013c2eb36f523e70d4d0.jpg,184946
19,religion,UZ,https://t.me/dunyotvLIVE,@dunyotvLIVE,Dunyo🌐TV | LIVE,"Прилагаем все усилия, чтобы своевременно, удобно и быстро информировать соотечественников о последних новостях!",https://static1.tgstat.ru/channels/_100/68/68252c2e4e57ff87e73afd5338783307.jpg,184857
20,religion,UZ,https://t.me/Shayx_MuhammadSodiq_Muxlislari,@Shayx_MuhammadSodiq_Muxlislari,ШАЙХ МУХЛИСЛАРИ !!!,Канал Шайх Муҳаммад Содиқ Муҳаммад Юсуф раҳимаҳуллоҳнинг илмий-маънавий меросларини ўрганиш мақсадида муҳаббатли мухлислар томонидан очилган!,https://static1.tgstat.ru/channels/_100/75/75e59e88ff8da200c5b0c17f397729b3.jpg,184711
21,religion,Global,https://t.me/mhmd5airy,@mhmd5airy,دروس الشيخ محمد خيري,ننشر دروس الشيخ,https://static10.tgstat.ru/channels/_100/28/286227d3d069e528f8dd6bdcab125440.jpg,177315
