id,category,country,channel,handle,name,description,image,subscribers
1,books,RU,https://t.me/patephone_audioknigi,@patephone_audioknigi,Аудиокниги и книги от Patephone,https://patephone.com,https://static6.tgstat.ru/channels/_100/5f/5fa3c154106e874510e508bac4da5a4d.jpg,791448
8,books,RU,https://t.me/flibusta_anglysky,@flibusta_anglysky,Книги | Аудиокниги,‍️ Для навигации воспользуйтесь закрепленным сообщением.,https://static7.tgstat.ru/channels/_100/5d/5d5d6386f4e7ce6143d4ab16ffc6a96c.jpg,433275
15,books,RU,https://t.me/ficbook_official,@ficbook_official,Фикбук,"Погрузись в уютный мир фэндомов: фанфики, книги, аниме, фильмы, к-поп.",https://static5.tgstat.ru/channels/_100/ac/ace42637271d13d48f05e98b3e4916f5.jpg,305526
16,books,RU,https://t.me/knigi_literatura,@knigi_literatura,Ещё главу и спать | Литература,Читаем и делимся прочитанным,https://static4.tgstat.ru/channels/_100/0b/0bb06c24143324a452ee5cbc74788d8d.jpg,293797
20,books,RU,https://t.me/AUDIOKNIGI_CHANNEL,@AUDIOKNIGI_CHANNEL,Аудиокниги,Для связи — @ac_meos,https://static5.tgstat.ru/channels/_100/56/563383f0211ef90b76a4366903cf9681.jpg,287587
24,books,RU,https://t.me/ManhwaEfficient,@ManhwaEfficient,Manhwa Efficient | Ночь у берега / Джинкс Любовное средство Скетч/Эскиз Стыки Возмездие Не трогай пёсика Травма альфы,"Быстро, качественно, с любовью ️",https://static4.tgstat.ru/channels/_100/e9/e927e4bb5bed75ae2890e6a23c5c2619.jpg,253340
31,books,RU,https://t.me/flibusta,@flibusta,Книжное братство,"Клуб людей, любящих книги.",https://static6.tgstat.ru/channels/_100/a0/a09e75c5c86a7bf6582d2b4d75aad615.jpg,181790
33,books,RU,https://t.me/lnmanga,@lnmanga,Манга / LN Manga,LN Manga - это агрегатор манги со всего интернета в одном месте.,https://static3.tgstat.ru/channels/_100/89/892ef985df83774deab0203f0440fed3.jpg,171644
37,books,RU,https://t.me/booksyandex,@booksyandex,Яндекс Книги,"Мы любим книги. Поэтому сделали приложение, в котором их действительно удобно читать и слушать.",https://static9.tgstat.ru/channels/_100/1c/1c056f1a401830ee00deced65882b793.jpg,162234
38,books,RU,https://t.me/flibustabooks,@flibustabooks,Flibusta | Книги | Аудиокниги | @flibustafreebookbot,"Если нарушаем Ваши права, то пишите - flibustatg@gmail.com, готовы удалить контент, нарушающий АП.",https://static3.tgstat.ru/channels/_100/7e/7e32f4d8f6799ecd74d19090de8524c4.jpg,155986
39,books,RU,https://t.me/silaknigi,@silaknigi,Сила Книги | Аудиокниги | Flibusta,Самый крупный канал с книгами в кратком содержании. Присоединяйся!,https://static9.tgstat.ru/channels/_100/bc/bc046dc09603aded74daa762e228b458.jpg,147009
44,books,RU,https://t.me/AphorismTG,@AphorismTG,Афоризмы | Литература | Книги | Стихи,Афоризмы античных и современных мудрецов. Мысли и цитаты великих классиков всех времен и народов.,https://static4.tgstat.ru/channels/_100/0d/0d7f9017fbda691900187b22404b8a1f.jpg,135935
47,books,RU,https://t.me/dnevnikitg,@dnevnikitg,Жизнь в дневниках,Лучшие мысли и дневниковые записи,https://static2.tgstat.ru/channels/_100/37/376182f73b26f76dec49e462700826ea.jpg,133407
64,books,RU,https://t.me/duosoft_books,@duosoft_books,Книжный Вестник,Анонсы и обзоры интересных книг,https://static9.tgstat.ru/channels/_100/97/97c51fac43cbde2e7ac3f327dbd11e58.jpg,105587
65,books,RU,https://t.me/zbs_team,@zbs_team,Mosspaca Studio | Переводы 19 дней | Волк и найдёныш | Нань Хао и Шан Фэн | все-все-все...,Канал команды по переводу всех комиксов «Студии Мосспака»!,https://static6.tgstat.ru/channels/_100/7c/7c89a73ae718e11d1848e2d624f9b9cb.jpg,104798
68,books,RU,https://t.me/stikhi_psikhologia,@stikhi_psikhologia,Поэзия📘Рассказы📔Сказки,Книги  https://t.me/receptkokk_bot?start=neww,https://static5.tgstat.ru/channels/_100/98/9828fd77c1e511a2874ccc41e8ed279a.jpg,101100
75,books,RU,https://t.me/chitai_gorod_official,@chitai_gorod_official,Читай-город,Место встречи с книгой.,https://static1.tgstat.ru/channels/_100/ac/ace202812a74d9a042ca6fd82a2abf6c.jpg,96528
82,books,RU,https://t.me/novellascreator,@novellascreator,Novella’s creator,"Приветик, мы команда разработчиков визуальных новелл для Telegram",https://static3.tgstat.ru/channels/_100/6b/6b9135713719b6481f4a956a13051457.jpg,91109
89,books,RU,https://t.me/freeclassicbooks,@freeclassicbooks,Классические книги,"Канал наполняется классическими книгами, которые можно скачать бесплатно или читать онлайн",https://static9.tgstat.ru/channels/_100/86/8664002c3614183fca59480b9e611d8d.jpg,86714
92,books,RU,https://t.me/rumangatogetherrr,@rumangatogetherrr,Руманга «Вместе»,"нихао,это официальный канал руманги «вместе»",https://static2.tgstat.ru/channels/_100/18/1842ea1384d4417a77d1267be412c02e.jpg,82150
93,books,RU,https://t.me/Tearsonwitheredflowers,@Tearsonwitheredflowers,Слезы на увядших цветах,"Фан сообщество посвященное манхве ""Слезы на увядших цветах""",https://static6.tgstat.ru/channels/_100/8a/8a2c4f89e4ee21106ac081788b38c080.jpg,82134
99,books,RU,https://t.me/chelkadostatrans,@chelkadostatrans,Отдел по Делам Одарённых || ПЕРЕВОД БСД,"120,5 ГЛАВА — 03.12",https://static5.tgstat.ru/channels/_100/eb/eb237510e285ac0eacb4c180309e25a6.jpg,79565
100,books,RU,https://t.me/knizhnikc,@knizhnikc,Книжник,"Авторский блог об актуальных новостях в мире книг. Делимся мгновениями своей жизни, цитируем известных авторов и анонсируем книги современной литературы.",https://static8.tgstat.ru/channels/_100/cb/cba994052f6e73f6b39d35305479b76c.jpg,79265
