id,category,country,channel,handle,name,description,image,subscribers
1,construction,RU,https://t.me/pik_ru,@pik_ru,ПИК,Купить квартиру онлайн на pik.ru,https://static3.tgstat.ru/channels/_100/ae/ae543ad3f416c4a50370b0eab026fa4e.jpg,536292
7,construction,RU,https://t.me/domeoru,@domeoru,DOMEO. ДИЗАЙН | РЕМОНТ | НЕДВИЖИМОСТЬ,Уже 11 лет в DOMEO создают безупречный ремонт и дизайн квартир по фиксированной цене.,https://static6.tgstat.ru/channels/_100/e0/e037ffffdc3eede071b0a15d540a468e.jpg,393702
12,construction,RU,https://t.me/gk_fsk,@gk_fsk,ГК ФСК,4786357891,https://static2.tgstat.ru/channels/_100/e0/e00a670b471f04cb5280b245757a8849.jpg,300428
13,construction,RU,https://t.me/stroim_home,@stroim_home,Строительный агент,Строительный бизнес,https://static7.tgstat.ru/channels/_100/ee/eebe4f502ec07e05ae8477cce3666047.jpg,289235
17,construction,RU,https://t.me/stroitel_ahmed,@stroitel_ahmed,Бизнес. Стройка . Дизайн . Дом 🏠 уют,Все про  бизнес и не только,https://static10.tgstat.ru/channels/_100/4d/4dad91c64b5de583ceea5a954a7f14c0.jpg,265544
18,construction,RU,https://t.me/postroim_dom,@postroim_dom,Построим свой дом | Строительство своими руками,Предложить новость: @postroim_dom_bot,https://static4.tgstat.ru/channels/_100/4c/4c087e44525637f4d0207355d14b9a98.jpg,264942
19,construction,RU,https://t.me/decor_journal,@decor_journal,Дизайн и ремонт,"Современные проекты для дизайна квартир и домов, а также полезные советы и решения по ремонту.",https://static2.tgstat.ru/channels/_100/69/691056721172dbecad394e42c840d954.jpg,261602
20,construction,RU,https://t.me/i_stroyu_i_poyu,@i_stroyu_i_poyu,МАСТЕР НА ВСЕ РУКИ,Поющий МАСТЕР НА ВСЕ РУКИ,https://static8.tgstat.ru/channels/_100/29/294ad315f3a8f1646c76f40ae183af49.jpg,260952
21,construction,RU,https://t.me/macters,@macters,МАСТЕР,Предложить новость: @macters_bot,https://static8.tgstat.ru/channels/_100/8a/8a52f216e1984e9ed735533a2352c13e.jpg,256760
25,construction,RU,https://t.me/dezigas,@dezigas,Дизайн интерьера,Интересный канал посвященный дизайну интерьера. В нем найдете много различных вариантов 3D моделирования.,https://static9.tgstat.ru/channels/_100/cd/cd91a3224769f112b2fdd618ec9a6a15.jpg,216163
28,construction,RU,https://t.me/homeasy,@homeasy,HOMEASY - идеи для дома,"Идеи интерьера, хоумстейджинг, декор.",https://static5.tgstat.ru/channels/_100/2f/2f7586d5a2bf15d4964ac55150ffc2da.jpg,206318
29,construction,RU,https://t.me/stroika_dizain,@stroika_dizain,Интерьер 🪞дизайн 👨‍💻все о стройке,"Проекты, Планировка домов",https://static9.tgstat.ru/channels/_100/f8/f887480c7363cafce48ef239fb99d743.jpg,205650
33,construction,RU,https://t.me/pervyidsk,@pervyidsk,Первый ДСК,4790674640,https://static5.tgstat.ru/channels/_100/3f/3f93c63250b45d3b3e350b024815ba12.jpg,191714
34,construction,RU,https://t.me/marysya_home,@marysya_home,"Маша, расскажи!",Эстетика пространства и домашнего уюта.,https://static3.tgstat.ru/channels/_100/70/70c89eb9b05954684d1486faafc11a6f.jpg,188264
35,construction,RU,https://t.me/rukasty,@rukasty,Рукастый дядя,Предложить новость: @rukasty_bot,https://static3.tgstat.ru/channels/_100/df/df367423b746d66238872466b49d3a6e.jpg,188113
37,construction,RU,https://t.me/laifkhaky_interero_remont,@laifkhaky_interero_remont,Квартира в порядке,️Простые советы по оптимизации домашнего быта и дизайн интерьера!,https://static4.tgstat.ru/channels/_100/08/08caf1b2e8b3101452f67bdc591e1796.jpg,178029
38,construction,RU,https://t.me/locmsk,@locmsk,Локация МСК,"Про недвижимость Москвы без приукрас. Новости рынка, лучшие локации для жизни/коммерции, специальные предложения от застройщиков, а также самые выгодные условия на покупку.",https://static5.tgstat.ru/channels/_100/3f/3f273bf4259ca432896a63f027434dfa.jpg,175662
41,construction,RU,https://t.me/dsgn_interior,@dsgn_interior,Идеи дизайна интерьера,Разнообразные дизайнерские решения для дома и квартиры,https://static2.tgstat.ru/channels/_100/f5/f5618104a34b4b787799e8ff6e48fc7b.jpg,171328
42,construction,RU,https://t.me/stroitel_Maga,@stroitel_Maga,СТРОЙКА 🏗️ ДИЗАЙН 🧑‍🎨Недвижимость 🏠,Все о стройке  и дизайне . Самые лучшие подборы . Планировачка для вас,https://static1.tgstat.ru/channels/_100/89/89c2b347e4668f4eae11afafcff89b1a.jpg,159610
43,construction,RU,https://t.me/nedvizhkaa_MSK,@nedvizhkaa_MSK,Недвижка МСК,"Про недвижимость и только – ничего лишнего. Новостройки, застройщики и аналитика.",https://static9.tgstat.ru/channels/_100/ab/abe9c0c340f23f1c27c6de87b6d1264c.jpg,149738
50,construction,RU,https://t.me/dizayn_landshaft,@dizayn_landshaft,Ландшафтный дизайн участка,- Идеи обустройства загородных участков.,https://static3.tgstat.ru/channels/_100/8f/8f1b5e3c3f51fdaca2530785734dfba5.jpg,130571
61,construction,RU,https://t.me/alexis_home,@alexis_home,Alexis_home,Самый уютный телеграмм канал с находками для дома️,https://static2.tgstat.ru/channels/_100/d6/d60b51525fa6d58f4ef65f1a3ccdb11e.jpg,110479
