id,category,country,channel,handle,name,description,image,subscribers
2,courses,RU,https://t.me/free_edu,@free_edu,Бесплатное образование,"Публикуем анонсы бесплатных лекций, курсов и образовательных программ. Для тех, кто хочет и любит учиться.",https://static9.tgstat.ru/channels/_100/93/939314105ce8701e67489642ef4d49e8.jpg,365173
3,courses,RU,https://t.me/moe_obrazovanie,@moe_obrazovanie,Мое Образование,"Лекции, вебинары, курсы от настоящих экспертов. От архитектуры и культуры до программирования, SMM, маркетинга и финансовой грамотности.",https://static4.tgstat.ru/channels/_100/1c/1c18ee85a402e84ff245efc35dcb7472.jpg,341674
12,courses,RU,https://t.me/sharewood_ws,@sharewood_ws,SHAREWOOD,Присоединяйся к Шервудским разбойникам и получай знания бесплатно!,https://static8.tgstat.ru/channels/_100/11/11134d7c2307818344eecce2559211eb.jpg,158405
15,courses,RU,https://t.me/lektorium20,@lektorium20,Лекториум,"Самообразование на всю жизнь. Курсы, лекции, образовательные подборки.",https://static8.tgstat.ru/channels/_100/80/80defb2c48581b060a7c7fad042a0954.jpg,141150
16,courses,RU,https://t.me/lektoritv,@lektoritv,Лекторий,"Бесплатные лекции, семинары и мастер-классы, которые советует преподаватель из ВШЭ.",https://static5.tgstat.ru/channels/_100/33/334b1f87d52393ab4407ef5d283ea0e0.jpg,131313
17,courses,RU,https://t.me/eruditurl24,@eruditurl24,Эрудиция | Digital и бизнес образование,"Анонсируем различные курсы, лекции, марафоны, сообщаем о различных форумах и образовательных программах",https://static1.tgstat.ru/channels/_100/1b/1ba6fdb4d29205d93fe791c8c053e715.jpg,129416
19,courses,RU,https://t.me/iAmbitious,@iAmbitious,Soft Skill | Навыки,Сообщество экспертов и профессионалов в своём деле.,https://static5.tgstat.ru/channels/_100/ae/ae10bb7c542bfe65d145621c514cf77c.jpg,114172
23,courses,RU,https://t.me/profi_kursi_gaidi,@profi_kursi_gaidi,PROFI | Курсы гайды,Профи в своём деле.,https://static3.tgstat.ru/channels/_100/c6/c632732bd82a9c8eb3b9aa1035d52ace.jpg,106702
25,courses,RU,https://t.me/skillget,@skillget,Скиллгет | Онлайн образование,"Отборные обучающие видео, курсы, лекции, для специалистов.",https://static2.tgstat.ru/channels/_100/6a/6aa63351fd988639040c8a2fda637188.jpg,97537
26,courses,RU,https://t.me/slivytg,@slivytg,Отборное Образование || Бесплатное образование,"Публикуем бесплатные лекции, курсы, вебинары. Становись лучше вместе с нами!",https://static10.tgstat.ru/channels/_100/b3/b33a1e86a62cf020ab1d716aa6e7d2f3.jpg,94732
27,courses,RU,https://t.me/sliv_freedom,@sliv_freedom,ГАЙДЫ free ЧЕК-ЛИСТЫ,Опубликовать на канале гайд  @Reklamki_bot,https://static4.tgstat.ru/channels/_100/f8/f88d97e8ef341db1ed471f0802d11771.jpg,89810
34,courses,RU,https://t.me/sliwbl,@sliwbl,Сливы курсов,Сливы платных курсов - бесплатно!,https://static10.tgstat.ru/channels/_100/3d/3dd60beb15ed1cdda5ddb9e9cf091934.jpg,76277
37,courses,RU,https://t.me/Study_BOARD,@Study_BOARD,Study BOARD,"Получайте бесплатное образование от лучших преподавателей, коучей, лекторов самых современных онлайн школ, академий и ВУЗов всего мира.",https://static1.tgstat.ru/channels/_100/74/74f7d3aa1072ed0f51abd098cd5dd326.jpg,69916
41,courses,RU,https://t.me/Kultura_obuchenie,@Kultura_obuchenie,Core | Культура обучение,Эксперты и профессионалы в своём деле.,https://static4.tgstat.ru/channels/_100/78/7814642afe85a95bf727da931e928e94.jpg,61934
42,courses,RU,https://t.me/sharewood_biz,@sharewood_biz,Сундук Робина,Присоединяйся к Шервудским разбойникам и получай знания бесплатно!,https://static4.tgstat.ru/channels/_100/b4/b4e7c8e7831311d7608fafa4c1e3e7c3.jpg,61064
43,courses,RU,https://t.me/archivator_it,@archivator_it,Архиватор | IT,Архивируем для вас ценные знания,https://static2.tgstat.ru/channels/_100/80/8079976e523858f18654f9df2d45e346.jpg,60894
48,courses,RU,https://t.me/motionchek,@motionchek,Чек-листы марафоны,Не позволяйте дню вчерашнему отнять слишком много у дня сегодняшнего.,https://static3.tgstat.ru/channels/_100/4b/4bcea41e9e052bd7717d9e7794d4afbd.jpg,54512
59,courses,RU,https://t.me/Slomai_sistemu_Potencial,@Slomai_sistemu_Potencial,Сломай систему | Потенциал,Твой потенциал ограничен твоим незнанием. С этим мы и поработаем.,https://static2.tgstat.ru/channels/_100/1b/1bd4e350f432320b0360e0cadd7ec381.jpg,46810
61,courses,RU,https://t.me/slivaker_it,@slivaker_it,Сливакер | IT,Материалы могут быть удалены по запросу правообладателя!,https://static7.tgstat.ru/channels/_100/82/8207ff7a5059e97f2c3e7b04ad774f30.jpg,45010
63,courses,RU,https://t.me/cgspeaks,@cgspeaks,CGSpeak,Официальный телеграм Ютуб канала CGSpeak,https://static7.tgstat.ru/channels/_100/fd/fd249c2f80fc4e6af1abc642f91fe605.jpg,42210
66,courses,RU,https://t.me/puzzlebrainru,@puzzlebrainru,Бесплатные курсы каждый день на PuzzleBrain,https://puzzlebrain.ru/,https://static2.tgstat.ru/channels/_100/35/35b2612f548c5af7cd3c3af4fc0ca2cf.jpg,38071
73,courses,RU,https://t.me/ed_fak,@ed_fak,Факультатив | Бесплатное образование,"Лучшие вебинары, лекции, курсы.",https://static1.tgstat.ru/channels/_100/49/494290d2896e89f3d1ead5da02956a94.jpg,33898
76,courses,RU,https://t.me/prostovtak,@prostovtak,Переход в ТАК. ДОМ,Служба заботы @Perexod_admin,https://static6.tgstat.ru/channels/_100/14/14370eb9ba85eb6fc0e93d4537a73076.jpg,33435
77,courses,RU,https://t.me/course_archive,@course_archive,Архив курсов | SLIV OT BLOGEROV,Для правообладателей: @forcopyrightholders,https://static10.tgstat.ru/channels/_100/49/4992d99b53402e9bb5567a53248f61fe.jpg,33330
83,courses,RU,https://t.me/books_and_trainings,@books_and_trainings,"Проходим курсы, читаем книги, тренинги и спорт","Канал для всех, у кого есть цель в развитии.",https://static10.tgstat.ru/channels/_100/e0/e03dd39e196255cd3c7ebb9eb2d2b7e5.jpg,29701
88,courses,RU,https://t.me/cheklistbllogger,@cheklistbllogger,Чек-листы,https://t.me/+keyLkL38ME8wOGZi,https://static8.tgstat.ru/channels/_100/6c/6c82c024a3150331ba379198632dcd67.jpg,27558
91,courses,RU,https://t.me/codepump,@codepump,Интернет технологии,По вопросам @bloodyev,https://static2.tgstat.ru/channels/_100/b1/b1e3e692769226887d79db3293ad7cbb.jpg,27071
98,courses,RU,https://t.me/netology_ru,@netology_ru,Нетология,Образовательная платформа Нетология. Меняем карьеру через образование: http://netolo.gy/fHH,https://static8.tgstat.ru/channels/_100/bd/bd853b475d59821e100d3d24303d7747.jpg,24079
108,courses,RU,https://t.me/newplanecbott,@newplanecbott,Самотелики в тг newplanecbot⬅️,,https://static4.tgstat.ru/channels/_100/e4/e4a6e88d489afd523e686614e010cc65.jpg,21904
