id,category,country,channel,handle,name,description,image,subscribers
4,design,RU,https://t.me/cgplugin,@cgplugin,CGPlugins,"Плагины, addons, текстуры, 3D модели, рендеры, звуковые эффекты и др.",https://static5.tgstat.ru/channels/_100/37/37a5fdf36090de6da14101a0c9b2536a.jpg,147422
8,design,RU,https://t.me/AETemp,@AETemp,After Effects Templates,Бесплатные шаблоны и скрипты для Adobe After Effects,https://static4.tgstat.ru/channels/_100/5e/5e232bc210652cda9e86ba974a571cfa.jpg,120661
10,design,RU,https://t.me/photosed,@photosed,Што такое фотошоп?,По рекламе @fedostoevsky / @phhhadmin,https://static8.tgstat.ru/channels/_100/ae/aefd765f4e0e3007fd3229e643d5e8a7.jpg,116390
12,design,RU,https://t.me/wtfont,@wtfont,Што за шрифт?,Новый шрифт каждый день,https://static9.tgstat.ru/channels/_100/46/4688742a14701307f3c3a84f628b30c4.jpg,111164
13,design,RU,https://t.me/figmadesign,@figmadesign,Figma Design,Номер заявления № 4776879409,https://static9.tgstat.ru/channels/_100/4a/4a064f0ee6cf27ce625ac8e583eae8d7.jpg,109178
16,design,RU,https://t.me/design_telega,@design_telega,Дизайн-Телега 🔥,"Секретное место с тоннами платных дизайн-материалов, которые ты получишь бесплатно.",https://static4.tgstat.ru/channels/_100/d7/d71aa82cb7e78666c3ffec4a0a065f20.jpg,102209
17,design,RU,https://t.me/dsgn_tutorial,@dsgn_tutorial,Учебник дизайнера,"Лучшие туториалы для дизайнеров в сфере UI/UX, веб и графического дизайна.",https://static2.tgstat.ru/channels/_100/35/356b0911ad8717a03f0d85929c1ca262.jpg,101188
20,design,RU,https://t.me/designdealer,@designdealer,Designdealer,Твой дизайн дилер,https://static7.tgstat.ru/channels/_100/4a/4a4fb1a8b784989ff4c0566989aa33a7.jpg,99580
21,design,RU,https://t.me/sexyfont,@sexyfont,Секси-шрифт. Кириллица,"Для тех, кто устал перебирать латиницу. 300+ шрифтов FREE.",https://static7.tgstat.ru/channels/_100/54/54eb0144268b3c83ff04e4de76fd0e79.jpg,91059
25,design,RU,https://t.me/Gambody,@Gambody,3D models STL FDM for Free,Реклама на канале |  Ads on the channel: @Gambodysupport_bot,https://static6.tgstat.ru/channels/_100/94/94924fc6159150f17df363ba5a5aa334.jpg,81856
27,design,RU,https://t.me/phhhphhh,@phhhphhh,Phhh Phhh | Фотошоп,Статьи и материалы по фотошопу в телеграме,https://static1.tgstat.ru/channels/_100/ff/ffe75adce36bab347ace0c8ef5674cde.jpg,76220
31,design,RU,https://t.me/Free3dsky,@Free3dsky,3DSky Free,Top sellers 3D models from the website  3dsky·org,https://static9.tgstat.ru/channels/_100/d8/d8ae921f1400164585b2e988614cad76.jpg,73794
38,design,RU,https://t.me/designhunters,@designhunters,Design Hunters,Вакансии для дизайнеров.,https://static2.tgstat.ru/channels/_100/fc/fcf9364bfda2b608a0a305bd157b75b6.jpg,69064
39,design,RU,https://t.me/mokaposhnaya,@mokaposhnaya,Мокапошная,Номер заявления № 4776888433,https://static7.tgstat.ru/channels/_100/52/52964260e11096513a813d1267b05227.jpg,66258
40,design,RU,https://t.me/designer_ru,@designer_ru,ИЩУ_ДИЗАЙНЕРА,"10 000+ дизайн-вакансий на удаленку, фриланс, релокейт и офис от designer.ru",https://static9.tgstat.ru/channels/_100/2b/2b37dcb0e189f4886f1a934da4c5cc0f.jpg,65666
42,design,RU,https://t.me/photoshopforyou,@photoshopforyou,Adobe Photoshop | Graphic Design | Фотошоп,№ 4776870854,https://static8.tgstat.ru/channels/_100/06/06179cfdbde10e9fef71cf2b755c3f9b.jpg,64578
43,design,RU,https://t.me/after_effects_motion,@after_effects_motion,After Effects | Motion Design,Все про монтаж видео.,https://static3.tgstat.ru/channels/_100/b9/b953663cb24bfd57df8928093d39bbdd.jpg,64464
44,design,RU,https://t.me/free_brushes,@free_brushes,Кисти Procreate,Бесплатные Кисти для Procreate,https://static10.tgstat.ru/channels/_100/8a/8aba296abc7458b92187090cab2d10a8.jpg,64391
45,design,RU,https://t.me/dbooks,@dbooks,Книги для дизайнеров 📚,Еженедельные новинки книг для творчества,https://static10.tgstat.ru/channels/_100/5d/5dd7aa582909df62edee88cec659a591.jpg,63958
46,design,RU,https://t.me/fontsch,@fontsch,Fonts | Шрифты для дизайнеров,Самый большой каталог бесплатных шрифтов в телеграм! Найди и испробуй любой шрифт прямо здесь! Все для дизайнеров :),https://static3.tgstat.ru/channels/_100/c4/c4f3778d79a5ae00b5332e6a2841e88f.jpg,63630
48,design,RU,https://t.me/photoshop_hack,@photoshop_hack,Фотошоп | Фотография | Дизайн,Научу тебя эффективной работе в Photoshop.,https://static2.tgstat.ru/channels/_100/9a/9aeaa66a5479a2f43282df34db4678e3.jpg,62442
49,design,RU,https://t.me/shrift_free,@shrift_free,Бесплатные шрифты,"Бесплатные шрифты - это шрифты, которые Вы можете скачать, не заплатив ни копейки, они найдены в сети. Но не забывайте читать файл лицензии.",https://static7.tgstat.ru/channels/_100/48/48f4e744d437ebd272be2a935b665690.jpg,62419
51,design,RU,https://t.me/dsgn_box,@dsgn_box,"Design Box | Дизайн, Графика, Figma",Твой проводник в мире веб-дизайна ⌨️,https://static9.tgstat.ru/channels/_100/57/57b71696d3f942e30495532b4be45372.jpg,59934
52,design,RU,https://t.me/stl_zone,@stl_zone,☠️ STL Zone ☠️ 3D models / Free STL,Free STL / 3D models / FDM printers / DLP Printers,https://static5.tgstat.ru/channels/_100/25/255ed8cbbde8b6349c08bf64421c997b.jpg,58866
54,design,RU,https://t.me/posterino,@posterino,Posterino | искусство плаката,"Лучшие плакаты, постеры и афиши отобранные с душой!",https://static1.tgstat.ru/channels/_100/f8/f8905bd3df64ace64a68e154ba72f24c.jpg,57072
55,design,RU,https://t.me/photoshop_guru,@photoshop_guru,ФотоГуру | Фотошоп и Дизайн,"Сделай 3,14здато!",https://static10.tgstat.ru/channels/_100/b8/b82ed43851ce14b14cb30d506ab5701b.jpg,55580
