id,category,country,channel,handle,name,description,image,subscribers
5,economics,RU,https://t.me/finansist_busines,@finansist_busines,Финансист | Бизнес | Инвестиции,"Все о финансах, инвестициях и технологиях",https://static2.tgstat.ru/channels/_100/b7/b7e34790d6d6bcad285ca3b5feab6617.jpg,1713511
6,economics,RU,https://t.me/doge1,@doge1,одиссея grimace exchange,"трейдер, который не сливает депо пока не начнёт трезветь. ворую индикаторы у Пифагора и колбасу из магазина.",https://static3.tgstat.ru/channels/_100/55/55a692969f76b1d22b090e5af009ebb2.jpg,1419466
13,economics,RU,https://t.me/AlfaBank,@AlfaBank,Альфа-Банк,Оперативно рассказываем важные новости.,https://static7.tgstat.ru/channels/_100/ba/ba6d843eb4251a4526ce65d1807a9309.jpg,893615
14,economics,RU,https://t.me/sberbank,@sberbank,Сбер,Сбер в Telegram,https://static5.tgstat.ru/channels/_100/c1/c1e3188bfa9d0b3ebcd3ff73e8f81a92.jpg,856889
21,economics,RU,https://t.me/multievan,@multievan,Мультипликатор,"️ Понятно об экономике, будущем и важнейших событиях",https://static7.tgstat.ru/channels/_100/28/2873ab210a2ab64a448f354e3b8d9165.jpg,636931
22,economics,RU,https://t.me/tb_invest_official,@tb_invest_official,Т-Инвестиции,Официальный канал Т-Инвестиций.,https://static5.tgstat.ru/channels/_100/1b/1bf2e84bf68367dd6e169fd607e2a314.jpg,626844
25,economics,RU,https://t.me/alfa_investments,@alfa_investments,Альфа-Инвестиции,"Официальный канал Альфа-Инвестиций с инвестидеями, прогнозами и советами, как управлять портфелем.",https://static6.tgstat.ru/channels/_100/33/33617269b6f103614eec24d73c45a3f2.jpg,574984
29,economics,RU,https://t.me/profinansy,@profinansy,Ольга Гогаладзе,Основатель pro.finansy:,https://static2.tgstat.ru/channels/_100/ae/ae8f7b6a6fbd50394ef2b67d4823caa0.jpg,545372
42,economics,RU,https://t.me/suverenka,@suverenka,Суверенная экономика,Как мы будем жить ближайшие годы? Рассказываем на канале «Суверенная экономика»,https://static5.tgstat.ru/channels/_100/17/17cd553849b85eaa965f80e8614c8bbf.jpg,420071
47,economics,RU,https://t.me/banksta,@banksta,Банкста,Самый злой канал про банкиров. По новостям и рекламе пишите на bankrock@protonmail.com (почта с Mail.ru и корпоративных адресов может не дойти),https://static8.tgstat.ru/channels/_100/0b/0b7b7da349ae8bafa8c6c7b4e14304df.jpg,373569
50,economics,RU,https://t.me/economica,@economica,The Экономист,Еженедельный журнал экономической направленности.,https://static7.tgstat.ru/channels/_100/58/589c3e0e513255d812ce4ecbf13f99c3.jpg,356579
51,economics,RU,https://t.me/Coin_Post,@Coin_Post,"Coin Post – Деньги, инвестиции, биткоин",На рынке с 2017г. Только выжимка в понятном формате.,https://static10.tgstat.ru/channels/_100/1d/1df2333b5ec1df51b51b0621cb1b886d.jpg,356037
55,economics,RU,https://t.me/bankrollo,@bankrollo,"Банки, деньги, два офшора","Крупнейший канал об экономике, финансах и банках.",https://static4.tgstat.ru/channels/_100/0e/0e3a637f23aa564804bfc1bef12472da.jpg,338457
56,economics,RU,https://t.me/social_urist,@social_urist,Социальный юрист | Льготы • Пособия • Выплаты,"Консультируем по всем видам господдержки. Рассказываем, что и в каком количестве вам положено от государства:",https://static1.tgstat.ru/channels/_100/b4/b4bb7f84eaddaba222ba82985d0f0154.jpg,336019
58,economics,RU,https://t.me/pomozhemonlayn,@pomozhemonlayn,Поможем онлайн | пособия и льготы,"Канал о выплатах, льготах и других мерах государственной поддержки.",https://static8.tgstat.ru/channels/_100/48/483647b3ca4db5636346cfa4cd475864.jpg,328626
64,economics,RU,https://t.me/tbank,@tbank,Т-Банк,Официальный телеграм-канал Т-Банка,https://static6.tgstat.ru/channels/_100/90/9063abbb1fdf601ab7084411d7698053.jpg,307151
67,economics,RU,https://t.me/bitkogan,@bitkogan,bitkogan,"Инвестбанкир Евгений Коган и его команда — о мире инвестиций, экономике и будущем.",https://static5.tgstat.ru/channels/_100/c7/c7f8808da827eec4a0c03bb2402b8b57.jpg,294210
69,economics,RU,https://t.me/cb_economics,@cb_economics,КБ. экономика,Предложка: @negativegrowth_bot,https://static1.tgstat.ru/channels/_100/e7/e720080059a7870a644183f6660aabb7.jpg,289101
77,economics,RU,https://t.me/bankvtb,@bankvtb,ВТБ,Новости банка и не только.,https://static9.tgstat.ru/channels/_100/63/63891601e49cd29002abad75255825d2.jpg,271245
80,economics,RU,https://t.me/posobia_tg,@posobia_tg,Выплаты и Пособия 👨‍👩‍👧‍👦,Все что вам положено от государства!,https://static4.tgstat.ru/channels/_100/6b/6b85cf6dbfab165b6aa229aaa16e1051.jpg,264050
81,economics,RU,https://t.me/markettwits,@markettwits,MarketTwits,Вся информация на канале не является рекомендацией,https://static1.tgstat.ru/channels/_100/54/54277e6516599c16e877b23423cbd688.jpg,259281
85,economics,RU,https://t.me/omyinvestments,@omyinvestments,Мои Инвестиции,"Инвестидеи, обзоры рынка и многое другое от лучших аналитиков рынка",https://static9.tgstat.ru/channels/_100/ea/eae027fba7615dbbc81f2b1b840c4554.jpg,253817
92,economics,RU,https://t.me/SberInvestments,@SberInvestments,СберИнвестиции,"Канал СберИнвестиции, в котором мы рассказываем о новостях на рынках, инвестиционных прогнозах, инструментах и лайфхаках для начинающих и опытных инвесторов.",https://static10.tgstat.ru/channels/_100/b7/b7b9c236fc4301cd7319e7e603121784.jpg,245942
94,economics,RU,https://t.me/EcoConditions,@EcoConditions,В условиях экономики,"Делимся инсайтами о том, как адаптироваться к нынешним реалиям экономики",https://static5.tgstat.ru/channels/_100/16/16d77787a1c771630c5e349e9838ebe5.jpg,243227
100,economics,RU,https://t.me/forbesrussia,@forbesrussia,Forbes Russia,"Forbes — о бизнесе, экономике, финансах, карьере и стиле жизни.",https://static8.tgstat.ru/channels/_100/73/73983c01982794632e0270cd0006d407.jpg,237600
102,economics,RU,https://t.me/lemonfortea,@lemonfortea,Лимон на чай,"Реальный опыт инвестора, со всеми граблями и успехами. С понятными стратегиями и подробными инструкциями, как надо и как не надо.",https://static3.tgstat.ru/channels/_100/68/68c81a145181a6b3092221895a3fd1a9.jpg,235303
106,economics,RU,https://t.me/auantonov,@auantonov,Антонов такой Антонов,"Я Алексей, мне 36 лет. Это мой канал про экономику, политику и коммуникации.",https://static8.tgstat.ru/channels/_100/41/41f86142965c8d6d8a9b390971580b68.jpg,225564
