id,category,country,channel,handle,name,description,image,subscribers
1,esoterics,RU,https://t.me/astrogks,@astrogks,astro geeks | гороскоп,реклама: @astromanage,https://static2.tgstat.ru/channels/_100/a7/a79e19c8da6b855c51c76d8b2ee59c78.jpg,382419
6,esoterics,RU,https://t.me/nudaznaki,@nudaznaki,"Ну да, знаки","Знаки зодиака, как всё на свете.",https://static1.tgstat.ru/channels/_100/39/39c9ebff2c7e416385e5544b764cecb5.jpg,246202
9,esoterics,RU,https://t.me/goro_kirill,@goro_kirill,гороскоп и кирилл,реклама/сотрудничество: @jacburns,https://static3.tgstat.ru/channels/_100/22/22d16d29ac58c21b78eaab4496947ab5.jpg,190433
10,esoterics,RU,https://t.me/daragan_konstantin,@daragan_konstantin,Константин Дараган 🔶️ Комментарий астролога️,Анонсы публикаций и личных мероприятий. Комментарий астролога к резонансным событиям. Канал БЕЗ популярных «гороскопов» и БЕЗ учебных текстов.,https://static5.tgstat.ru/channels/_100/26/26c56468529ad7e472f459deb89fe241.jpg,172256
12,esoterics,RU,https://t.me/ForMagicLife_RU,@ForMagicLife_RU,ForMagicLife✨ Анастасия А,"Инструктор Нейрографики, Человек года в Нейрографике 🪄 учу исполнять мечты, с помощью маркера",https://static1.tgstat.ru/channels/_100/e6/e6ecb0d5156958412b492d7df7a195c9.jpg,162659
19,esoterics,RU,https://t.me/amelisoul_master,@amelisoul_master,Юлия Широких (Ивлиева),Ответы на все вопросы FAQ: https://teletype.in/@amelisoul_master/faq,https://static2.tgstat.ru/channels/_100/77/77bbe04b24db305c82afc03a1f5a4b91.jpg,151230
20,esoterics,RU,https://t.me/tg_horoscope,@tg_horoscope,Любовный Гороскоп💕,"Мы здесь, чтобы поднять вам настроение",https://static10.tgstat.ru/channels/_100/b2/b26f13afae403e6157fdfc741e49b4ac.jpg,150479
23,esoterics,RU,https://t.me/astrologyhoro,@astrologyhoro,АСТРО БЛОГ🔮 ГОРОСКОП | ТАРО | АСТРОЛОГИЯ | ЭЗОТЕРИКА | НУМЕРОЛОГИЯ,Лучший канал в данной тематике в Телеграм,https://static3.tgstat.ru/channels/_100/d4/d402b1d25f24fdca351f7af49f64ae03.jpg,137073
25,esoterics,RU,https://t.me/chudinov,@chudinov,Павел Чудинов - прогулки под звездами,Держите руку на пульсе,https://static9.tgstat.ru/channels/_100/49/49b3cddce2f9ef479ae7bf6036598c89.jpg,129439
26,esoterics,RU,https://t.me/tvoigor,@tvoigor,Твой гороскоп,Откровенный гороскоп,https://static5.tgstat.ru/channels/_100/85/854724d031aa9ab53396f9a671fae62e.jpg,127693
27,esoterics,RU,https://t.me/neo_goroskop,@neo_goroskop,Необычный Гороскоп,"Узнай, что подготовили для тебя звёзды!",https://static8.tgstat.ru/channels/_100/77/7782a14b3ab60965d037cef3fa4099c3.jpg,127426
28,esoterics,RU,https://t.me/taroiren,@taroiren,Таролог Taro.irena | Расклады | Именология | Гороскопы,Ежедневные лунные прогнозы на день,https://static10.tgstat.ru/channels/_100/3d/3d16d496a452cd2dfcf628d423597c8a.jpg,126745
29,esoterics,RU,https://t.me/nehgoro,@nehgoro,нехилый гороскоп,Ежедневный гороскоп для всех знаков зодиака ️️️,https://static4.tgstat.ru/channels/_100/fc/fc2782dcd250f53e244f326e9d2ab9e4.jpg,120456
30,esoterics,RU,https://t.me/goroskop4uuu,@goroskop4uuu,удачный гороскопчик,Удачный Гороскоп,https://static8.tgstat.ru/channels/_100/37/376d891828f945a66ac5775c7e68bcf9.jpg,119856
32,esoterics,RU,https://t.me/tarogks,@tarogks,tarot geeks | таро на день,Сотрудничество: @astromanage,https://static8.tgstat.ru/channels/_100/15/153ff4e933dccacdda8240894dae5cd5.jpg,110869
35,esoterics,RU,https://t.me/myastrologer,@myastrologer,МОЙ ЛЮБИМЫЙ АСТРОЛОГ✨,Самый известный астролог инстаграма,https://static1.tgstat.ru/channels/_100/02/023fa3c2d4d1a04dc546cc1be03e0203.jpg,104434
36,esoterics,RU,https://t.me/zvezdanutyygoro,@zvezdanutyygoro,звезданутый гороскоп,самый точный,https://static5.tgstat.ru/channels/_100/7e/7ef69b7aae9535c1ba82a4452e9b4b1d.jpg,102841
39,esoterics,RU,https://t.me/magiaezoterica,@magiaezoterica,Гороскопы и астрология | Прогнозы и расклады Таро | Эзотерика | Психология,"Для Вас - гороскопы, прогнозы, факты о знаках зодиака, таро и многое другое!",https://static7.tgstat.ru/channels/_100/65/653aafe4438fa3316ea4a41ce8a2d7ea.jpg,101862
41,esoterics,RU,https://t.me/goroskop_astrologii,@goroskop_astrologii,Астро движ,Админ: @feeeelsleepy по рекламе сюда,https://static5.tgstat.ru/channels/_100/32/3218ff162b9480edfb2e913d20585886.jpg,99961
43,esoterics,RU,https://t.me/mastervselenaa,@mastervselenaa,ПОРА ПРОСНУТЬСЯ,Заявление о регистрация канала,https://static8.tgstat.ru/channels/_100/eb/eb54a42a6ac7c43ee6f7119f344c6bf1.jpg,95752
46,esoterics,RU,https://t.me/mylablife,@mylablife,Астрология Павла Андреева,⭐️ Высшая школа астрологии Павла Андреева (Лаборатория Жизни),https://static9.tgstat.ru/channels/_100/f1/f198ffcff24c7f67daa26cfef41f1899.jpg,90896
47,esoterics,RU,https://t.me/horoscopeiin,@horoscopeiin,интересный гороскоп,гороскоп на каждый день,https://static8.tgstat.ru/channels/_100/12/121be4bb322273b382f4968afc0ededd.jpg,89536
49,esoterics,RU,https://t.me/lykova_taro,@lykova_taro,Карты таро 🔮 с Анастасией Лыковой,Премия «Лучшая онлайн-школа в эзотерике 2023»,https://static4.tgstat.ru/channels/_100/5f/5f499f7129d3256c120f7215f290dbbe.jpg,86548
51,esoterics,RU,https://t.me/gadaju,@gadaju,Гадания Астрология Эзотерика,Гадание|Обряды|Ритуалы|Любовная магия|Все виды магических услуг  @Valeriy_Snegov,https://static2.tgstat.ru/channels/_100/16/165cbfcb6b1b8335d0ba09fd535ee9b3.jpg,85877
