id,category,country,channel,handle,name,description,image,subscribers
8,language,RU,https://t.me/fuckingenglish,@fuckingenglish,Fucking English | Английский 18+,Авторский блог о нецензурном английском.,https://static7.tgstat.ru/channels/_100/bf/bf915dbefad769c34545cf288237bbb3.jpg,359718
13,language,RU,https://t.me/korzhevskayav,@korzhevskayav,Виктория Коржевская,Молодой лингвист,https://static4.tgstat.ru/channels/_100/86/8618bb7dc04bf7700003aed1850b6852.jpg,266536
19,language,RU,https://t.me/english2020easy,@english2020easy,Английский с нуля,Учите английский язык,https://static8.tgstat.ru/channels/_100/ee/eeb611aac34bfaabdd9249d0f02cd5ca.jpg,218710
23,language,RU,https://t.me/state_english,@state_english,State English,Менеджер по рекламе - @Lera_d23,https://static7.tgstat.ru/channels/_100/aa/aa090d668fd8bb9def6b2ba4a01519db.jpg,190240
24,language,RU,https://t.me/EnglishBestChannel,@EnglishBestChannel,Английский с нуля | Английский язык,"Учите английский язык самостоятельно и бесплатно. Канал №2 в Телеграме в категории ""Английский язык""",https://static4.tgstat.ru/channels/_100/69/69f4e95da80b9b8faaf882e34e73a97a.jpg,183332
25,language,RU,https://t.me/gramotnaya_rech,@gramotnaya_rech,Грамотная речь | Лингвистика,"Развиваем грамматику, чтобы чувствовать себя уверенно в письме и разговоре с любым человеком.",https://static10.tgstat.ru/channels/_100/b6/b60bd239ec032a24e6a44d03ba094c95.jpg,176882
36,language,RU,https://t.me/Lingvaa,@Lingvaa,Лингвист,"Канал №1 для тех, кто звонИт, а не звОнит!",https://static6.tgstat.ru/channels/_100/69/69108db0f249c6a2f681dcc19ff5d240.jpg,157087
42,language,RU,https://t.me/ruGrammar,@ruGrammar,Русский язык | Грамотность,"Проверим и прокачаем вашу грамотность. Автор: Салов Михаил, кандидат филологических наук, лексикограф.",https://static7.tgstat.ru/channels/_100/34/34787016eb2cf862ed23ae582efcb735.jpg,137817
43,language,RU,https://t.me/englishmaria,@englishmaria,УЧИЛКА АНГЛИЙСКОГО,Мария Батхан,https://static7.tgstat.ru/channels/_100/1f/1f44d7afedfbc3989273cedee1c05f08.jpg,134907
47,language,RU,https://t.me/deutschonline,@deutschonline,Немецкий язык,️ Это канал школы Deutsch Online: нескучно учим живому немецкому,https://static2.tgstat.ru/channels/_100/8c/8ca2215fd872296dfd2143613a461599.jpg,130480
53,language,RU,https://t.me/russiansculture,@russiansculture,Русская культура,"Всё, что мы не знаем о русской культуре или утратили и давно забыли.",https://static1.tgstat.ru/channels/_100/7c/7c7619f282b60be338c929d01352f14d.jpg,127220
55,language,RU,https://t.me/ruProsto,@ruProsto,Русский язык просто,"Канал, где простым языком разбираю исключения и нелогичности русского языка.",https://static4.tgstat.ru/channels/_100/df/dfa76ba05f3bc9a1e3f357367833febf.jpg,122669
61,language,RU,https://t.me/GoEnglishRus,@GoEnglishRus,🇬🇧Go English🇬🇧,"If you don’t walk today, you’ll have to run tomorrow",https://static8.tgstat.ru/channels/_100/93/93b8ee1932dbe3d8fa42b9e698a84ff2.jpg,112275
65,language,RU,https://t.me/skyengweekly,@skyengweekly,Skyeng: Английский для жизни,Пакет из 32 уроков Левел Ап: https://go.skyeng.ru/skuengplus32,https://static3.tgstat.ru/channels/_100/86/86023b808fc6518699242fcb682bd034.jpg,109024
68,language,RU,https://t.me/engslov,@engslov,Английские слова для взрослых,Учи английский вместе с нами. Легко и увлекательно.,https://static2.tgstat.ru/channels/_100/36/361a266d42f152b979bf7f8df080a884.jpg,108257
71,language,RU,https://t.me/anglyskyi_yazyk,@anglyskyi_yazyk,5 слов на английском,"Каждый день выходит подборка из 5 английских слов и тесты для самопроверки, а также научно развлекательный контент.",https://static3.tgstat.ru/channels/_100/79/795aae8c21d2756bb3df07ee906f401a.jpg,103365
73,language,RU,https://t.me/zapiski_redaktorki,@zapiski_redaktorki,Записки редакторки,"Правила русского языка, любопытная этимология, писательские лайфхаки и нелепые заголовки",https://static9.tgstat.ru/channels/_100/b9/b921ba23141817ef4eae8d33ff7c1cce.jpg,100075
80,language,RU,https://t.me/slovar_psikhologia,@slovar_psikhologia,Словарный запас | Саморазвитие,"Канал для тех, кто хочет удивлять друзей своей эрудированностью.",https://static3.tgstat.ru/channels/_100/4d/4d0e7ee07bf3684a9fcf2e6fc542784c.jpg,93910
83,language,RU,https://t.me/seriesenglishhh,@seriesenglishhh,АНГЛИЙСКИЙ ПО СЕРИАЛАМ,Учи английский по сериалам с любимыми персонажами,https://static9.tgstat.ru/channels/_100/ea/ea6c378b1c87fa40580076dc821f965c.jpg,92297
90,language,RU,https://t.me/slovodna,@slovodna,SlovoDna® Словарь,Официальный аккаунт СловоДня в Telegram,https://static5.tgstat.ru/channels/_100/6c/6c749bca03c46a303b14e8a9811ac7af.jpg,87810
