id,category,country,channel,handle,name,description,image,subscribers
9,music,RU,https://t.me/boscoomuzz,@boscoomuzz,Музыка | Bosco,любите и будьте любимыми.,https://static9.tgstat.ru/channels/_100/50/501edf81fe888c1270417320b10a0221.jpg,903993
10,music,RU,https://t.me/zeykanm_muzyka,@zeykanm_muzyka,Музыка из TikTok,Хочешь быть в тренде и слушать самые популярные песни из TikTok?,https://static1.tgstat.ru/channels/_100/d6/d6b222d382e0cc0e563c7628dd7c30ec.jpg,842190
12,music,RU,https://t.me/egorkreed,@egorkreed,ЕГОР КРИД,Официальный канал Егора Крида. Подписывайтесь,https://static3.tgstat.ru/channels/_100/fe/fe5bed1df3252c2ba4b615f0385f9031.jpg,783899
13,music,RU,https://t.me/muzyka_xmusix,@muzyka_xmusix,Музика | Ремиксы | Треки,"Я создам тебе стиль, а ты копируй",https://static9.tgstat.ru/channels/_100/ff/ffec1a697f1b3c6c313fadca599da524.jpg,761797
14,music,RU,https://t.me/trek_remix,@trek_remix,Музыка | Песни | Треки,По рекламе : @SAnameste ( временно пишем сюда),https://static6.tgstat.ru/channels/_100/16/16cd92d9a1f78a9df95d9fa0744cfa17.jpg,720278
16,music,RU,https://t.me/sad_tracky,@sad_tracky,Музыка 2024 | Песни,Спонсор твоего плэйлиста — 3.0,https://static7.tgstat.ru/channels/_100/87/87aeed43c4d97e243b4cd48e5a9ec912.jpg,682479
17,music,RU,https://t.me/Buddy_music,@Buddy_music,Buddy Музыка,Создайте своего музыкального бота @Music_Creator_bot за 30 секунд.,https://static3.tgstat.ru/channels/_100/41/41a5ea0a11f57b2995ffb7d7d0e24bc8.jpg,638768
20,music,RU,https://t.me/ya_jordan,@ya_jordan,Jordan,так охота любить и быть любимым.,https://static10.tgstat.ru/channels/_100/a5/a55afc912eb58eb5018824ae16ac8491.jpg,542524
22,music,RU,https://t.me/animewwu,@animewwu,sped треки | Парные авы,По поводу рекламы писать  @Pai_nn (Реклама ПЛАТНО ),https://static8.tgstat.ru/channels/_100/5c/5caef2bb0c52cfde3fa5d8eeb4326a2f.jpg,449220
23,music,RU,https://t.me/toxisslime4,@toxisslime4,Toxi$,Менеджмент / Букинг - toxis@rndmcrew.com / @maximchili,https://static4.tgstat.ru/channels/_100/ab/ab303065c0cf2e228846e4c39eb07e6d.jpg,442762
25,music,RU,https://t.me/plohoypacan,@plohoypacan,PLOHOY PAREN,,https://static4.tgstat.ru/channels/_100/b9/b94d3507d73a6352eff991ef414864ca.jpg,420724
26,music,RU,https://t.me/newschool_musicx,@newschool_musicx,NS Ремиксы | Песни | Музыка,"Музыка, которую ты ещё не выкупил. Ньюскул в крови",https://static3.tgstat.ru/channels/_100/ad/ad78d2dfcee6730c292bd20b87fff8ed.jpg,420440
30,music,RU,https://t.me/vibemusicX1,@vibemusicX1,Музыка | Треки | Песни VK,Спонсор твоего плейлиста 🫡,https://static8.tgstat.ru/channels/_100/01/01d635738eccfec738c4bb10f53aeb47.jpg,341640
31,music,RU,https://t.me/budaog,@budaog,BUDA +,SZN,https://static2.tgstat.ru/channels/_100/1c/1c33bd9e40d37c1b7d42e01fe18db0a9.jpg,335961
38,music,RU,https://t.me/vkmusicbot1,@vkmusicbot1,VK Music Bot,Бот для поиска музыки: @mixvk_bot,https://static8.tgstat.ru/channels/_100/76/766380063abc7b3c8152af9e492ae3ca.jpg,291018
40,music,RU,https://t.me/yandexmusic_live,@yandexmusic_live,Яндекс Музыка,"На одной волне с любимым и новым. Советуем ту самую музыку, знакомим с возможностями сервиса, помогаем стать ближе к артистам и быть в курсе новостей.",https://static9.tgstat.ru/channels/_100/00/00a7f7606320e1573b798a33b9ae8d66.jpg,279699
41,music,RU,https://t.me/sosamuzik300,@sosamuzik300,Платина,https://t.me/boost/sosamuzik300,https://static6.tgstat.ru/channels/_100/c3/c3035dc220b72750756e40418202ba89.jpg,275928
44,music,RU,https://t.me/music_muzyka_2024,@music_muzyka_2024,Музыка 2024 | Хиты | Популярная музыка,Музыкальные хиты  каждый день!,https://static5.tgstat.ru/channels/_100/ef/efc54fa75952c88ee6b0d041d90da332.jpg,271103
48,music,RU,https://t.me/remix_pesny,@remix_pesny,Треки | Ремиксы | Музыка в машину,Специально для тебя,https://static3.tgstat.ru/channels/_100/f4/f416613112effb88df64d357d7f37ed2.jpg,255155
51,music,RU,https://t.me/anitatsoy,@anitatsoy,Анита Цой / Anita Tsoy,"Народный артист РФ, певица, автор песен, режиссер шоу, руководитель кафедры ""Креативных индустрии"" (ДГТУ), учредитель Театра-студии ""БРАВО"",  ""Открытый мир искусства"", ООО Студия искусств ""Имена"".",https://static7.tgstat.ru/channels/_100/46/4606e34cd10fd2365a48bdff00487a7f.jpg,240729
52,music,RU,https://t.me/mudotalida,@mudotalida,Lida,‍️,https://static5.tgstat.ru/channels/_100/72/72e0ca0a1b4bb9492acebd18e655db46.jpg,240296
54,music,RU,https://t.me/muzikavushi4,@muzikavushi4,МУЗЫКА 2024|ЛУЧШИЕ ТРЕКИ,World Music️,https://static4.tgstat.ru/channels/_100/05/05a08f73c5ab3ef31e110d61f2190c8a.jpg,236821
59,music,RU,https://t.me/muzikavushi1,@muzikavushi1,Music 2024|Музыка|Лучшие треки,Привет,https://static5.tgstat.ru/channels/_100/7d/7d9998cc03a50282a75de71e0f729ed8.jpg,225538
62,music,RU,https://t.me/playlist_muzykaa,@playlist_muzykaa,Плейлист 🎧 | Новинки | Музыка 2024,Спонсор твоᴇго плᴇйлистᴀ,https://static6.tgstat.ru/channels/_100/67/67e08b0eed07b628173e5806b8c2582e.jpg,218730
68,music,RU,https://t.me/lovvdoublesix,@lovvdoublesix,Lovv66,MNGMT : @turashk,https://static2.tgstat.ru/channels/_100/61/6153a4349ec2e9fde85c299a79c78159.jpg,211924
70,music,RU,https://t.me/Xit_Trend_Muzikalar,@Xit_Trend_Muzikalar,— UsPa Polo 🇺🇸,Музыка для души,https://static8.tgstat.ru/channels/_100/ce/cee436f94abc8a00300031233f9e655e.jpg,210363
73,music,RU,https://t.me/muscarx,@muscarx,Музыка в машину,По всем вопросам: @revelinn,https://static5.tgstat.ru/channels/_100/bd/bdcc7901cb773ea29c817e341c36c6b8.jpg,205539
75,music,RU,https://t.me/poshlayamollyofficial,@poshlayamollyofficial,ПОШЛАЯ МОЛЛИ,"Музыка для тех, кто хочет казаться хорошим человеком.",https://static8.tgstat.ru/channels/_100/4b/4b45897becd35a428dbbeb2e88f2b032.jpg,203005
76,music,RU,https://t.me/rhymesmuz,@rhymesmuz,Рифмы и Музыка🥤,"Крупнейший паблик про музыкальную индустрию, западную культуру и русский рэп! От создателей @rhymestg",https://static8.tgstat.ru/channels/_100/91/91e8c2dbb7b4661185dd7988105ef501.jpg,202687
78,music,RU,https://t.me/mayotofficialchannel,@mayotofficialchannel,MAYOT,Менеджмент / Букинг - mayot@rndmcrew.com,https://static5.tgstat.ru/channels/_100/14/14de9b8b2402b5fd63fdcd89d8929c96.jpg,200975
79,music,RU,https://t.me/musplatinum,@musplatinum,MUSPLATINUM | Музыка | Ремиксы,Для друзей: https://t.me/+qcOj8d9UaP1mMTJi,https://static8.tgstat.ru/channels/_100/b6/b631331ceec2c192f3c470f6dab5b348.jpg,200771
83,music,RU,https://t.me/newradioru,@newradioru,Новое Радио,"Суперхиты, суперновинки ️",https://static8.tgstat.ru/channels/_100/3d/3dc46d0eb4b678d78d9432fda037b25e.jpg,192242
84,music,RU,https://t.me/StrayKids_JYP,@StrayKids_JYP,Stray Kids | JYP ️️,･:*:･ ｡ ｡･:*:･ ｡｡ ･:*:･ ｡ ｡･:*:,https://static7.tgstat.ru/channels/_100/3a/3aa43b8a4f0bcb91d4aa1be13eb15eb0.jpg,192104
86,music,RU,https://t.me/real_trankwill,@real_trankwill,👀,,"https:data:image/svg+xml;charset=utf-8,<svg width=""640"" height=""640"" style=""background-color:%2344badc;font-family:Nunito,sans-serif"" viewBox=""0 0 100 100"" preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"">
                <text font-size=""30"" x=""50%"" y=""50%"" dy=""5"" fill=""white"" dominant-baseline=""middle"" text-anchor=""middle""></text>
                </svg>",187930
93,music,RU,https://t.me/samchuklena,@samchuklena,Samchuk Lena,Музыка нас связала,https://static3.tgstat.ru/channels/_100/6e/6eb2fbffd8e7701693a206d68ed59e44.jpg,179775
94,music,RU,https://t.me/norimyxxxo,@norimyxxxo,Oxxxymiron,билеты на DOLCE VITA TOUR 2025: dolcevitatour.com,https://static9.tgstat.ru/channels/_100/7a/7a94b895ffc4780135d86d3ddef3dad8.jpg,175782
96,music,RU,https://t.me/best_deeep,@best_deeep,DEEP HOUSE МУЗЫКА,Канал радиостанции BEST DEEP FM,https://static2.tgstat.ru/channels/_100/58/58259992fa9ce4e6acdbc42cb95d5642.jpg,174991
97,music,RU,https://t.me/openstudiotg,@openstudiotg,OPEN STUDIO,Новостной блог о музыкальной индустрии в России и на Западе ️,https://static5.tgstat.ru/channels/_100/67/6778d3c3c2f2fa45065a4d91df06aca2.jpg,174822
98,music,RU,https://t.me/shaman_channel,@shaman_channel,SHAMAN,▪️Концерты: +79857860992 (Александр),https://static6.tgstat.ru/channels/_100/17/17f3b6d5fb1c455a88bb8a8e66e66eec.jpg,174171
99,music,RU,https://t.me/juliagodunova,@juliagodunova,Юля Годунова,https://youtube.com/c/JuliaGodunovaofficial,https://static7.tgstat.ru/channels/_100/01/0122b295028b7fa6a117a717b2fcb076.jpg,173535
101,music,RU,https://t.me/kosmo_musick,@kosmo_musick,KOSMOMUS | Музыка из ТикТок,Спонсор твоᴇго плᴇйлистᴀ,https://static6.tgstat.ru/channels/_100/ca/caf7780e11212c6e47cbcd5483e35cdc.jpg,173170
102,music,RU,https://t.me/macan_official1,@macan_official1,MACAN,Официальный канал,https://static1.tgstat.ru/channels/_100/3d/3df03dd3744de802c106abe7591176c6.jpg,171962
105,music,RU,https://t.me/phonk_xmusic,@phonk_xmusic,Фонк Музыка | Phonk,- Для любителей фонк музыки.,https://static6.tgstat.ru/channels/_100/5c/5c5abcc42837ede9c5894065012bed2c.jpg,166429
107,music,RU,https://t.me/the9mice,@the9mice,9mice,,https://static7.tgstat.ru/channels/_100/86/86e02776492ecbe6d8013c6a02dfe380.jpg,163760
110,music,RU,https://t.me/music_trekis,@music_trekis,ʟᴏᴠᴇ ᴛʀᴀᴄᴋ🖤 | песни | эстетика,Для друзей,https://static4.tgstat.ru/channels/_100/97/974c14792937b638dd6f552e7ab67f33.jpg,160093
118,music,RU,https://t.me/speedsong,@speedsong,speed song,｡  ˚!! ｡,https://static5.tgstat.ru/channels/_100/92/92f1af1025f3f5a75a2cbe9eb4137f47.jpg,152564
126,music,RU,https://t.me/klel2935,@klel2935,Katya Lel 🦋,Добро пожаловать на официальный телеграм-канал певицы Кати Лель!,https://static3.tgstat.ru/channels/_100/d5/d5d70ddc23b09afd24751f7fd8499c44.jpg,146536
130,music,RU,https://t.me/myzika_music05,@myzika_music05,ᴍᴀʟᴇᴠɪᴄʜᴋᴀ,Владелец – @gxposs05,https://static9.tgstat.ru/channels/_100/af/afc714499b8a45f07deccc9ec95b5963.jpg,142210
136,music,RU,https://t.me/pepelnahoodie,@pepelnahoodie,худан,по всем вопросам обращаться к менеджеру: @frudko,https://static10.tgstat.ru/channels/_100/89/89af5401326e4486044d70db50f73cc1.jpg,140462
137,music,RU,https://t.me/sovkusomml,@sovkusomml,𝐬𝐨𝐯𝐤𝐮𝐬𝐨𝐦🎧 | Музыка | Новинки,| ᴡᴇʟᴄᴏᴍᴇ ᴛᴏ ᴏᴜʀ ᴍᴜsɪᴄ ᴡᴏʀʟᴅ |,https://static1.tgstat.ru/channels/_100/d4/d48d38e7b15602d19e7165a82ed41abe.jpg,140436
142,music,RU,https://t.me/miyagi_black,@miyagi_black,Мияги & Эндшпиль,Фан сообщество MiyaGi & Эндшпиля,https://static3.tgstat.ru/channels/_100/e6/e615c82aba461681ade82da2da38004a.jpg,136743
144,music,RU,https://t.me/antihype_kpss,@antihype_kpss,СЛАВА КПСС \ АНТИХАЙП,Реклама: kpss@alivestud.io,https://static8.tgstat.ru/channels/_100/aa/aac4b5c8356ea07de6c13ca9a1d71ea6.jpg,135962
145,music,RU,https://t.me/saynaraboy,@saynaraboy,Sayonara Boy,,https://static10.tgstat.ru/channels/_100/b8/b89699bde38b96d632b11ed5abcfaa56.jpg,135206
150,music,RU,https://t.me/k376kk,@k376kk,k376kk,Реклама - @rekk376kk,https://static10.tgstat.ru/channels/_100/08/0858dde4e6c1588fa434681d193908d9.jpg,130583
152,music,RU,https://t.me/music_treky_2024,@music_treky_2024,𝑮𝑳𝑶𝑩𝑨𝑳 🌍 | Музыка | Обои,Лучшая музыка и обои у нас,https://static1.tgstat.ru/channels/_100/9a/9a8e28d62690c053b5f834d1cbbde081.jpg,130048
155,music,RU,https://t.me/muztv,@muztv,МУЗ-ТВ,Самые свежие и горячие новости из мира шоу-бизнеса,https://static5.tgstat.ru/channels/_100/e6/e6fc695bfc378d4011d81d0fe60d5c56.jpg,127823
158,music,RU,https://t.me/oblagram,@oblagram,OBLADAET PLAYERS,PLAYERS CLUB 2,https://static10.tgstat.ru/channels/_100/3a/3a43967edc4a3d12c0a4314e714d9c35.jpg,127028
160,music,RU,https://t.me/muzika_fonkx,@muzika_fonkx,Музыка Ремиксы 2024 | Phonk,любишь фонк музыку?,https://static4.tgstat.ru/channels/_100/1a/1aa689ed3ae791d7a8110ed8114d073e.jpg,126640
164,music,RU,https://t.me/carsmuzic_carmusic_bassmusic,@carsmuzic_carmusic_bassmusic,Cars Music 🔥,Мы оригиналы,https://static6.tgstat.ru/channels/_100/a8/a885e2694d4d70bb6e531289081bcb7e.jpg,123563
169,music,RU,https://t.me/makaThe,@makaThe,𝑴𝒖𝒔𝒊𝒄 𝒀𝒐𝒖,Приятная музыка,https://static9.tgstat.ru/channels/_100/29/29f3d5eb3d2f634682feaf7295e3fdbc.jpg,121586
172,music,RU,https://t.me/risazatvorchestvo,@risazatvorchestvo,Риса за Творчество / РЗТ,Админ: @DMITRIY_HOLOD,https://static1.tgstat.ru/channels/_100/d4/d4c09298dd698fb15d08ee3a833ecfe3.jpg,121248
177,music,RU,https://t.me/dlyanxss,@dlyanxss,ДЛЯ НАС,"ДЛЯ НАС — Интернет-СМИ о рэп музыке и всё, что её окружает.",https://static5.tgstat.ru/channels/_100/fa/faa4509c06834741aa41436553599fe4.jpg,116967
178,music,RU,https://t.me/maxkorzh,@maxkorzh,Макс Корж,Официальный сайт Макса Коржа - https://maxkorzh.live,https://static10.tgstat.ru/channels/_100/e3/e3b85e0d14655411030c7f85a12e946b.jpg,116921
181,music,RU,https://t.me/gspd2000,@gspd2000,GSPD,Император Рейва,https://static6.tgstat.ru/channels/_100/0d/0d9fe35a7dc7c2fb6917c5374303a94c.jpg,116769
182,music,RU,https://t.me/musicx_myzika,@musicx_myzika,TOP MUSIC 2024 | Музыка | Треки,"Музыка — это инструмент для выражения жизни и всего, что имеет значение.",https://static5.tgstat.ru/channels/_100/2f/2f476d36188c459b3a3bad99778a3c10.jpg,116597
185,music,RU,https://t.me/music_relax247,@music_relax247,ʀᴇʟᴀx ᴍᴜᴢ🥀,️Мгновенно принимаем заявку),https://static5.tgstat.ru/channels/_100/21/2199b91735d50f42535f95948bd51536.jpg,114369
190,music,RU,https://t.me/muzykas,@muzykas,Music | Музыка | Треки VK,Музыкальные новинки каждый день!,https://static3.tgstat.ru/channels/_100/de/de073fe8858ff4a36227608b0fe041e5.jpg,112205
198,music,RU,https://t.me/strochki_tg,@strochki_tg,Строчки из песен,Просто строки из твоих любимых песен и ничего лишнего.,https://static6.tgstat.ru/channels/_100/52/52acbc0a263cfca667c1511db6008b43.jpg,108835
200,music,RU,https://t.me/lilkrystalll,@lilkrystalll,LIL KRYSTALLL,,https://static8.tgstat.ru/channels/_100/5b/5bf48f7a319be8accf38c89fc81390f4.jpg,108360
201,music,RU,https://t.me/H3ronwat3r,@H3ronwat3r,Heronwater,,https://static10.tgstat.ru/channels/_100/56/5605996453957de725fb5b3674a7fcec.jpg,108158
202,music,RU,https://t.me/vkxci,@vkxci,VK X,Музыкальный плеер для VK с уникальным дизайном и огромным функционалом.,https://static4.tgstat.ru/channels/_100/5f/5ff1d1aaa26fac014ab56e056d3cd2ab.jpg,108038
204,music,RU,https://t.me/dream_musicx,@dream_musicx,ᴅʀᴇᴀᴍ ᴍᴜsɪᴄ 🎧,По всем вопросам: @notorious_ro,https://static8.tgstat.ru/channels/_100/be/be1b89730e6da9e29b65224096727f12.jpg,107091
207,music,RU,https://t.me/maakplay,@maakplay,maak® Play ╳ Музыка 🎧,"Музыка, которая играет в твоём сердце ️",https://static2.tgstat.ru/channels/_100/8d/8dde07c54c07921bad503e4e77d3a1c5.jpg,106442
213,music,RU,https://t.me/maxfadeev1,@maxfadeev1,Макс Фадеев,Музыкант. Связь - @MFposlushaet_bot,https://static2.tgstat.ru/channels/_100/37/375c48cf66bf77f2bff50fb59eb9d0fb.jpg,103639
217,music,RU,https://t.me/aarneteam,@aarneteam,AARNE TEAM,AA LANGUAGE 2,https://static9.tgstat.ru/channels/_100/0c/0cc9bdfb8b44ebfd70d654fa101a39f6.jpg,102798
222,music,RU,https://t.me/tuvinskiepesni,@tuvinskiepesni,Тыва ырылар,,https://static1.tgstat.ru/channels/_100/47/4761962058e3b98c259a1e9ec9e241a9.jpg,101255
223,music,RU,https://t.me/lazarev_official,@lazarev_official,Сергей Лазарев,Официальный канал,https://static8.tgstat.ru/channels/_100/75/7558796e4a61a12fe2430e2f51297964.jpg,101161
227,music,RU,https://t.me/k733kk,@k733kk,k733kk,для людей со вкусом),https://static7.tgstat.ru/channels/_100/21/2128f1bd569ef917d1fea032116dedaf.jpg,99992
229,music,RU,https://t.me/gonefludd132,@gonefludd132,💞 ФЛАДДА РЯДОМ 💞,И Лучше Не Будет На Этой Вечеринке,https://static3.tgstat.ru/channels/_100/7c/7c8241dabccd06d01d811b5adb2d4f4f.jpg,99476
234,music,RU,https://t.me/mostvaluableghost,@mostvaluableghost,KIZARU | HAUNTED FAMILY,,https://static6.tgstat.ru/channels/_100/26/26ea4aa47b0cb5e4c2cbbf4014ee8042.jpg,97174
240,music,RU,https://t.me/inarmybtsnews2,@inarmybtsnews2,INARMY | BTSNEWS 🌏 JIN «HAPPY»🎁💙,ЗДЕСЬ ЖИВУТ АРИНДИ КРУЖОЧКИ,https://static2.tgstat.ru/channels/_100/db/db1beda8fc4015b3bd6febbefb9e6f2a.jpg,95567
248,music,RU,https://t.me/ug_404,@ug_404,ЮГ 404,По рекламе в тг канале: @gazvpol,https://static9.tgstat.ru/channels/_100/62/62437d71806f287a04193ec7fd791a11.jpg,92606
249,music,RU,https://t.me/music_vsem,@music_vsem,Музыка 2024 | Лучшие Треки,Спонсор твоᴇго плᴇйлистᴀ,https://static10.tgstat.ru/channels/_100/bf/bf056e85835c5493c6901b3b8f99adb0.jpg,92568
250,music,RU,https://t.me/nogganobasta,@nogganobasta,Баста / Ноггано,VK: https://m.vk.com/basta,https://static9.tgstat.ru/channels/_100/e0/e0561abfff7d80588e6b9b2588bc27e0.jpg,92308
255,music,RU,https://t.me/vk_musikbot,@vk_musikbot,VK Music Bot | Music search,Search Music bot: @Mixvk_bot,https://static3.tgstat.ru/channels/_100/b2/b239b8451b1a40c8a568efdcf69e2642.jpg,90960
257,music,RU,https://t.me/tapokmusic,@tapokmusic,RADIO TAPOK (Официальный канал),Афиша моих концертов и Билеты,https://static7.tgstat.ru/channels/_100/df/dfa073c87349c9288196563f7ad5a352.jpg,90401
258,music,RU,https://t.me/finder_music,@finder_music,Finder Music | Поиск музыки,Бот для поиска музыки: @Mixvk_bot,https://static5.tgstat.ru/channels/_100/a1/a1c9a6bdb4b1378f5b4e769387dd3828.jpg,90346
261,music,RU,https://t.me/Bassmusicc11,@Bassmusicc11,🔹Bass_Car_Music🔹,Музыка со вкусом,https://static3.tgstat.ru/channels/_100/95/95fcf7573ba4b9c954d703a17a06ccf9.jpg,89595
262,music,RU,https://t.me/archer_music_official,@archer_music_official,ARCHER MUSIC NEWS,Музыкально-новостной канал компании ARCHER MUSIC,https://static8.tgstat.ru/channels/_100/0a/0a4fc8e13fe40d3601b9dffd7fbeccfb.jpg,89508
265,music,RU,https://t.me/music_oboi_vibe,@music_oboi_vibe,𝐀 𝐅 𝐑 𝐀 𝐈 𝐃 | МУЗЫКА | ОБОИ | MUSIC 🖤,Любовь и музыка,https://static2.tgstat.ru/channels/_100/c7/c77e1aa922a2534bed4e53c837d21907.jpg,88361
267,music,RU,https://t.me/sap_firt,@sap_firt,𝐒𝐚𝐩𝐟𝐢𝐫𝐭 | Треки | Обои,Цель музыки — трогать сердца,https://static6.tgstat.ru/channels/_100/7c/7c2ca1ec81e0a2a8d89525007306818d.jpg,87761
272,music,RU,https://t.me/radiomonetochka,@radiomonetochka,Радио Монеточка,"Мои песни, стихи и мыслишки",https://static6.tgstat.ru/channels/_100/34/341005e3073705e76b2743f8b424359e.jpg,86729
273,music,RU,https://t.me/anna_asti,@anna_asti,ANNA ASTI,,https://static3.tgstat.ru/channels/_100/19/19abb7db9d49bdedb77bf774309131e4.jpg,86668
285,music,RU,https://t.me/skryp_tg,@skryp_tg,Skryptonite,,https://static4.tgstat.ru/channels/_100/d2/d2574179f6fd6df6df5dd22aa0b7df9c.jpg,84103
