id,category,country,channel,handle,name,description,image,subscribers
1,religion,RU,https://t.me/kvmalofeev,@kvmalofeev,Константин Малофеев,Дзен: https://dzen.ru/kvmalofeev,https://static10.tgstat.ru/channels/_100/33/33fdfe764eb6b6cf39924d911278fee1.jpg,808834
6,religion,RU,https://t.me/nashidy,@nashidy,Нашиды | Ислам | Коран,По поводу рекламы: t.me/NFChannels,https://static9.tgstat.ru/channels/_100/ec/ece934388aee750c6f94b55b0b6495eb.jpg,273975
8,religion,RU,https://t.me/videotca_Andrea,@videotca_Andrea,Протоиерей Андрей Ткачев,№ 4781807410,https://static5.tgstat.ru/channels/_100/30/30160d332a68016e9f82c4acad6aba12.jpg,252333
9,religion,RU,https://t.me/molitvaikona,@molitvaikona,Молитвы на все случаи жизни☦️,Православные молитвы на все случаи жизни.,https://static5.tgstat.ru/channels/_100/63/634404ba1c3a2a15515aa46842f4f5fb.jpg,244517
13,religion,RU,https://t.me/pavelostrovski,@pavelostrovski,Павел Островский,Православный священник,https://static3.tgstat.ru/channels/_100/0d/0de13f6b3e3d00f22683982b3857ad6c.jpg,206496
42,religion,RU,https://t.me/o_andrey_tkachev,@o_andrey_tkachev,АНДРЕЙ ТКАЧЁВ,Проповеди отца Андрея Ткачева.,https://static6.tgstat.ru/channels/_100/8a/8ae610ae465d962959038a0e4c6df0ef.jpg,126922
50,religion,RU,https://t.me/nasheed_mp3,@nasheed_mp3,Нашиды | Исламские | Коран,По поводу рекламы: t.me/NFChannels,https://static2.tgstat.ru/channels/_100/1b/1baf26b618266cb7e96ab9c1443c9aa9.jpg,116557
63,religion,RU,https://t.me/kniga_pdf,@kniga_pdf,Исламские книги PDF,Исламские книги в формате PDF. Выложены с соблюдением авторских прав. #скачай #читай,https://static1.tgstat.ru/channels/_100/07/07407ad33d161151ea497b401387fed0.jpg,100266
69,religion,RU,https://t.me/vremenierr,@vremenierr,𝗡𝗮𝘀𝗵𝗲𝗲𝗱 | 𝗥 ོ,حَسْبِيَ اللَّهُ وَنِعْمَ الْوَكِيلُ,https://static2.tgstat.ru/channels/_100/5a/5a915e8d3b53f95f6699453d49071bb6.jpg,93795
99,religion,RU,https://t.me/spastv,@spastv,Телеканал СПАС,Жизнь Церкви и православный взгляд на жизнь страны и мира.,https://static6.tgstat.ru/channels/_100/5b/5b9065e86bc1ccf87c479a97ba119de0.jpg,74911
102,religion,RU,https://t.me/pravoslavieVtelege,@pravoslavieVtelege,Священник Владислав Береговой,Спикер телеканалов: СПАС; СОЮЗ; РОССИЯ 1; РОССИЯ 24; НИКА ТВ.,https://static5.tgstat.ru/channels/_100/24/24e4811cc2fd03b9185697b9b4e436fb.jpg,72650
106,religion,RU,https://t.me/sila_molitvy,@sila_molitvy,Сила Молитвы,Самый полезный православный канал в телеграм на каждый день.,https://static8.tgstat.ru/channels/_100/59/59b628d61f546b3b42fd87ed928736e0.jpg,71678
107,religion,RU,https://t.me/azbible,@azbible,📜 Цитата из Библии,Библия: https://azbyka.ru/biblia,https://static9.tgstat.ru/channels/_100/cb/cb2559441142ac35449c5b1a8eacf9c9.jpg,71579
111,religion,RU,https://t.me/azprayer,@azprayer,Азбука молитвы,Школа молитвы от портала «Азбука веры»:,https://static5.tgstat.ru/channels/_100/58/5851aadeb40c06298cc8a5d2b7d5be71.jpg,69000
138,religion,RU,https://t.me/protkr,@protkr,Православные ☦️ открытки,С добрым утром!,https://static2.tgstat.ru/channels/_100/ac/ac17c5a7289c103529491e6a6b0fcb66.jpg,58846
144,religion,RU,https://t.me/nickolaybabkin,@nickolaybabkin,Николай Бабкин,"Священник, клинический психолог, автор",https://static5.tgstat.ru/channels/_100/e8/e889a0ec9db349d4e8c4964bacdf3dcc.jpg,55971
152,religion,RU,https://t.me/umma_ru,@umma_ru,Шамиль Аляутдинов |umma.ru,Официальный сайт и страница umma.ru - это сайт Шамиля Аляутдинова. Слушайте и скачивайте аудио.,https://static4.tgstat.ru/channels/_100/f3/f3cd907e2b0d247166847ee1503bb087.jpg,53024
161,religion,RU,https://t.me/pravoslavie_religiya,@pravoslavie_religiya,Спаси и Сохрани | Молитвы,Православные молитвы на каждый день.,https://static9.tgstat.ru/channels/_100/24/24566225591d46de2562770156b5e57b.jpg,52152
165,religion,RU,https://t.me/pravoslavie_i_deti,@pravoslavie_i_deti,Православие и дети,Православный телеграмм канал,https://static6.tgstat.ru/channels/_100/02/02a1efc4a02d21b4782ac02ec30cace8.jpg,51522
167,religion,RU,https://t.me/mutawwa,@mutawwa,mutawwa,..быть греющим лучом в чьей-то памяти.,https://static5.tgstat.ru/channels/_100/1d/1d790f30e0940f00efee1d5c6c5a9f0f.jpg,50289
171,religion,RU,https://t.me/usmankhamys,@usmankhamys,Шейх Усман Аль Хамис,Обратная связь ↙️,https://static8.tgstat.ru/channels/_100/57/5703d0e0398b6aff86ee80fdb031488f.jpg,49366
177,religion,RU,https://t.me/orthodoxpsiholog,@orthodoxpsiholog,Православная психология,Все необходимое для пользы души и развития себя в твоём телефоне.,https://static6.tgstat.ru/channels/_100/cd/cd29c25d3ae66808d00dfb70139f98bc.jpg,48800
204,religion,RU,https://t.me/muslimults,@muslimults,UMMA KIDS,"Центральный ресурс для исламских мультфильмов и образовательного контента для детей на русском языке. Обогащаем умы и сердца маленьких мусульман, помогая им развиваться и учиться с радостью.",https://static4.tgstat.ru/channels/_100/6f/6f3d8d0284a699864ed90ea5047a8e49.jpg,45258
213,religion,RU,https://t.me/foma_ru_glavnoe,@foma_ru_glavnoe,Журнал «Фома»,Журнал «Фома» — о православии и жизни современным языком.,https://static1.tgstat.ru/channels/_100/9b/9ba0866586b14e0bfbb9ae33e8217f8b.jpg,43789
218,religion,RU,https://t.me/islamskiee_ray_musulmanka,@islamskiee_ray_musulmanka,𝙼𝚒𝚛𝚊𝚌𝚕𝚎🌙,"Улыбайся, это Сунна...",https://static7.tgstat.ru/channels/_100/2f/2fbe8738274ffeb0d9b440a69d619e2b.jpg,43061
243,religion,RU,https://t.me/hristianskaya_mudrost,@hristianskaya_mudrost,«Мудрые мысли» Православный журнал,Радость моя! Христос воскресе!,https://static10.tgstat.ru/channels/_100/1c/1cd3228c1c859e254d50f6dcaf4f90f1.jpg,38991
244,religion,RU,https://t.me/BookHadith,@BookHadith,ХАДИСЫ И АЯТЫ,Коран - это речь Всевышнего Аллаха,https://static7.tgstat.ru/channels/_100/8b/8b0f7d92cb09fb88cafe6b4a318f7455.jpg,38724
249,religion,RU,https://t.me/azbyka,@azbyka,Азбука веры,Новости портала «Азбука веры» https://azbyka.ru/,https://static4.tgstat.ru/channels/_100/3f/3f1808ad8c2ce87b6ab95623ede1ce74.jpg,37968
250,religion,RU,https://t.me/otec_nik,@otec_nik,СВЯЩЕННИК НИКОЛАЙ ДУБИНИН. Белгородская Митрополия.,"Настоятель храма Феодора Стратилата г. Старый Оскол, Белгородская область",https://static6.tgstat.ru/channels/_100/a3/a30267beb5ffca2331d350e797b39a59.jpg,37944
257,religion,RU,https://t.me/prosfora_tg,@prosfora_tg,ПРОСФОРА,Просфора - Познавательный канал.,https://static7.tgstat.ru/channels/_100/00/007159391287f49e86a2299e3d137379.jpg,37111
262,religion,RU,https://t.me/pastorvladimirsavchuk,@pastorvladimirsavchuk,Vlad Savchuk,Vladimir Savchuk Ministries Official Telegram Channel,https://static8.tgstat.ru/channels/_100/67/67514e72cbf1b9557f581726d8e3895a.jpg,36712
267,religion,RU,https://t.me/nasheed_55,@nasheed_55,Нашиды,НАШИДЫ БЕЗ МУЗЫКИ,https://static3.tgstat.ru/channels/_100/d2/d2d5acc6421877280b9ec36517e5ef07.jpg,36328
272,religion,RU,https://t.me/ekzeget,@ekzeget,БИБЛИЯ ОТВЕЧАЕТ - Экзегет | Православие / Христианство,ekzeget.ru,https://static2.tgstat.ru/channels/_100/19/194857c8792601afc9132b4e3972057e.jpg,35780
286,religion,RU,https://t.me/slovoakhmada,@slovoakhmada,Слово Ахмада,@FeedbackAMB_bot,https://static1.tgstat.ru/channels/_100/d1/d1dfd2758e85261dbcbb450dbf464e3e.jpg,34337
289,religion,RU,https://t.me/vladimirlegoyda,@vladimirlegoyda,Владимир Легойда,"Официальный канал главы Синодального отдела по взаимоотношениям Церкви с обществом и СМИ; главреда журнала «Фома», профессора МГИМО, члена Общественной палаты",https://static4.tgstat.ru/channels/_100/cd/cd41081605bd076820b3d7e4381a0ca5.jpg,33961
291,religion,RU,https://t.me/shalomfromGod,@shalomfromGod,Мир вам - Последнее время,Информационный канал о последнем времени  и о том что сейчас происходит в мире. Новости со всего мира и пророчества от Бога помогут вам узнать в какое время мы живем и к чему нам готовится. Да поможет нам Бог выстоять в это трудное время!,https://static6.tgstat.ru/channels/_100/38/38a60ef80eef2247403042883e58e834.jpg,33822
295,religion,RU,https://t.me/pravokalendar,@pravokalendar,Православный Календарь,️ Молитвы святым каждый день,https://static9.tgstat.ru/channels/_100/e0/e0196fa668fea302021df94a2331a764.jpg,33337
296,religion,RU,https://t.me/i12hramov,@i12hramov,12 Храмов,Cовpеменный взгляд на Пpавославие,https://static1.tgstat.ru/channels/_100/ec/ec0ed4d3d98819d5832ab3a41cd894c0.jpg,33104
299,religion,RU,https://t.me/KRIPTA_TORGOVLYA3,@KRIPTA_TORGOVLYA3,Связки🔥Арбитраж,Наш основной канал- https://t.me/+1VCafbA5JJNjZTI0,https://static7.tgstat.ru/channels/_100/04/042ca6b8b31d0ca757096d018275ff59.jpg,32941
300,religion,RU,https://t.me/tadjved,@tadjved,ЧИТАЙ КОРАН | ТАДЖВИД,Бесплатные уроки по изучению правил чтения Корана начиная с алфавита,https://static8.tgstat.ru/channels/_100/a3/a3ee47ba1a33b7924215158842be8177.jpg,32849
303,religion,RU,https://t.me/timoyrai,@timoyrai,Муж и жена ❤️,● Семья в Исламе,https://static2.tgstat.ru/channels/_100/20/20da3fe34e8fd5f29a9267bc48ea1eef.jpg,32697
304,religion,RU,https://t.me/professor_osipov,@professor_osipov,Алексей Ильич Осипов,Профессор Московской Православной Духовной Академии,https://static6.tgstat.ru/channels/_100/66/6616185e164e8f38c0df5784dcc858a5.jpg,32687
306,religion,RU,https://t.me/Optina_monastery,@Optina_monastery,Монастырь Оптина пустынь,Официальный канал Введенского ставропигиального мужского монастыря,https://static6.tgstat.ru/channels/_100/fd/fd5e46963e4c229ec33088ebe29b50b8.jpg,32558
307,religion,RU,https://t.me/islamskie8,@islamskie8,Исламские 🌙,"Приноси пользу себе, своей семье, близким, всей Умме на столько, на сколько ты можешь.",https://static5.tgstat.ru/channels/_100/f3/f31f228a27b20f41d3df391bcaa9b0db.jpg,32520
315,religion,RU,https://t.me/akuraev,@akuraev,Кураев,Данное сообщество не является личной страницей (иноагента) Андрея Кураева. Группа посвящена его жизни и деятельности,https://static7.tgstat.ru/channels/_100/74/74ea664eb432310611009de3e32fe9e9.jpg,32012
318,religion,RU,https://t.me/eto_bog,@eto_bog,ЭТО БОГ,Ежедневное ободрение в этом канале творит чудеса в жизнях людей.,https://static10.tgstat.ru/channels/_100/cd/cde85e7aa41360d1fa41aa1d8cfc14d8.jpg,31792
320,religion,RU,https://t.me/prorokmuhammad,@prorokmuhammad,Жизнеописание пророка Мухаммада ﷺ,"Лекции по сире пророка Мухаммада, да благословит его Аллах и приветствует.",https://static8.tgstat.ru/channels/_100/8d/8ddb7237df0199beb4c35fe4dc2c0265.jpg,31524
336,religion,RU,https://t.me/aliflive,@aliflive,AlifLive,,https://static4.tgstat.ru/channels/_100/b8/b80330fed27ce226692b74c86ba845b0.jpg,30511
341,religion,RU,https://t.me/RUKYA0,@RUKYA0,КРАСИВОЕ ЧТЕНИЕ КОРАНА|КУРАН,Сборник лучших чтецов Курана,https://static9.tgstat.ru/channels/_100/6a/6aa230bc2595e72e9feb6d5c5499cf62.jpg,30336
