id,category,country,channel,handle,name,description,image,subscribers
11,sales,RU,https://t.me/poblat,@poblat,По Блату,Служебные купоны тут: @PoblatBot,https://static1.tgstat.ru/channels/_100/8d/8dad79dc8a30024c8bca22396e7ffd67.jpg,1292258
17,sales,RU,https://t.me/megamrkt,@megamrkt,Мегамаркет,"Мегамаркет — маркетплейс с миллионами товаров для вас и ваших близких. Мы делаем покупки выгодными: у нас есть акции с повышенным кешбэком, оплата бонусами Спасибо до 99% от стоимости заказа и доставка по клику от 15 минут в 148 городах.",https://static10.tgstat.ru/channels/_100/4e/4e57c2901f4e7667b73baa03376d0ffb.jpg,1038230
19,sales,RU,https://t.me/ozonru,@ozonru,OZON,Официальный канал маркетплейса Ozon для покупателей.,https://static4.tgstat.ru/channels/_100/e5/e51d167422279495b38001de5c679fff.jpg,1028854
37,sales,RU,https://t.me/skidki,@skidki,ПромоКот — Халява Промокоды Акции,Самый лучший канал с халявой GB,https://static5.tgstat.ru/channels/_100/57/57da87d11f5ce4a2b513d931d4891a3c.jpg,472083
45,sales,RU,https://t.me/sportmasterofficial,@sportmasterofficial,Спортмастер,"Ни дня без спорта! Рассказываем полезное, показываем красивое: https://taplink.cc/sportmaster_official",https://static2.tgstat.ru/channels/_100/76/7698f4f54469d672514a011349dfb9d7.jpg,385793
46,sales,RU,https://t.me/halyavshiki,@halyavshiki,Халявщики,"Присоединяйся к сообществу Халявщики и узнай все секреты экономии на покупках! Мы знаем, как платить гораздо меньше за такси, технику, одежду, еду и многое другое.",https://static6.tgstat.ru/channels/_100/5e/5ee42e6fdeb8d89d162e020818c3fb58.jpg,377782
54,sales,RU,https://t.me/Kulinaria_Receptii,@Kulinaria_Receptii,Кулинария Рецепты,Сотрудничество @Adm_Irina,https://static5.tgstat.ru/channels/_100/08/082307f343bd27810438f48bea075821.jpg,350143
58,sales,RU,https://t.me/alikzbs_aliexpress,@alikzbs_aliexpress,Aliexpress Халява | Скидки | Китай,Самый крупный канал по AliExpress в мире Сливаем всю халяву с AliExpress,https://static7.tgstat.ru/channels/_100/e3/e3ac683cacb4e9f8cc08615d7d21bc66.jpg,337332
59,sales,RU,https://t.me/alfa_vygodno,@alfa_vygodno,Альфа-Выгодно,"Рассказываем, как заработать больше с Альфа-Банком",https://static2.tgstat.ru/channels/_100/ff/ff042b0d965c4a076eeebc4d4bad0b3e.jpg,336694
64,sales,RU,https://t.me/zadarom,@zadarom,Задаром,"Халява, скидки, промокоды, почти все задаром!",https://static10.tgstat.ru/channels/_100/4c/4cfce79c996840b2d34820125fa32522.jpg,327931
