id,category,country,channel,handle,name,description,image,subscribers
11,sport,RU,https://t.me/Match_TV,@Match_TV,Матч ТВ,Третья кнопка твоего телевизора в телеграме,https://static7.tgstat.ru/channels/_100/52/522c50397301997b98d57c34bb6f0358.jpg,635275
17,sport,RU,https://t.me/ftlive,@ftlive,Футбольный транслятор,Самый крупный информационно-развлекательный канал о футболе ️,https://static9.tgstat.ru/channels/_100/38/381f0876171dd61da79b323f3fdbcaa9.jpg,504758
26,sport,RU,https://t.me/GOAL24Main,@GOAL24Main,GOAL24,#Футбол,https://static2.tgstat.ru/channels/_100/3a/3a53efee4953d1818c8f3d1561cd8fd7.jpg,361048
30,sport,RU,https://t.me/ufceurasia,@ufceurasia,UFC Eurasia,,https://static6.tgstat.ru/channels/_100/7b/7b484454423a46dc35c75c00af2299e4.jpg,302396
34,sport,RU,https://t.me/matchpremier,@matchpremier,МАТЧ ПРЕМЬЕР,️ Лучший канал про российский футбол.,https://static9.tgstat.ru/channels/_100/32/32268a5553cf14c82144e7f91d5364cd.jpg,287246
36,sport,RU,https://t.me/sportsru,@sportsru,Спортс“,Лучший спортивный телеграм,https://static9.tgstat.ru/channels/_100/d9/d95ddfe8db8b9c7cc122c4a94e2d69ec.jpg,275296
43,sport,RU,https://t.me/hardcorefighting,@hardcorefighting,Hardcore Fighting,️Первая в России профессиональная лига кулачных боев «Hardcore Fighting»,https://static3.tgstat.ru/channels/_100/17/17a150e47a21bbde540e1ba665bc251e.jpg,258553
46,sport,RU,https://t.me/twodrotsshow,@twodrotsshow,2DROTS,Все предложения присылайте на почту,https://static5.tgstat.ru/channels/_100/12/126cce0730795bf30ad3604f96c88afd.jpg,252307
61,sport,RU,https://t.me/realmadridcdf,@realmadridcdf,Real Madrid CF | Реал Мадрид,Крупнейший русскоязычный канал о «Реал Мадрид».,https://static6.tgstat.ru/channels/_100/93/9378c278c1f989439c2c75b19575566e.jpg,217970
64,sport,RU,https://t.me/zhfootballll,@zhfootballll,ЖИЗНЬ ФУТБОЛ,Только по рекламе: @final4i,https://static10.tgstat.ru/channels/_100/f0/f0df547165c450a193aa38bd93784020.jpg,215770
66,sport,RU,https://t.me/rflive,@rflive,Реальный Футбол LIVE,Лучший информационно-развлекательный канал о футболе ️,https://static1.tgstat.ru/channels/_100/e5/e5281337d8f4af90982832522b4bc6a9.jpg,213089
67,sport,RU,https://t.me/myachPRO,@myachPRO,МЯЧ Production,"Телеграм-канал главного футбольного канала на YouTube «МЯЧ Production». Топ 10, 5 причин, Команда недели, эксклюзивные материалы про футбол.",https://static1.tgstat.ru/channels/_100/d3/d33762c704372434a2d0e61bd8a8e720.jpg,212901
