id,category,country,channel,handle,name,description,image,subscribers
3,transport,RU,https://t.me/fighter_bomber,@fighter_bomber,Fighterbomber,№ 4778707856,https://static10.tgstat.ru/channels/_100/74/7492d6b8c01f8193800df5d01b0a20d0.jpg,529778
4,transport,RU,https://t.me/wengallbi_tm,@wengallbi_tm,WENGALLBI,По рекламе: @pr_wengallbi,https://static10.tgstat.ru/channels/_100/d2/d202d94ae65c6fb49e0d48e2f4e79e4d.jpg,494694
5,transport,RU,https://t.me/Eric_Davidich_D3,@Eric_Davidich_D3,D3 | Davidich Dynamic Drive,"Банда, это снова я - ваш Эрик Давидыч и это мой новый проект D3|Davidich Dynamic Drive!",https://static6.tgstat.ru/channels/_100/8e/8eb69d57b7c1ae9059ba9e0635c4a593.jpg,449839
6,transport,RU,https://t.me/tachki,@tachki,Тачки и Точка,"Пожалуй, лучший канал об автоиндустрии.",https://static7.tgstat.ru/channels/_100/d8/d85c6cc98383b2f7e24d336a073355b5.jpg,449547
8,transport,RU,https://t.me/auto_instruktor,@auto_instruktor,Автоинструктор,Сообщество автолюбителей. У нас можно залипнуть!,https://static10.tgstat.ru/channels/_100/19/19dfabea5d736dd0e3eb42c21312cd04.jpg,441377
9,transport,RU,https://t.me/driverone,@driverone,За рулём,Тестовые задания по ПДД,https://static9.tgstat.ru/channels/_100/4c/4c901f6c6a0fb4b8f625e5453607ba51.jpg,412723
11,transport,RU,https://t.me/imehanik,@imehanik,МЕХАНИК,Техника любит разум и умелые руки.,https://static4.tgstat.ru/channels/_100/c5/c5191b6f00ada740668ced904ff7df56.jpg,375147
12,transport,RU,https://t.me/dubrovskiy_444,@dubrovskiy_444,Дубровский Синдикат,"Всё из жизни нашей команды, мы публикуем здесь!",https://static7.tgstat.ru/channels/_100/17/17c116e98a4b810339b3e9f963d5fd35.jpg,357915
15,transport,RU,https://t.me/proautoruu,@proautoruu,PROавто,"Канал про машины, запчасти, комплектующие, а также свежие новости из мира АВТО.",https://static4.tgstat.ru/channels/_100/60/6075029ea7c28ee7785b73cf02b019b6.jpg,320999
16,transport,RU,https://t.me/Autogidrf,@Autogidrf,AUTOГИД,Путеводитель в мире авто. Все самое интересное,https://static7.tgstat.ru/channels/_100/cb/cbcb2dce1eab2ebeada3559749557700.jpg,319945
19,transport,RU,https://t.me/lisarulitsales,@lisarulitsales,Lisarulit Sales,Машины в продаже,https://static3.tgstat.ru/channels/_100/8a/8a21a857090a3e5bc9a019e8edeff39b.jpg,294714
21,transport,RU,https://t.me/auto_inspektor,@auto_inspektor,Инспектор,Клуб водителей. Здесь полезно и интересно!,https://static7.tgstat.ru/channels/_100/4c/4cb7c345ddee80f39b11c27671b4659e.jpg,269320
23,transport,RU,https://t.me/auto_zakazz25,@auto_zakazz25,Авто Заказ,"Авто из Японии, Кореи и Китая под заказ!",https://static1.tgstat.ru/channels/_100/e0/e09fe77b342b66de132d766bacef9d3f.jpg,258610
24,transport,RU,https://t.me/ksautohouse,@ksautohouse,KS CLUB,Наши социальные сети:,https://static2.tgstat.ru/channels/_100/cd/cd1cc21e157c4410057b44392614b0e9.jpg,240714
29,transport,RU,https://t.me/proboknet,@proboknet,Александр Шумский,"Автоюрист с 15 летним опытом помогает обжаловать штрафы, рассказывает про автоподставы, ДТП, ПДД, автомобили и новости.",https://static2.tgstat.ru/channels/_100/c3/c3d7fde18b84f045d8f494e1f47919b4.jpg,213965
31,transport,RU,https://t.me/firstgear_channel,@firstgear_channel,Первая передача,Тестовые задания по ПДД,https://static5.tgstat.ru/channels/_100/8a/8a8512b0ca00567f400fc4aa4c1ba5cd.jpg,206659
33,transport,RU,https://t.me/most_official,@most_official,КРЫМСКИЙ МОСТ: оперативная информация,Оперативный канал информационного центра по автомобильным дорогам о ситуации на автоподходах к Крымскому мосту и подготовке к досмотру,https://static5.tgstat.ru/channels/_100/4a/4a5fa649196ead22121ee6df5007522b.jpg,204619
34,transport,RU,https://t.me/pdd_for_all,@pdd_for_all,ПДД,Самый крупный автомобильный канал в Telegram!,https://static5.tgstat.ru/channels/_100/4d/4d723e7e3c63b1b89378c99c5552300b.jpg,203199
35,transport,RU,https://t.me/carsnosleep,@carsnosleep,Авто.ру,Подписаться: @carsnosleep,https://static9.tgstat.ru/channels/_100/1b/1ba19dca9441b98c2b4de2e1e771ae04.jpg,200680
36,transport,RU,https://t.me/autoworId,@autoworId,АВТО МИР,Лучший канал для авто любителей.,https://static2.tgstat.ru/channels/_100/8c/8c66107b35a13ad965bc45c9ace22a3d.jpg,200595
38,transport,RU,https://t.me/AutoStyleNews,@AutoStyleNews,AutoStyle,"Всем, кто за рулём!Актуальные новости, полезная информация,видео, тесты, законы, юмор",https://static3.tgstat.ru/channels/_100/e7/e74c3e68dd38235d67ffd5bec68dcb2e.jpg,194878
40,transport,RU,https://t.me/GGWP_NewsChannel,@GGWP_NewsChannel,АвтоPROFI,Присоединяйтесь прямо сейчас и почувствуйте адреналин скорости с АвтоPROFI,https://static7.tgstat.ru/channels/_100/a1/a1f41f26f11847ed8ea22b642650fac5.jpg,190638
41,transport,RU,https://t.me/mtsurent,@mtsurent,МТС Юрент,"Здесь команда вашего любимого сервиса  делится новостями и разыгрывает всякие ништяки! Заряжаем самокаты, чтобы самокаты заряжали вас ️",https://static1.tgstat.ru/channels/_100/6e/6e309578e982d51829f4d5060e8cfb7a.jpg,180483
43,transport,RU,https://t.me/Glavnayadoroga_tg,@Glavnayadoroga_tg,Главная Дорога,Главный автомобильный канал!,https://static10.tgstat.ru/channels/_100/44/44efcb08b0f8dfe3f109ff8a8eefe780.jpg,175361
45,transport,RU,https://t.me/klubniy_servis,@klubniy_servis,Клубный Сервис,Господа! Сие есть представительство Клубного Сервиса в Телеграмм.,https://static8.tgstat.ru/channels/_100/99/992aa37ac6c4deb3246822b53c50422f.jpg,166314
46,transport,RU,https://t.me/lisarulit777,@lisarulit777,Lisarulit,По рекламе @Kosenkova_ai,https://static4.tgstat.ru/channels/_100/1a/1a200013ccde26821b2294ea5f1662d4.jpg,154728
49,transport,RU,https://t.me/moscowauto,@moscowauto,Москоуавто,Оригинальное медиа об автомобильной культуре и транспорте столицы.,https://static10.tgstat.ru/channels/_100/79/79609eff95bce1bc5b5381a3d55f3ceb.jpg,150637
51,transport,RU,https://t.me/gri_zavozin,@gri_zavozin,ZAVOZIN,YouTube канал: https://www.youtube.com/ZAVOZIN,https://static4.tgstat.ru/channels/_100/90/90c6de6465d7ae79b4c52a1182312b86.jpg,148032
58,transport,RU,https://t.me/autotod,@autotod,Авто Кайф,"Авто тренды, обзоры, новости, законодательство.",https://static8.tgstat.ru/channels/_100/39/39bc032aa7a6b9d54c9e7a9bc6ae1c1b.jpg,133618
60,transport,RU,https://t.me/omodarussia,@omodarussia,OMODA Россия 🛞,Официальный канал OMODA в России.,https://static6.tgstat.ru/channels/_100/89/89febbddad64de44f6b57a6c3dc837eb.jpg,131093
61,transport,RU,https://t.me/DtRoad,@DtRoad,Дептранс Москвы,Самые главные новости Московского транспорта.,https://static5.tgstat.ru/channels/_100/a3/a3eb043e7bf775de87763e9f8121c953.jpg,130048
63,transport,RU,https://t.me/auto_manya,@auto_manya,Автомания,"Современное медиа обо всём, что движется.",https://static7.tgstat.ru/channels/_100/53/5373e1ca8297c1f0dbf33cd61f1741c5.jpg,127675
66,transport,RU,https://t.me/NIKITOSTEAM,@NIKITOSTEAM,НИКИТОС,https://youtube.com/c/NIKITOS1,https://static9.tgstat.ru/channels/_100/51/5177ba30aaaec57c2ec271aedb49d086.jpg,124422
68,transport,RU,https://t.me/ildar_auto_podbor,@ildar_auto_podbor,Авто-подбор.рф,Официальный канал Ильдар Авто-подбор,https://static7.tgstat.ru/channels/_100/73/73642643fc2617f29553f92a70e6eea6.jpg,118098
69,transport,RU,https://t.me/delimobil,@delimobil,Делимобиль,"Делимобиль — мятный каршеринг, который всегда рядом",https://static3.tgstat.ru/channels/_100/58/58ae23d878a47004366189884c2f8440.jpg,116994
71,transport,RU,https://t.me/avtorinok_rus,@avtorinok_rus,АвтоРынок | Покупка/продажа автомобилей,— автомобили до 100 000 рублей,https://static4.tgstat.ru/channels/_100/e9/e9ce78b66c82fa693be4ccb1f444d0b9.jpg,112819
73,transport,RU,https://t.me/vasyarnd,@vasyarnd,Vasyarnd,Все видосы в закрепе!),https://static5.tgstat.ru/channels/_100/c6/c6c605590b8beab49f06ec2b55ca65c1.jpg,110163
74,transport,RU,https://t.me/volkov815,@volkov815,ВОЛКОВ,№ 4782619263,https://static9.tgstat.ru/channels/_100/d8/d85df7218b50cedb93830a8b1ef9bf6d.jpg,109322
77,transport,RU,https://t.me/uralairlines,@uralairlines,Авиакомпания «Уральские авиалинии»,Официальный канал авиакомпании «Уральские авиалинии»,https://static5.tgstat.ru/channels/_100/cd/cd22637ca710805514e6aa58b9d710f6.jpg,105059
78,transport,RU,https://t.me/dtp777,@dtp777,ДТП и ЧП МОСКВА и МО,"Аварии, криминал, нештатные ситуации на дороге и в жизни Москвы и Московской области!",https://static9.tgstat.ru/channels/_100/2b/2b9648ed85cea0aeed58034f7eef9722.jpg,102978
80,transport,RU,https://t.me/aviatorshina,@aviatorshina,Авиаторщина,️ Новостной ресурс про российскую гражданскую авиацию,https://static1.tgstat.ru/channels/_100/76/7624aaee4f3c84703f2802c963e28f19.jpg,102207
84,transport,RU,https://t.me/Garage54official,@Garage54official,Гараж 54,"Официальный Телеграмм канал, YouTube канала Гараж 54.",https://static7.tgstat.ru/channels/_100/ff/ff1028b94c682e432f17faad8b39eb4b.jpg,100223
87,transport,RU,https://t.me/vk_logistik,@vk_logistik,vk_logistik,,https://static10.tgstat.ru/channels/_100/26/267e31d501daf213f8839c07076579d3.jpg,97800
89,transport,RU,https://t.me/DtOperativno,@DtOperativno,Дептранс. Оперативно,"Оперативная информация обо всем, что происходит в московском транспорте. Официальный канал Дептранса",https://static10.tgstat.ru/channels/_100/65/65b9eea6e1cc6bb9f0cd2a47751a186f.jpg,94909
95,transport,RU,https://t.me/Strekalovsky,@Strekalovsky,Ilya Strekal,Официальный канал блогера Ильи Стрекаловского,https://static9.tgstat.ru/channels/_100/3e/3eab8b5b1559b47144d147a39ba536a1.jpg,90358
