id,category,country,channel,handle,name,description,image,subscribers
2,travels,RU,https://t.me/PobedaAirlines,@PobedaAirlines,Авиакомпания «Победа»,Официальный канал авиакомпании «Победа» ️,https://static9.tgstat.ru/channels/_100/4c/4c749680301a7fbbb60734baefc15616.jpg,1082039
3,travels,RU,https://t.me/aslan_best_blog,@aslan_best_blog,Аслан из National geographic 🌏,как на картинке,https://static5.tgstat.ru/channels/_100/a5/a58b7bf8fa2238194e5147ece7d9df19.jpg,461222
4,travels,RU,https://t.me/fpcrussia,@fpcrussia,Вагон скидок,Самые выгодные предложения на покупку железнодорожных билетов.,https://static1.tgstat.ru/channels/_100/8e/8e610641e79f8e67f08ffd4bd6537ab6.jpg,440024
5,travels,RU,https://t.me/vandroukiru,@vandroukiru,"Способы путешествoвать почти бесплатно (RU) | Vandrouki, Вандруки, вандроки — это мы","Мы публикуем дешёвые авиабилеты, туры и акции. А вы путешествуете почти бесплатно.",https://static4.tgstat.ru/channels/_100/4e/4e7a1e666920bf82701ba81d7b7a0331.jpg,373077
6,travels,RU,https://t.me/kudamsk24,@kudamsk24,КудаМосква,"Рассказываем про интересные места, заведения и мероприятия Москвы",https://static1.tgstat.ru/channels/_100/91/91a73626eb7d2e205989ee253c667f8e.jpg,334390
7,travels,RU,https://t.me/mosvest,@mosvest,Московский Вестник | Афиша,"Мероприятия, события, красивые места Москвы - в одном месте!",https://static6.tgstat.ru/channels/_100/ab/ab92dd1362d3cab9daa92f122d23e775.jpg,316792
9,travels,RU,https://t.me/ozontravel_official,@ozontravel_official,Ozon Travel,"Бронируйте отели, билеты и туры по выгодной цене и получайте кешбэк милями на Ozon Travel",https://static7.tgstat.ru/channels/_100/d3/d3522b2f82e847f1acfc2db39628208f.jpg,285417
10,travels,RU,https://t.me/aeroflot_official,@aeroflot_official,АЭРОФЛОТ,"Официальный канал авиакомпании Аэрофлот. Подписывайтесь и узнавайте первыми о наших событиях, акциях, новых услугах, направлениях и о многом другом, что полезно для авиапутешественников.",https://static5.tgstat.ru/channels/_100/e9/e9d38a18efedeb331d75c3d6895e8452.jpg,269100
11,travels,RU,https://t.me/HalyavshikiTravel,@HalyavshikiTravel,Халявщики Travel,"Всё о дешёвых путешествиях! Горящие туры, скидки на авиабилеты, свежие новости о туризме и просто полезная информация для путешественников.",https://static1.tgstat.ru/channels/_100/21/21360b4c9e333b571081441d12333934.jpg,262176
13,travels,RU,https://t.me/s7airlines,@s7airlines,S7 Airlines,Официальный канал авиакомпании S7 Airlines.,https://static10.tgstat.ru/channels/_100/55/555a9fe038237d6afe3708f3a215917a.jpg,247380
