id	category	country	channel	handle	name	description	image	subscribers
1	food	Global	https://t.me/token_1win	@token_1win	1win Token	Official Channel of 1win Token	https://static4.tgstat.ru/channels/_100/d2/d2f090b0161b86150e2d1fa7886248b5.jpg	6745764
2	food	RU	https://t.me/Kulinariya_retsept	@Kulinariya_retsept	Кулинария Рецепты 🧑‍🍳	Самые любимые рецепты для Вас!	https://static8.tgstat.ru/channels/_100/b1/b181cb19ebc310b7f009084d4d058f14.jpg	756429
5	food	RU	https://t.me/recipe_zuma	@recipe_zuma	Рецепты Zuma	N4777571389 в (РКН)	https://static6.tgstat.ru/channels/_100/1b/1b05392014b4eae1e2434bf220ff03eb.jpg	587914
7	food	RU	https://t.me/tspyaterochka	@tspyaterochka	Пятёрочка	Добро пожаловать в Telegram-канал «Пятёрочки»	https://static5.tgstat.ru/channels/_100/51/5143e7ad8d2210ad361bd98aa8dc743b.jpg	581123
8	food	RU	https://t.me/NewSchoolOfTea	@NewSchoolOfTea	Новая Школа Чайного Искусства	Хороший чай — это не только пуэр. Здесь вы увидите обзоры различных чаёв, преимущественно из Китая и Тайваня, а так же скромное мнение автора по разным чайным (и не только) вопросам.	https://static2.tgstat.ru/channels/_100/c3/c301388902e04189f3ca294c31b9d247.jpg	578482
9	food	RU	https://t.me/culinary_abuse	@culinary_abuse	Кулинарный 🥡 Абьюз 🥢	Кулинарный  Абьюз  или Карты, деньги, два ствола в тарелке: 𝖙𝖊𝖑𝖊𝖌𝖗𝖆𝖒-канал с рецептами и не только	https://static1.tgstat.ru/channels/_100/e4/e48f912622515715f0d21d3a55c69b36.jpg	561086
14	food	Global	https://t.me/Club_55Club_82Lottery_Tc	@Club_55Club_82Lottery_Tc	55Club Lottery Channel🔥	इस गेम में वित्तीय जोखिम की सम्भावना शामिल है और इसकी लत्त लग सकती है। कृपया ज़िम्मेदारी से और अपने जोखिम पर खेलें। शर्तें लागू। केवल 18 साल से ऊपर के लिए	https://static2.tgstat.ru/channels/_100/fc/fc80299def91d29f3995380907be6f37.jpg	478506
15	food	RU	https://t.me/prostoy_retsept	@prostoy_retsept	Простые Рецепты	"Добро пожаловать в группу ""Простые Рецепты """	https://static2.tgstat.ru/channels/_100/04/0473e8663677d7504552a41fa7e1da2e.jpg	468803
20	food	RU	https://t.me/kulinaria_blog	@kulinaria_blog	Семейные рецепты 🥰	Вкусный канал о семейных рецептах	https://static8.tgstat.ru/channels/_100/88/8876476ccd88b85b53d6bbbbdeb1419a.jpg	363619
23	food	RU	https://t.me/min2ru	@min2ru	Кухня наизнанку	Рецепты без правил. Многие - только здесь и нигде больше! Плюс уютный чатик, где мы делимся только хорошим! Оставайтесь с нами!	https://static6.tgstat.ru/channels/_100/11/11ec552a8f0d0e388623f60b0a8e9f62.jpg	344768
