id	category	country	channel	handle	name	description	image	subscribers
1	handmade	RU	https://t.me/hand_knit	@hand_knit	Ручки вяжут | Вязание	Крупнейший канал по вязанию!	https://static10.tgstat.ru/channels/_100/4e/4e9eb7a27b5be2e9365920db194a9539.jpg	352433
2	handmade	RU	https://t.me/delotex	@delotex	ДЕЛО ТЕХНИКИ	Предложить новость: @delotex_bot	https://static2.tgstat.ru/channels/_100/be/bec0eda626c4fffcce635a81dc6b959c.jpg	209012
5	handmade	Global	https://t.me/GoldRanchGame	@GoldRanchGame	GoldRanch	Hi, welcome to your farm!	https://static9.tgstat.ru/channels/_100/18/186beb467bf1a1059e04e7e7469b37b1.jpg	158265
13	handmade	IR	https://t.me/parche_alishahi	@parche_alishahi	پارچه سرای علیشاهی	ارسال  به تمام نقاط کشور	https://static8.tgstat.ru/channels/_100/ab/ab1582138f8a72593c73d06047cee083.jpg	96083
14	handmade	IN	https://t.me/Dilnavo_music	@Dilnavo_music	Dilnavo Music 🎶	Eng sara yangi trend Dilga yaqin qoʻshiqlarni siz uchun taqdim etamiz️	https://static10.tgstat.ru/channels/_100/05/05f915c0c3d51400ffed32b3ba4101ab.jpg	91956
17	handmade	RU	https://t.me/uroki_shitya	@uroki_shitya	Уроки Шитья	Уроки по шитью для опытных и новичков!	https://static3.tgstat.ru/channels/_100/c7/c7befb0917cbb265f6b12016526b115d.jpg	87291
18	handmade	Global	https://t.me/HexonMods	@HexonMods	HEXON MODS | HEXON MODZ	Tʜɪs Is Oᴜʀ Oғғɪᴄɪᴀʟ Cʜᴀɴɴᴇʟ. I'ʟʟ Pʀᴏᴠɪᴅᴇ Yᴏᴜ Vᴀʟᴜᴀʙʟᴇ Aɴᴅ Iɴᴛᴇʀsᴛɪɴɢ Mᴏᴅs Fʀᴇᴇ Oғ Cᴏᴀsᴛ.	https://static6.tgstat.ru/channels/_100/6c/6cabc1ffbc239623cba50d3c3c9f730a.jpg	84985
19	handmade	RU	https://t.me/urokishitya	@urokishitya	Шитье| Выкройки | Уроки шитья	Уроки шитья . Советы по шитью для опытных и новичков!	https://static3.tgstat.ru/channels/_100/29/29196246c9996bd0bbd434475c976d61.jpg	83313
20	handmade	IR	https://t.me/Style_tailoring	@Style_tailoring	Style | خیاطی🪡		https://static4.tgstat.ru/channels/_100/c4/c42711e4a64cb0d1729d174da62708cc.jpg	82915
23	handmade	RU	https://t.me/amigurumi_mc	@amigurumi_mc	Амигуруми | Мастер-классы	Склад описаний Амигуруми | Вязание	https://static9.tgstat.ru/channels/_100/99/99664f094c8a0c2cf7d5d0efaffb3050.jpg	74286
24	handmade	RU	https://t.me/spize25	@spize25	Вязание спицами и крючком	Море схем по вязанию!	https://static1.tgstat.ru/channels/_100/87/87b9709c182348b31640c73e496a13f8.jpg	73301
25	handmade	RU	https://t.me/vikroyki_pdff	@vikroyki_pdff	БЕСПЛАТНЫЕ ВЫКРОЙКИ PDF | ШИТЬЁ	Больше 5000 бесплатных выкроек	https://static1.tgstat.ru/channels/_100/f2/f2f1c6103f0bf5cbf16dd28354882c65.jpg	68632
26	handmade	RU	https://t.me/alexgyvershow	@alexgyvershow	AlexGyver 🛠 Channel	Блог Alex'a, новости из мира Arduino и электроники и другие интересности.	https://static6.tgstat.ru/channels/_100/07/07c7a8405d877b01ff2c67358ca8133a.jpg	67039
27	handmade	Global	https://t.me/yarnart12	@yarnart12	Yarnart12 - Амигуруми | Вязание | Amigurumi	Канал по вязанию. У нас Вы найдете описания и мастер-классы	https://static2.tgstat.ru/channels/_100/92/9285aee47509b0cc56e6203cc9b9240d.jpg	65940
29	handmade	RU	https://t.me/pdf_vikroyki	@pdf_vikroyki	PDF Бесплатные выкройки | Шитье	БЕСПЛАТНЫЕ ВЫКРОЙКИ  В ФОРМАТЕ PDF	https://static1.tgstat.ru/channels/_100/11/11c175ce46ccc35f6e5d57e00b3ad153.jpg	59141
30	handmade	RU	https://t.me/vataknit	@vataknit	Вязание схемы, описание	Вязаные модели с описанием спицами и крючком.	https://static10.tgstat.ru/channels/_100/42/422b16c465d4fad46189308cf011b42d.jpg	58740
33	handmade	RU	https://t.me/hatknitt	@hatknitt	Вяжем аксессуары | Вязание (шапки, носки, сумки)	Вязание спицами и крючком с описанием и схемами.	https://static10.tgstat.ru/channels/_100/cc/cc01fd839805eca6b55166f081dae516.jpg	55005
34	handmade	RU	https://t.me/vikroyky_free	@vikroyky_free	Бесплатные выкройки PDF		https://static10.tgstat.ru/channels/_100/9e/9ee95a804af741b167eb3e6d37b5b8e9.jpg	51608
