id	category	country	channel	handle	name	description	image	subscribers
1	instagram	IR	https://t.me/instapico	@instapico	ربات دانلودر از اینستاگرام یوتیوب	کانال رسمی ربات دانلود از اینستاگرام: t.me/instapico	https://static9.tgstat.ru/channels/_100/dd/dd6db7d8ec694bc398748068e0911425.jpg	1429921
2	instagram	IR	https://t.me/instagramEstory	@instagramEstory	استوری اینستاگرام	تو هر سبکی استوری بخوای داریم	https://static4.tgstat.ru/channels/_100/4f/4f73baeb956ba343cb3f4c04ff6218d9.jpg	776494
3	instagram	RU	https://t.me/DoaaNevisie	@DoaaNevisie	سرکتاب📖 دعانویسی✍️ طلسمات🧿 نویسی	دعانویسی  و انجام طلسمات🪬	https://static10.tgstat.ru/channels/_100/a0/a05a4035a546b35cba7ce0c6cd566bc2.jpg	599104
4	instagram	UZ	https://t.me/dbbet_bet	@dbbet_bet	YANGILIKLAR		https://static8.tgstat.ru/channels/_100/6a/6abeca02422fa7dfe5172c88ffb8cc02.jpg	232270
5	instagram	IR	https://t.me/wefollow_channel	@wefollow_channel	ربات دانلود استوری و پست از اینستاگرام	دانلود استوری از اینستاگرام	https://static7.tgstat.ru/channels/_100/3c/3c4aea249dbbf4c1ca725a748a7ee1f5.jpg	196901
6	instagram	RU	https://t.me/jenskiydom	@jenskiydom	Женский домик	Сторис на все случаи жизни️	https://static9.tgstat.ru/channels/_100/93/93d9f97537410bd50721e26bcf1c5307.jpg	157926
7	instagram	RU	https://t.me/vidstor	@vidstor	Красивые видео для сторис	Канал уважает авторские права: материалы публикуются с указанием авторства и ссылкой на источник. Если вы правообладатель и считаете, что ваши права нарушены, свяжитесь со мной для решения вопроса.	https://static10.tgstat.ru/channels/_100/43/4324178b532e1f96ce1264b2416d210a.jpg	114063
8	instagram	RU	https://t.me/fotodlyapranka1	@fotodlyapranka1	ФОТО ДЛЯ ПРАНКА В СТОРИС	Всё для твоих историй	https://static6.tgstat.ru/channels/_100/33/33e53ccbf7e3f38f9537d0062b5f1d52.jpg	105285
9	instagram	IR	https://t.me/llllil	@llllil	صانع بوتات سايت	صانع بوتات سايت بدون حقوق	https://static4.tgstat.ru/channels/_100/94/9424a90a05dfed604418ac4ca437f223.jpg	99758
10	instagram	RU	https://t.me/storisgid	@storisgid	𝐒𝐓𝐎𝐑𝐈𝐒𝐆𝐈𝐃	𝐓𝐎𝐏 𝐂𝐇𝐀𝐍𝐍𝐄𝐋 𝐖𝐈𝐓𝐇 𝐀𝐔𝐓𝐇𝐎𝐑‘𝐒 𝐈𝐃𝐄𝐀𝐒 & 𝐄𝐋𝐄𝐌𝐄𝐍𝐓𝐒 𝐅𝐎𝐑 𝐘𝐎𝐔𝐑 𝐒𝐓𝐎𝐑𝐈𝐄𝐒	https://static4.tgstat.ru/channels/_100/05/05aae6fea81ac10ec68cd5693518b94e.jpg	93015
11	instagram	RU	https://t.me/visualtop	@visualtop	СТИКЕРЫ PNG ДЛЯ СТОРИС | ВИЗУАЛ	🩷Авторские стикеры и надписи ПНГ для оформления Ваших соц сетей (телеграм, инста, ВК и др)	https://static6.tgstat.ru/channels/_100/c5/c587d6ead8dcb048582ffa2cd17bbb7c.jpg	90947
12	instagram	IN	https://t.me/TechieFied	@TechieFied	Techie-Fied	Oғғɪᴄɪᴀʟ Tᴇʟᴇɢʀᴀᴍ Cʜᴀɴɴᴇʟ ᴏғ Tᴇᴄʜɪᴇ-Fɪᴇᴅ!	https://static2.tgstat.ru/channels/_100/5f/5f04a1ecb5194b1e22ca00dc82b8e5d1.jpg	89896
13	instagram	RU	https://t.me/piaceimpresets	@piaceimpresets	piaceim • пресеты & блогинг	Проект по формированию чувства стиля и тренировке насмотренности в создании контента 🩶	https://static1.tgstat.ru/channels/_100/00/00b6ce4d78840a33d2bb1711ff41df0a.jpg	86674
14	instagram	IR	https://t.me/page_froshi1	@page_froshi1	پیج فروشی اینستاگرام	(گروه اینستا سل)برای خرید و فروش پیج اینستاگرام	https://static1.tgstat.ru/channels/_100/b5/b5ba8cbb2175f9f9d67748fea0f7b7e3.jpg	85565
15	instagram	RU	https://t.me/futazhii	@futazhii	Шаблоны CapCut / Кап Кут	Лучшие шаблоны CapCut / Кап кут под твое настроение. Cap Cut templates footage. Капкут шаблоны для эдитов. Монтаж в Cap Cut скачать	https://static7.tgstat.ru/channels/_100/cc/ccd151c9034aa99c149f1b37b3eb9867.jpg	76540
16	instagram	RU	https://t.me/shanghai1m	@shanghai1m	上海外围*上海萝莉*上海修车*上海资源	上海外围*上海萝莉*上海修车*上海资源	https://static1.tgstat.ru/channels/_100/5f/5fe523fc6a7895054b81bcca7f88e26c.jpg	75560
17	instagram	IN	https://t.me/cleancallsbycrash	@cleancallsbycrash	clean calls by crash	nothings financial advice, do what u want	https://static6.tgstat.ru/channels/_100/b0/b01071becf91e3f9d2772f72e0a0a208.jpg	75511
18	instagram	RU	https://t.me/stories_sticke	@stories_sticke	Стикеры Png Сторис	Сотрудничество/ реклама :	https://static4.tgstat.ru/channels/_100/79/79bda07faa65b79bd9a4fddadcf19390.jpg	69881
19	instagram	RU	https://t.me/mendomik	@mendomik	Мужской домик	Сторис на все случаи жизни	https://static6.tgstat.ru/channels/_100/4e/4e5c920ae54576a983a4aa40f93dc24b.jpg	63264
20	instagram	UA	https://t.me/manguwaiwei19	@manguwaiwei19	洛杉矶外围/曼谷外围/东京外围/首尔外围	曼谷外围	https://static10.tgstat.ru/channels/_100/05/058717a4baf0403ad37346950ec1ddee.jpg	62956
21	instagram	RU	https://t.me/vibe_stories	@vibe_stories	АТМОСФЕРНЫЕ СТОРИС | Готовые сторис | Доброе утро | Стикеры | PNG	Готовый контент для твоих Stories	https://static4.tgstat.ru/channels/_100/07/076d95c6d14fbdfa54685e96059420c2.jpg	62831
22	instagram	RU	https://t.me/silastories	@silastories	СИЛА СТОРИС	№ 4776941135	https://static8.tgstat.ru/channels/_100/62/627983d8792860e6bc76f89dd50a8af3.jpg	62432
23	instagram	RU	https://t.me/s_golovoj	@s_golovoj	С ГОЛОВОЙ 🎞	монтаж | обучение | советы по reels и tiktok	https://static8.tgstat.ru/channels/_100/f1/f1f6bce38bfc6512343987cba153b4f5.jpg	60554
24	instagram	RU	https://t.me/storiesstoreee	@storiesstoreee	| 𝐒𝐓𝐎𝐑𝐈𝐄𝐒𝐒𝐓𝐎𝐑𝐄 |	КРЕАТИВНЫЕ ИДЕИ & ЭЛЕМЕНТЫ ДЛЯ STORIES	https://static7.tgstat.ru/channels/_100/67/676725dc912c5a05c98c860aca76124d.jpg	57062
25	instagram	RU	https://t.me/BitchFake	@BitchFake	Bitch.	ᴨᴏ ʙᴄᴇʍ ʙᴏᴨᴩᴏᴄᴀʍ @Bee1706	https://static4.tgstat.ru/channels/_100/30/30542905e502fead2c9ef4c6eeddfdef.jpg	56789
26	instagram	UZ	https://t.me/vn_shablon_relaxvn	@vn_shablon_relaxvn	Vn shablon😻🐺	Admin: @Ramiz_Ako️	https://static5.tgstat.ru/channels/_100/58/58323d291bdd58534bcd43e68f2e424e.jpg	55815
27	instagram	RU	https://t.me/mari_zapuski	@mari_zapuski	Мари про запуски	Разборы запусков блогеров. Фишки и схемы продаж в Instagram от продюсера. Сплетни про инфобиз) instagram.com/mariafonina	https://static5.tgstat.ru/channels/_100/4b/4bd7aa2f822039c1966bfcae01ee82a8.jpg	55769
28	instagram	RU	https://t.me/persefoone	@persefoone	Все для твоих сторис💃	То, что вы так давно искали	https://static2.tgstat.ru/channels/_100/03/03dcbce57ea58e40dcbb845fc4685636.jpg	54738
29	instagram	RU	https://t.me/inststoriesss	@inststoriesss	ФОТО НА АВУ ДЛЯ ПРАНКА СТОРИС💋	|Если у вас есть видео/фото присылайте @saydie34 |	https://static9.tgstat.ru/channels/_100/66/668e80f0569e8882dd95a533d575e3ab.jpg	52957
31	instagram	IN	https://t.me/dheerajmehra1	@dheerajmehra1	Dheeraj Mehra	Here I provide lots of resources	https://static4.tgstat.ru/channels/_100/61/618ceb57ffd469b9d9d142c8e2efd0bb.jpg	49926
32	instagram	RU	https://t.me/smm_combo	@smm_combo	✨SMM Combo✨	Привет, я Юлия Мусина	https://static7.tgstat.ru/channels/_100/2b/2b98a6e5c65fd3fc82726cfe31871c11.jpg	49126
34	instagram	RU	https://t.me/vseprostoriespng	@vseprostoriespng	ВСЕ ПРО СТОРИС | ♤ ПНГ | СТИКЕРЫ	№ 4787115911	https://static10.tgstat.ru/channels/_100/fc/fc991504bc9b80092ef53a3bbce1c7de.jpg	48959
35	instagram	Global	https://t.me/CCC9X	@CCC9X	𓆩 𝑴𝑨𝑹𝑪𝑬𝑳𝑰𝑵𝑬 𓆪 .♱.	𝟏𝟏:𝟏𝟏	https://static5.tgstat.ru/channels/_100/45/453680b9f148ac39529c0ee0795f5ac3.jpg	48608
36	instagram	RU	https://t.me/menklub	@menklub	Пацанский клуб	На все случаи жизни	https://static10.tgstat.ru/channels/_100/28/283b3bbcd78e40c523ca35679cbda9f3.jpg	48117
37	instagram	Global	https://t.me/AAKLAB	@AAKLAB	ÃAKLAB		https://static2.tgstat.ru/channels/_100/9c/9c4e9dd98de831eaeb01967572b1b0c2.jpg	48114
38	instagram	RU	https://t.me/memreels	@memreels	💭Мемы из reels | рилс инстаграм | шаблоны	Канал, где ты найдешь тот самый отрывок из фильма, который вирусится в reels.	https://static7.tgstat.ru/channels/_100/c0/c0a16e0e2f496b5eac1094f7b8a809ce.jpg	46917
39	instagram	RU	https://t.me/divizdes	@divizdes	девчачий уголок	твоё спасение️	https://static1.tgstat.ru/channels/_100/54/544fecc6a825075a6489a6b51d51f437.jpg	46314
40	instagram	RU	https://t.me/presetyu	@presetyu	ПРЕСЕТЫ | ОБРАБОТКА ФОТО	Гайды, Пресеты , Обработка фото	https://static6.tgstat.ru/channels/_100/72/7201fdcd687a6918c9ed5734e65bb08d.jpg	46271
41	instagram	RU	https://t.me/pngshi	@pngshi	Стикеры | png для сторис	Авторские надписи,	https://static5.tgstat.ru/channels/_100/78/7814a5dd62d387709d68d1532d230507.jpg	46117
42	instagram	RU	https://t.me/allstori	@allstori	Жемуж❤️	Сторис для всех️	https://static9.tgstat.ru/channels/_100/88/8855f47c4ffad578ff32bb61d60eb38c.jpg	45432
43	instagram	RU	https://t.me/goooddaysssss	@goooddaysssss	СТОРИС ☕ ДОБРОЕ УТРО 👋	‍️Не знаешь, как вовлечь подписчиков в сторис? Мотивировать? Поздравить?	https://static2.tgstat.ru/channels/_100/d0/d087e71643892da80299b5708a8baeb9.jpg	45323
44	instagram	RU	https://t.me/kuulesh	@kuulesh	kuulesh • creative	Юля  канал с полезными материалами для соц сетей	https://static4.tgstat.ru/channels/_100/51/51ee00699682e050369158d410ac313b.jpg	42983
45	instagram	RU	https://t.me/luxstoris	@luxstoris	те самые сторис 😈	самые редкие сторис, не спалишься сто процентов	https://static1.tgstat.ru/channels/_100/72/727058e6676aedd6f3469663e6be82e2.jpg	42216
46	instagram	IR	https://t.me/mitraadmin2020	@mitraadmin2020	admin.mitra	پیج اینستاگرام	https://static10.tgstat.ru/channels/_100/53/53c527ae4c01a59d37ce5dea670d3fa1.jpg	39939
47	instagram	RU	https://t.me/storisexboy	@storisexboy	Сторис для бывшего	Очень полезные материалы для твоих сторисов	https://static10.tgstat.ru/channels/_100/09/099683fc5e8d05444e175645bfa6c4c2.jpg	39266
48	instagram	RU	https://t.me/storiesinstaa	@storiesinstaa	𝐟𝐨𝐫 𝐲𝐨𝐮𝐫 𝐬𝐭𝐨𝐫𝐢𝐞𝐬💌	– i saw galaxies in your eyes))	https://static6.tgstat.ru/channels/_100/49/494b1ae7ef8e0e845a5a46bd3d398e08.jpg	39156
49	instagram	RU	https://t.me/aniri_prostories	@aniri_prostories	PROstories с Aniri | СТИКЕРЫ ПНГ • ШАБЛОНЫ • СТОРИС	СТИКЕРЫ ПНГ ДЛЯ СТОРИС	https://static4.tgstat.ru/channels/_100/c1/c17eeab255ee3d74ae95ed5aed91c706.jpg	39057
50	instagram	UA	https://t.me/instagramivka	@instagramivka	ІНСТАГРАМІВКА	Тут:	https://static9.tgstat.ru/channels/_100/01/01a12a026ece270b0f0200c4a0dff96a.jpg	37297
51	instagram	RU	https://t.me/yanchevskaya_reels	@yanchevskaya_reels	Янчевская|по reels и блогу	Номер заявления № 4796004775	https://static8.tgstat.ru/channels/_100/34/34b4d3449c91d99c225916f2bc2ef875.jpg	37060
52	instagram	RU	https://t.me/stories_for_inst	@stories_for_inst	Stories insta 📸🎥	Сторисы для инсты на каждый день	https://static10.tgstat.ru/channels/_100/ba/bad34344faa2f933ea168b49a2ab7c67.jpg	37001
53	instagram	CN	https://t.me/trendingsevents	@trendingsevents	DELUGE.CASH | SOL EVENTS	Part of @delugecash ecosystem.	https://static5.tgstat.ru/channels/_100/18/18bf487c26eeb86c1068c16edb8efa34.jpg	36769
54	instagram	UZ	https://t.me/instagram_stories_insta_story	@instagram_stories_insta_story	💟 • 𝐼𝑛𝑠𝑡𝑎𝑔𝑟𝑎𝑚 𝑆𝑡𝑜𝑟𝑖𝑒𝑠	Instagram profiliz uchun sifatli rasm, videolar hammasi bizning kanalda!	https://static4.tgstat.ru/channels/_100/b9/b977a9efd796427dc10c3a69b11acbf9.jpg	36145
55	instagram	RU	https://t.me/reelstutor	@reelstutor	РИЛС | REELS ТРЕНДЫ | ШАБЛОНЫ CAPCUT | МЕМЫ	твой куратор в сфере reels	https://static6.tgstat.ru/channels/_100/0c/0cde15d0a9a30064f3249d0f3a68b0ce.jpg	36141
56	instagram	RU	https://t.me/topchikstory	@topchikstory	TOP CONTENT | STORIES | PNG	Канал с бесплатными контентом для сторис @topchikstory	https://static1.tgstat.ru/channels/_100/fb/fbd785f4f978bc5b0dc6ce62730b2a1f.jpg	36011
