id	category	country	channel	handle	name	description	image	subscribers
1	language	IR	https://t.me/priness22	@priness22	تعليم اللغة الانكليزية 🇺🇸	للمهتمين باللغه الانجليزيه  والي يحبون يتعلمون انجليزي ويطورون من نفسهم هاي القناة كلش راح تفيدكم بيها مفردات  وجمل وكلمات سهله إعلاناتي::: @priness2	https://static10.tgstat.ru/channels/_100/1d/1dffd330a3c1d1751b48e33659ae28c2.jpg	648278
2	language	IN	https://t.me/NimishaMam	@NimishaMam	English with Nimisha Bansal	Facebook  https://www.facebook.com/nimishamam	https://static9.tgstat.ru/channels/_100/86/8696126eb6abd9893dae0480292ada5a.jpg	433662
3	language	IR	https://t.me/NF_English1N	@NF_English1N	أ/ نوف لغة انجليزية ✨🤍	قناة تطور لغتك ضمن مبادرتي (دورة مجانيه لوجه الله تعالى ️)	https://static4.tgstat.ru/channels/_100/f7/f7d8193f12462c3126609fae2fda6979.jpg	433506
5	language	Global	https://t.me/nn_48	@nn_48	تعلم اللغة الانجليزية بسهولة 🇱🇷	لـطلب التمويل والحجز :  @Asooma20 .	https://static6.tgstat.ru/channels/_100/af/af028c73382fdf0489fd5518a8db561d.jpg	417907
6	language	IR	https://t.me/e_nglish1	@e_nglish1	تعلم اللغة الانجليزية - Learn English	تحتوي القناة على :	https://static10.tgstat.ru/channels/_100/52/52a15eae27621c1d9dd051b559075782.jpg	394995
7	language	IR	https://t.me/ei_tc	@ei_tc	اقتباسات ستوريات	الأخَتيار الصح كَفيل يعيَشك	https://static5.tgstat.ru/channels/_100/27/273f13087ae39e4c3fdc77b35218bd55.jpg	387843
8	language	RU	https://t.me/fuckingenglish	@fuckingenglish	Fucking English | Английский 18+	Авторский блог о нецензурном английском.	https://static7.tgstat.ru/channels/_100/bf/bf915dbefad769c34545cf288237bbb3.jpg	359718
9	language	IN	https://t.me/English_Grammar_IELTS_TOEFL	@English_Grammar_IELTS_TOEFL	English Grammar IELTS TOEFL	️Contact for	https://static5.tgstat.ru/channels/_100/0a/0ab463080b5b0f33d79b79d2fb94eb63.jpg	324771
11	language	IR	https://t.me/farshbuf	@farshbuf	فرشباف | مکالمه انگلیسی	دانسته هامو با حال خوب آموزش میدم	https://static2.tgstat.ru/channels/_100/29/29b8c7e2530cbd33aecd04e9482ff33d.jpg	309912
12	language	IN	https://t.me/static_gk_channel	@static_gk_channel	Static Gk Quiz™| SSC BANKING SPECIAL	Study Materials [ सभी Material हिंदी और इंग्लिश दोनों भाषा में होगा  ]	https://static5.tgstat.ru/channels/_100/c9/c92601e7a554cc77715f93ccfe6674ea.jpg	291683
13	language	RU	https://t.me/korzhevskayav	@korzhevskayav	Виктория Коржевская	Молодой лингвист	https://static4.tgstat.ru/channels/_100/86/8618bb7dc04bf7700003aed1850b6852.jpg	266536
14	language	IN	https://t.me/CTET_ENGLISH_SSC_Grammar_MTS_GD	@CTET_ENGLISH_SSC_Grammar_MTS_GD	SSC ENGLISH Grammar Vocabulary QUIZ CTET PDF HUB UGC NET	Learn English with Us. World's Rank 1 Platform.	https://static3.tgstat.ru/channels/_100/0d/0d6e7b39bca3ee8690ad8b25d2582cb6.jpg	258308
15	language	IN	https://t.me/EnglishGrammar_Vocab	@EnglishGrammar_Vocab	English Grammar + Vocabulary™©	Telegram's Best Channel For	https://static4.tgstat.ru/channels/_100/33/332598fec703c3069ec52487f59b317a.jpg	248238
