id	category	country	channel	handle	name	description	image	subscribers
1	law	RU	https://t.me/kvaleriyz	@kvaleriyz	Валерий Карданов		https://static4.tgstat.ru/channels/_100/8f/8f6c72637d470ed122125e5eb7b26a28.jpg	706170
2	law	UZ	https://t.me/yuristlar_maslahati	@yuristlar_maslahati	YURIST MASLAHATI	Мурожаат учун: @yuristgamurojaat	https://static8.tgstat.ru/channels/_100/02/02cc5cdc7e974c104586de7aed160263.jpg	375489
3	law	UZ	https://t.me/huquqiyaxborot	@huquqiyaxborot	Huquqiy axborot	Қонунчиликдаги янгиликлар, ҳуқуқий ислоҳотлар ҳақида тезкор маълумотлар тақдим этувчи канал.	https://static6.tgstat.ru/channels/_100/17/17c2d18f646f7f21b3228bb15509830f.jpg	374156
4	law	UA	https://t.me/SBUkr	@SBUkr	Служба безпеки України	Офіційний канал Служби безпеки України	https://static5.tgstat.ru/channels/_100/57/57378688dfd5904b9b4709d4eb8f1828.jpg	311179
5	law	UA	https://t.me/yur_tg	@yur_tg	Юридичний Телеграм	Юридичні новини України людською мовою від провідних фахівців	https://static10.tgstat.ru/channels/_100/ac/accfdf7ec3d5be08a7c3ae9e71b67bd0.jpg	280846
10	law	RU	https://t.me/NetGulagu	@NetGulagu	Gulagu.net ГУЛАГу-НЕТ! 🕊	Первый правозащитный Тг-канал команды Владимира Осечкина. Мы выступаем в защиту прав человека, против войны, диктатуры Путина и репрессий ГУЛАГа 21 века. ГУЛАГу-НЕТ!	https://static6.tgstat.ru/channels/_100/57/5764c1cdff5b4abd14a391b6315702c5.jpg	165082
11	law	RU	https://t.me/notes_legal	@notes_legal	Заметки юриста	Полезный юридический канал	https://static1.tgstat.ru/channels/_100/18/18cb6d3b13a9a58d7a91ef339b6d1630.jpg	154913
12	law	UA	https://t.me/TarasOdessa	@TarasOdessa	Тарас Юрист Адвокат Одесса	Офіційний канал юриста Никифорчука Тараса Валерійовича	https://static6.tgstat.ru/channels/_100/8b/8bef583b08de6798e07ce22871d2f1c0.jpg	153217
13	law	RU	https://t.me/ovdinfo	@ovdinfo	ОВД-Инфо	@OvdInfoBot | 88007070528 | @OvdInfoLive | https://ovdinfo.media/donations	https://static9.tgstat.ru/channels/_100/4b/4bbdcc0e821637155ac4217bdab70d2e.jpg	150818
14	law	ET	https://t.me/tebekasamuel	@tebekasamuel	ሕግ አገልግሎት Legal Service	ሳሙኤል ግርማ Lawyer	https://static9.tgstat.ru/channels/_100/38/38011db693ed823b30691127d7c142cd.jpg	134402
19	law	UZ	https://t.me/Yurist_Xizmati	@Yurist_Xizmati	Юрист Хизмати | Расмий канал	Каналимиз № 0005006503 - сонли давлат рўйхатидан ўтган гувоҳнома асосида фаолият юритади.	https://static6.tgstat.ru/channels/_100/a2/a2cff52ee9133d6ba4c42d1cc04071df.jpg	97008
22	law	RU	https://t.me/mpcrf	@mpcrf	МПЦ	Юридическая Сеть России	https://static8.tgstat.ru/channels/_100/f4/f492dabff20d035f547684c6187132f3.jpg	95189
24	law	RU	https://t.me/sivakovairina	@sivakovairina	Юридические Тонкости	Телеграм-канал юриста Ирины Сиваковой	https://static8.tgstat.ru/channels/_100/c0/c006dab4525101cff2fed465a20f897b.jpg	87513
25	law	UZ	https://t.me/Yurist_Blogerr	@Yurist_Blogerr	Юрист блогер /расмий канал	Ҳуқуқий ва бошқа долзарб мавзуларда гаплашамиз.	https://static2.tgstat.ru/channels/_100/ef/efe93f695710035f45e4272447f61277.jpg	81437
26	law	UA	https://t.me/mvs_ukraine	@mvs_ukraine	МВС України	Офіційний Телеграм-канал Міністерства внутрішніх справ України	https://static4.tgstat.ru/channels/_100/68/688cf33c694d2353fc87c66208b791f2.jpg	77442
