id	category	country	channel	handle	name	description	image	subscribers
1	quotes	IR	https://t.me/Proxy_Qavi	@Proxy_Qavi	پروکسی | Proxy Qavi	[ We are not the first, we try to be the best ]	https://static3.tgstat.ru/channels/_100/66/6637f1855d088c15cb22ebf7b652855c.jpg	5287872
2	quotes	IR	https://t.me/fasngon	@fasngon	قناة فسنجون	قناة البصمات الخاصة ببوت فسنجون	https://static9.tgstat.ru/channels/_100/83/837f07995f8e5a0007b7ffc91f714163.jpg	2037093
3	quotes	IR	https://t.me/YYYYD	@YYYYD	اقتباسات ستوريات Mshaeir	- المشاعر ليس لها صوت لكنها ذات ملامح .	https://static6.tgstat.ru/channels/_100/2a/2a5008c664d56bf466e4709823a49b7a.jpg	1661980
4	quotes	Global	https://t.me/zrzzzz	@zrzzzz	- كتابات دوستويفسكي ، اقتباسات حب ، خواطر .	- بوت الإعلانات:  @FEFBOT -	https://static10.tgstat.ru/channels/_100/0a/0afb5d591a73221e043878d7f469f435.jpg	1487859
5	quotes	Global	https://t.me/YYYXY	@YYYXY	مصنع بوتات | سورس بلاك	- اهلا بك في سورس بلاك .	https://static9.tgstat.ru/channels/_100/0e/0ef50940a8657edd8f90255e0b54692f.jpg	1131004
6	quotes	Global	https://t.me/VV_65	@VV_65	كتابات❤️عبارات❤️خواطر❤️اشعار❤️حزينه	لـ تمويل   @vssss	https://static8.tgstat.ru/channels/_100/7d/7de2bcc57d036519339defa014bdbc4b.jpg	791540
7	quotes	RU	https://t.me/evodays	@evodays	365 new days	365 new chances	https://static1.tgstat.ru/channels/_100/82/82c3378f73c6486f5e6e397edff354fb.jpg	616275
8	quotes	IR	https://t.me/RiMixeYou	@RiMixeYou	QofliM ریمیکس آهنگ قفلیم	رفیق تنهاییات آهنگ قفلیم	https://static3.tgstat.ru/channels/_100/3c/3ce678e7e06a01fa34148cb30136cee5.jpg	614884
9	quotes	Global	https://t.me/EN_QE	@EN_QE	اقتباسات، عبارات حب، خلفيات، حالات.	بعض القصص لا تنتهي أبداً .	https://static2.tgstat.ru/channels/_100/bc/bc23bc0d9c334299efce6ac93873da95.jpg	589779
10	quotes	Global	https://t.me/NNNZN	@NNNZN	اغاني صور تمبلر افتارات	- بوت حجز التمويل @nnvbot .	https://static6.tgstat.ru/channels/_100/38/383773098584ff68d3659b565a50504f.jpg	588749
11	quotes	IR	https://t.me/NNNAA	@NNNAA	- نُصوص عميّقة 🖤،	- لـِ فتاهـ تَملُك وَجهًا أكثَرُ مِن بَشَريّ	https://static1.tgstat.ru/channels/_100/db/dbbcbf451e9aafbe502d6437ca67d997.jpg	588612
12	quotes	UZ	https://t.me/ShoshilinchUz	@ShoshilinchUz	Shoshilinch.uz - Tezkor xabarlar | Rasmiy Kanal	Ўзбекистон ва Жаҳондаги муҳим воқеалар, энг тезкор ва шошилинч хабарлар!	https://static8.tgstat.ru/channels/_100/ad/adecb3b8093481c9c76136505a1db3b5.jpg	588069
13	quotes	IR	https://t.me/Maagas	@Maagas	مَگَس	سلامتی مگس که یادمون داد زیاد که دور کسی بگردی آخرش میزنه تو سرت...	https://static1.tgstat.ru/channels/_100/ab/ab8e8d0cdb328c0429e5cd22f1da1804.jpg	556088
14	quotes	Global	https://t.me/ww_2E	@ww_2E	كروبات❤️بنات❤️تعارف❤️دردشه❤️اغاني	القناة الرسمية عالتلڪرام استمتعو بالمشاهده ️	https://static2.tgstat.ru/channels/_100/0e/0e7f8c10a22d010f60f14b930b2eea47.jpg	528028
15	quotes	IR	https://t.me/STORYAT_10	@STORYAT_10	خلفيات💛عبارات💛حب💛اقتباسات	قناة بدون حقوق الرسميه.	https://static10.tgstat.ru/channels/_100/0a/0aa1adf27c618a276d39a743e48da6a6.jpg	471684
16	quotes	RU	https://t.me/love_thxs	@love_thxs	люблю	наш второй канал: @sign_thxs	https://static9.tgstat.ru/channels/_100/55/55db151561f6bb6d8fd40e35082fdc47.jpg	454677
17	quotes	IR	https://t.me/bbe_different	@bbe_different	كُنْ مختلفاً 🩷	بِداخلنا نُور قد يُضيء كوكباً بأكمَله	https://static10.tgstat.ru/channels/_100/84/84d2b7c2e612cc0a66318258b9db101e.jpg	451603
18	quotes	IR	https://t.me/J777E	@J777E	آوتار.	إنِي أحبكِ حُبا لا نَفاذ لهُ.	https://static4.tgstat.ru/channels/_100/86/8687c38010f327d839ccead5766dbe23.jpg	450199
19	quotes	IR	https://t.me/Yosmo	@Yosmo	غريب الأطوار	إن استطعت أن تبتعد يوماً عني فلا تعود.	https://static7.tgstat.ru/channels/_100/04/049c052868311b943d2eac0a88ad2f80.jpg	444504
20	quotes	Global	https://t.me/XXlIXK	@XXlIXK	مجرد شعور♡	‏غايتي قربك وحضنك ⁩	https://static1.tgstat.ru/channels/_100/64/641f0250b5f9c11aabf799e92bc215be.jpg	444442
21	quotes	IR	https://t.me/itszaaay	@itszaaay	ᴅᴇᴄᴇᴍʙᴇʀ	أين أجدني بكل هذا التيه ؟.	https://static2.tgstat.ru/channels/_100/b5/b5f6af19d089733e93a5377f3f7732aa.jpg	431430
22	quotes	IR	https://t.me/Loavma	@Loavma	My Love ♡	اندکی از عمرمان باقیست اندکی از مرا بغل کن️ :)	https://static2.tgstat.ru/channels/_100/78/783204f16090e5f58cd1039eff70ae04.jpg	423524
23	quotes	Global	https://t.me/fraindz	@fraindz	عبارات ، عيد ، ميلاد ، صديقتي💓💓	اقتباسات عبارات	https://static1.tgstat.ru/channels/_100/6f/6f365f090e980b8723302794c09f0f36.jpg	421481
24	quotes	Global	https://t.me/club_digrajsinghrajput	@club_digrajsinghrajput	Team - DSR💥	Join the telegram channel to connect for updates.	https://static9.tgstat.ru/channels/_100/3d/3dc0c1db8337aee6430f8fb9980c9850.jpg	420027
25	quotes	IR	https://t.me/gsvsvw	@gsvsvw	اقتباسات ، كبرياء ، غرور أنثى	غِروريّ حَقير جَداً قِد اهجركَ وانِا لا اريُد سِواك.	https://static8.tgstat.ru/channels/_100/68/68e9fb24c0f64e3071892dc4afd7a27b.jpg	412561
26	quotes	RU	https://t.me/pesni_remix_2024	@pesni_remix_2024	𝔽𝕖𝕟𝕕𝕚_𝕥𝕣𝕒𝕔𝕥🥀 | Музыка | Треки	Музыка  | Сохры  | Цитаты 🫀	https://static5.tgstat.ru/channels/_100/7a/7ab76a846df9828168662b333053f5cf.jpg	412095
27	quotes	IR	https://t.me/RF_9R	@RF_9R	اشعار عريان سيد خلف	القناة الرسمية على التلكرام	https://static10.tgstat.ru/channels/_100/13/137bfeb1e69e9d4ed6791746b74d6516.jpg	403315
28	quotes	IR	https://t.me/MyParadise04	@MyParadise04	بهـشتِ مـن 	عشق آن است :	https://static2.tgstat.ru/channels/_100/02/021660032f582c862b24d90f0cc6024e.jpg	397941
29	quotes	RU	https://t.me/cafe_citaty	@cafe_citaty	Cafe дe Flore	По рекламе: @evoanna	https://static8.tgstat.ru/channels/_100/c7/c7c978054460a5d4abb5f92782b5eba1.jpg	397782
30	quotes	Global	https://t.me/N1NNNN	@N1NNNN	اقتباسات عبارات ᓭི༏ᓯྀ.	- على الرحب دائماً وقلبي لك سعه.	https://static2.tgstat.ru/channels/_100/49/4957f2d01b560f95b553f39a2704b4bf.jpg	397478
31	quotes	RU	https://t.me/mind_ru	@mind_ru	со смыслом🥀 | цитаты | грустное видео	обратно нельзя, поднимаемся выше	https://static8.tgstat.ru/channels/_100/8f/8f4526264883ad72976a4033c74b66d3.jpg	394415
32	quotes	IR	https://t.me/op_35	@op_35	حُـب .	- حُب لكل لَحظة أنت موجود بيّها	https://static5.tgstat.ru/channels/_100/d3/d3ef40e53d6a019d4eeceb3a02aded08.jpg	388004
33	quotes	Global	https://t.me/mtstbstnish	@mtstbstnish	متستبسطنيش	صديق البسطاء و الأوجه الواحده .	https://static2.tgstat.ru/channels/_100/90/90eff85b87695718f56b0125be4af8b6.jpg	381757
34	quotes	IR	https://t.me/Codeain	@Codeain	﮼کدئین	ناشناس چنل: @CodeainChat	https://static3.tgstat.ru/channels/_100/d4/d4b334f31aea5ab009d28e541880dbd4.jpg	378966
35	quotes	RU	https://t.me/Galirey	@Galirey	𝒢 𝒶 𝓁 𝓁 ℯ 𝓇 𝓎 🤍🕊	Be the best version of yourself 🪷	https://static3.tgstat.ru/channels/_100/06/06fa760b6155b8745e3c3a1f7de21de7.jpg	378952
36	quotes	IR	https://t.me/iHotStickers	@iHotStickers	شهوانی | گیف لاو | پروفایل عاشقانه | استیکر	ارسال سوژه و ارتباط با ادمین جهت تبلیغات :	https://static4.tgstat.ru/channels/_100/8f/8f944030b0d7379681e336d10d49f152.jpg	343930
37	quotes	IR	https://t.me/iproxify	@iproxify	Proxify | پروکسی	تبلیغات:	https://static5.tgstat.ru/channels/_100/fc/fc5adbd519d6e883edf376cfa323ae22.jpg	338937
38	quotes	IR	https://t.me/HH_H7S	@HH_H7S	إقتباسات مترجمة	لا أعيش كل ما أكتبه ولا أكتب كل ما أعيشه.	https://static3.tgstat.ru/channels/_100/98/98998b012896158099e8327549b30bc1.jpg	338848
39	quotes	Global	https://t.me/n1nnn	@n1nnn	اقتباسات شغف | shaghaf	كان مجرد شعور الى أن اصبح ملكاً	https://static7.tgstat.ru/channels/_100/6b/6b57c47236d1ae694ca456702e64dd7f.jpg	338488
40	quotes	Global	https://t.me/i4_3Q	@i4_3Q	،ستوريات، صوره، بنات رمزيات، خلفيات	القناة الرسمية عالتلڪرام استمتعو بالمشاهده	https://static9.tgstat.ru/channels/_100/29/29956dd9879788cf441020958d09d982.jpg	331317
41	quotes	IR	https://t.me/sogoandfuckyourlove	@sogoandfuckyourlove	قشاع.	عاشق رو برعکس کنی میشه ”قشاع”	https://static1.tgstat.ru/channels/_100/fd/fd807212cd9044157b83b29ce3bcdb97.jpg	324793
44	quotes	Global	https://t.me/KK_211	@KK_211	شركة القمة وظائف، فرص عمل مندوبين	السلام عليكم	https://static10.tgstat.ru/channels/_100/7c/7c8bcd2994c0ceba4a81ac5fbbcc279d.jpg	311717
46	quotes	IR	https://t.me/behtarin_00	@behtarin_00	پروکسی بهترین | پروکسی | ایران پروکسی	بهترین خودت باش!	https://static3.tgstat.ru/channels/_100/ed/ed1d9f256c305068e66ff5ce1dc390f6.jpg	303940
47	quotes	Global	https://t.me/xe_cz	@xe_cz	رمزيات ، رومنسية ، رسائل حب ، ريلز .اقتباسات ، خلفيات	‏كم كان حظي كبيراً	https://static6.tgstat.ru/channels/_100/cf/cfbf3363995444c01a7cf1f4e8afba38.jpg	302734
48	quotes	Global	https://t.me/ececeo	@ececeo	حُـزن.	لـِ شابة مُصابة بالإكتِئابَ.	https://static3.tgstat.ru/channels/_100/60/60bb161153faef5f70b89fb3d61b84f6.jpg	296357
49	quotes	UZ	https://t.me/wenzone_gr	@wenzone_gr	ᴡᴇɴᴢᴏɴᴇ🫀	Telegramda @wenzone_gr rasmiy kanali	https://static7.tgstat.ru/channels/_100/38/387dea8b699a7e946e36c295781dab32.jpg	293114
50	quotes	IR	https://t.me/arash_timess	@arash_timess	Arash analysis	علم و دانش و تحلیل های روز اقتصادی دنیا با من .	https://static2.tgstat.ru/channels/_100/10/101873deae0e500aedb106d93cb961dd.jpg	292272
51	quotes	Global	https://t.me/xg_yu	@xg_yu	افتارات رمزيات زغرفة فيديوهات زخرفة	- شلك بروحك تعال بروحي عيش .	https://static4.tgstat.ru/channels/_100/15/1579601f385fe5652a3a4005ff2a4117.jpg	286273
52	quotes	IR	https://t.me/JVJJJJ	@JVJJJJ	For You 🫀🫂.	لطلب تمويل القنوات @J4444	https://static10.tgstat.ru/channels/_100/42/422b000d3349ff130ca42096c46cf8ea.jpg	277445
53	quotes	IR	https://t.me/rosekhakestari	@rosekhakestari	رز خاکستری🩶	سلام رزِ من🩶	https://static9.tgstat.ru/channels/_100/86/86d061df30c6231a04dc1b9244b92105.jpg	274265
54	quotes	UZ	https://t.me/vafoli_yorim_begim_juftim	@vafoli_yorim_begim_juftim	ВАФОЛИ ЁРИМ🕋✨	Ҳақиқий оилавий мухаббатни ёритиб бeрувчи каналга хуш кeлдингиз	https://static1.tgstat.ru/channels/_100/74/7478b8e6d77ca2a7cfdc9dc03c9c01d4.jpg	263709
55	quotes	Global	https://t.me/English704	@English704	تعلم الانجليزية بسهوله Just English	طريقك الأسهل لتحسين لغتك الانجليزية،شرح  بالتدريج من الصفر،وعمل فهرس	https://static5.tgstat.ru/channels/_100/b7/b7f2cacbe785abe9f9787fde61248ed7.jpg	263671
56	quotes	IR	https://t.me/Ak_tebas	@Ak_tebas	اقتباسات ،حالات ، رسائل ، حزن.🧡	رقيقه جدا مقتبسه من صفا السماء	https://static3.tgstat.ru/channels/_100/d7/d7980ece9a67e509076d9e28eeb9521c.jpg	260642
57	quotes	IR	https://t.me/Fvvvv	@Fvvvv	Tumblr 🏕👨‍🎤	ـ يمكنك تغطية الشمس بيدك، لكن من زاويتك فقط.	https://static7.tgstat.ru/channels/_100/64/64f5567048a17718592a071fcb30c380.jpg	259649
58	quotes	IN	https://t.me/Hindi_Quotes_Motivational_Videos	@Hindi_Quotes_Motivational_Videos	Hindi Motivational Quotes Videos ™ 🇮🇳	Contact & Promotions	https://static8.tgstat.ru/channels/_100/7a/7a8ee805e162045317d57900c6a5c7b4.jpg	250352
59	quotes	Global	https://t.me/kx_e3	@kx_e3	بنات،اغاني،عراقيه،اشعار،صور	القناة الرسمية عالتلڪرام	https://static1.tgstat.ru/channels/_100/64/64531de41c250d78b80231a02ed32ef7.jpg	248934
60	quotes	IR	https://t.me/Pishi_mishii	@Pishi_mishii	اعتراف[Pishi_mishi]	ارسال سوژه و اعتراف:	https://static2.tgstat.ru/channels/_100/84/84c21fbc0488fe80aef11ae602e0ed7e.jpg	245061
61	quotes	UZ	https://t.me/Ayollar_Saxifasi	@Ayollar_Saxifasi	Ayollar Saxifasi🌷	«Аёллар сахифаси» каналимизда сиз:	https://static6.tgstat.ru/channels/_100/4d/4dfdbcf5d60d3c27f38bdf48486806dd.jpg	241721
62	quotes	IR	https://t.me/alo_twe	@alo_twe	الو توییت | alo tweet	زیر ۱۸ سال درخواست نده	https://static9.tgstat.ru/channels/_100/22/22be3e175b26ce44b26a0f7d70f1cb37.jpg	239790
63	quotes	IR	https://t.me/hesamalinezhad	@hesamalinezhad	Hesam Alinezhad | حسام علی نژاد		https://static2.tgstat.ru/channels/_100/ec/ecfeff1cea046e274fe5887ca302cc20.jpg	238062
64	quotes	RU	https://t.me/wexsavi	@wexsavi	⋅ʚ ✧ ꒰ఎ Wexsavĭ ໒꒱ ✧ ɞ⋅	𓆩 𝑠𝑡𝑖𝑐𝑘𝑒𝑟𝑠, 𝑡ℎ𝑒𝑚𝑒𝑠, 𝑙𝑎𝑛𝑔𝑢𝑎𝑔𝑒𝑠, 𝑚𝑢𝑠𝑖𝑐 𝑓𝑜𝑟 𝑦𝑜𝑢` 𓆪	https://static1.tgstat.ru/channels/_100/10/1088579c037790f6d1004b8154a0b803.jpg	237867
65	quotes	IR	https://t.me/Nikotniha	@Nikotniha	[ نیکوتین ]	️🫀	https://static10.tgstat.ru/channels/_100/c9/c9908d9549461c78de74f95239dc5586.jpg	237793
66	quotes	RU	https://t.me/poslanyheart	@poslanyheart	послание от сердца	владелец: @vcs_dkny	https://static7.tgstat.ru/channels/_100/7c/7c123b40522e3bc686aaa31d45eb5d10.jpg	236075
67	quotes	Global	https://t.me/bleegh775	@bleegh775	تطوير الذات ، ❤تحفيزية	نهتم برسائل تطوير وتنمية الذات لمستقبل مشرق باذن الله.	https://static1.tgstat.ru/channels/_100/1f/1f0efddf0261077276cc073e2ab9128f.jpg	235962
68	quotes	IN	https://t.me/tamil_whatsapp_status	@tamil_whatsapp_status	தமிழ் status videos	Second Channel	https://static7.tgstat.ru/channels/_100/2b/2bb4876bec43531bd631d2f6a505e053.jpg	234768
69	quotes	IN	https://t.me/Tamil_Love_Whatsapp_Status_Songs	@Tamil_Love_Whatsapp_Status_Songs	Tamil Love Whatsapp Status™	Contact us	https://static10.tgstat.ru/channels/_100/87/876834c2f0ecc14f78d6be9f0f9e9fc3.jpg	233611
70	quotes	IR	https://t.me/timemoodz	@timemoodz	دیالوگ های مود :		https://static4.tgstat.ru/channels/_100/98/984982a154d74e3fbc55bdae92230515.jpg	233163
72	quotes	UZ	https://t.me/forever1_memory	@forever1_memory	‌𝑰𝒔𝒍𝒂𝒎𝒊𝒚𝒂 🫀	#𝑩𝒊𝒔𝒎𝒊𝒍𝒍𝒂𝒉	https://static3.tgstat.ru/channels/_100/c4/c47d3182252c2c3a5a82436cb2491098.jpg	231351
73	quotes	IR	https://t.me/Kofebor	@Kofebor	『 کوف بور 』	از کوف بور کز کرده لا به لای تاریکیِ روحم به خورشید آرزو.	https://static7.tgstat.ru/channels/_100/a0/a0df20f61948c8e0e2b4fad3beecd2d2.jpg	228469
74	quotes	RU	https://t.me/Worldthought	@Worldthought	5 умных мыслей	ВК - https://vk.com/world_thoughts	https://static4.tgstat.ru/channels/_100/8c/8c871a3cca7d6f62792a225ef886fca5.jpg	223749
75	quotes	RU	https://t.me/podkaadttsss	@podkaadttsss	Подкаты.	По вопросам (предложить свой подкат) - @vspakloove	https://static2.tgstat.ru/channels/_100/70/70ad2bbeed89013cc3df74198a5e0280.jpg	222510
76	quotes	IN	https://t.me/Hindi_Motivational_Success_Dose	@Hindi_Motivational_Success_Dose	Hindi Motivational Dose™🇮🇳	Contact & Promotions	https://static7.tgstat.ru/channels/_100/1d/1d2c5e33a131a907b292b2ade9e746c0.jpg	221844
77	quotes	Global	https://t.me/AS7RM	@AS7RM	كتابات شغف | passion | ᥫ᭡	‏أعجز عن إيجاد نبذة شغف في وسط كُل هذا الإنطفاء الذي يحدث.	https://static2.tgstat.ru/channels/_100/e6/e606fa4d69be01078b04902f439dd4b5.jpg	219276
78	quotes	Global	https://t.me/zznzzv	@zznzzv	اقتباسات ، عبارات كبرياء	-قنـاة كـبـريــاء	https://static4.tgstat.ru/channels/_100/0d/0dffc859e85e4b946979d666f1132d9c.jpg	215221
79	quotes	Global	https://t.me/VX_73	@VX_73	ترتيب💜حسابات💜انستا💜هايلات💜بايوات	- لـ التمويل   // @vssss -	https://static6.tgstat.ru/channels/_100/1c/1c33ae16aa1df8ec5f084d18aeb13e18.jpg	214841
80	quotes	Global	https://t.me/PP_25	@PP_25	كتابات اشعار خواطر حزينه عبارات حب	- لـ نـشـر اعلانـاتــكم $ @QQQQKS	https://static4.tgstat.ru/channels/_100/ad/ad7bed91e97b7d7de758d326cbead817.jpg	214623
81	quotes	IR	https://t.me/vahm_sabz	@vahm_sabz	وهــمِ ســبــز🌱	سبز بود رنگمون.یادته که؟	https://static5.tgstat.ru/channels/_100/49/49c4739f7ae7bf70046a515043ccfc45.jpg	214031
82	quotes	IR	https://t.me/shamdooni	@shamdooni	شمع‌دونی	𝔸𝕕𝕤: @Roozhan	https://static4.tgstat.ru/channels/_100/ff/ff51b6e767de05e2054c5c99e232919a.jpg	213563
83	quotes	IR	https://t.me/POHQK	@POHQK	لـ عيونها ♥️.	- حُب لكل لَحظة أنت موجود بيّها	https://static8.tgstat.ru/channels/_100/32/3298b124d850fe06a1a4f66cc18032c7.jpg	213426
84	quotes	Global	https://t.me/ASEEEM2	@ASEEEM2	مشاعر كلمات| kalemat	"""‏إنها العاطفة تخدع المرء لثواني وتهدمه دهراً ."""	https://static8.tgstat.ru/channels/_100/60/606c2cd0d823e399b5e28b4f35144ee3.jpg	213359
