id	category	country	channel	handle	name	description	image	subscribers
1	transport	Global	https://t.me/FCGofficial	@FCGofficial	Fantasy Cricket Guru	Subscribe Our Official verified Youtube Channel https://youtube.com/c/FANTASYCRICKETGURU	https://static4.tgstat.ru/channels/_100/82/827daad76737835118d043dcd4d70033.jpg	995165
2	transport	UZ	https://t.me/mashina_avtoelons	@mashina_avtoelons	Vodiy Moshina Bozor	Энг оммабоп савдо канали “Vodiy Moshina Bozor” га хуш келибсиз️	https://static5.tgstat.ru/channels/_100/97/97f6785dfe8099789e7ddb48ffea6a93.jpg	964277
3	transport	RU	https://t.me/fighter_bomber	@fighter_bomber	Fighterbomber	№ 4778707856	https://static10.tgstat.ru/channels/_100/74/7492d6b8c01f8193800df5d01b0a20d0.jpg	529778
4	transport	RU	https://t.me/wengallbi_tm	@wengallbi_tm	WENGALLBI	По рекламе: @pr_wengallbi	https://static10.tgstat.ru/channels/_100/d2/d202d94ae65c6fb49e0d48e2f4e79e4d.jpg	494694
5	transport	RU	https://t.me/Eric_Davidich_D3	@Eric_Davidich_D3	D3 | Davidich Dynamic Drive	Банда, это снова я - ваш Эрик Давидыч и это мой новый проект D3|Davidich Dynamic Drive!	https://static6.tgstat.ru/channels/_100/8e/8eb69d57b7c1ae9059ba9e0635c4a593.jpg	449839
6	transport	RU	https://t.me/tachki	@tachki	Тачки и Точка	Пожалуй, лучший канал об автоиндустрии.	https://static7.tgstat.ru/channels/_100/d8/d85c6cc98383b2f7e24d336a073355b5.jpg	449547
8	transport	RU	https://t.me/auto_instruktor	@auto_instruktor	Автоинструктор	Сообщество автолюбителей. У нас можно залипнуть!	https://static10.tgstat.ru/channels/_100/19/19dfabea5d736dd0e3eb42c21312cd04.jpg	441377
9	transport	RU	https://t.me/driverone	@driverone	За рулём	Тестовые задания по ПДД	https://static9.tgstat.ru/channels/_100/4c/4c901f6c6a0fb4b8f625e5453607ba51.jpg	412723
10	transport	UZ	https://t.me/fargona_namangan_andijonda	@fargona_namangan_andijonda	MOSHINA BOZOR 🚘	Э'лон жойлаш @moshinabozoradm	https://static1.tgstat.ru/channels/_100/48/4897814765110b00cd04f7fc1899a842.jpg	387931
11	transport	RU	https://t.me/imehanik	@imehanik	МЕХАНИК	Техника любит разум и умелые руки.	https://static4.tgstat.ru/channels/_100/c5/c5191b6f00ada740668ced904ff7df56.jpg	375147
